subset,roi_tier,domain,file_name,image_id,seed_index,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,n_retries,refused_draws,agreement_flagged
contested_2of3,contested_2of3,human neuroendocrine tumor,383.tiff,383,2,19266,312.0,4501.0,0.22632094805310524,33.13877952755905,4,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,0,19586,352.0,1713.0,0.22632094805310524,33.13877952755905,6,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,1,19582,1279.0,4637.0,0.22632094805310524,33.13877952755905,6,0,,True
contested_2of3,contested_2of3,human neuroendocrine tumor,392.tiff,392,2,19598,992.0,3170.0,0.22632094805310524,33.13877952755905,6,0,,True
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,0,18278,185.0,1519.0,0.22744367634943946,32.9751968503937,62,-1,,False
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,1,18280,1073.0,1273.0,0.22744367634943946,32.9751968503937,62,-1,,False
testing_35,existing_7,human neuroendocrine tumor,353.tiff,353,2,18281,1131.0,1223.0,0.22744367634943946,32.9751968503937,62,-1,,False
testing_35,existing_7,human neuroendocrine tumor,364.tiff,364,0,18757,961.0,1596.0,0.22632094805310524,33.13877952755905,22,-1,,False
testing_35,existing_7,human neuroendocrine tumor,364.tiff,364,1,18766,6777.0,1057.0,0.22632094805310524,33.13877952755905,22,-1,,False
testing_35,existing_7,human neuroendocrine tumor,364.tiff,364,2,18785,6674.0,3662.0,0.22632094805310524,33.13877952755905,22,-1,,False
testing_35,existing_7,human neuroendocrine tumor,400.tiff,400,0,20040,85.0,4646.0,0.22686065932495555,33.059940944881895,103,-1,,False
testing_35,existing_7,human neuroendocrine tumor,400.tiff,400,1,19942,3384.0,664.0,0.22686065932495555,33.059940944881895,103,-1,,False
testing_35,existing_7,human neuroendocrine tumor,400.tiff,400,2,19947,5673.0,540.0,0.22686065932495555,33.059940944881895,103,-1,,False
testing_35,existing_7,human neuroendocrine tumor,401.tiff,401,0,20132,3990.0,5047.0,0.22686065932495555,33.059940944881895,18,-1,,False
testing_35,existing_7,human neuroendocrine tumor,401.tiff,401,1,20102,2485.0,507.0,0.22686065932495555,33.059940944881895,18,-1,,False
testing_35,existing_7,human neuroendocrine tumor,401.tiff,401,2,20112,2811.0,1659.0,0.22686065932495555,33.059940944881895,18,-1,,False
original_14,existing_7,human neuroendocrine tumor,402.tiff,402,0,20254,989.0,4917.0,0.22632094805310524,33.13877952755905,104,-1,,False
original_14,existing_7,human neuroendocrine tumor,402.tiff,402,1,20258,2420.0,4970.0,0.22632094805310524,33.13877952755905,104,-1,,False
original_14,existing_7,human neuroendocrine tumor,402.tiff,402,2,20157,3483.0,272.0,0.22632094805310524,33.13877952755905,104,-1,,False
original_14,existing_7,human neuroendocrine tumor,403.tiff,403,0,20356,2227.0,2970.0,0.22686065932495555,33.059940944881895,52,-1,,False
original_14,existing_7,human neuroendocrine tumor,403.tiff,403,1,20344,2715.0,1673.0,0.22686065932495555,33.059940944881895,52,-1,,False
original_14,existing_7,human neuroendocrine tumor,403.tiff,403,2,20396,3815.0,4532.0,0.22686065932495555,33.059940944881895,52,-1,,False
testing_35,existing_7,human neuroendocrine tumor,404.tiff,404,0,20471,3045.0,2542.0,0.22632094805310524,33.13877952755905,60,-1,,False
testing_35,existing_7,human neuroendocrine tumor,404.tiff,404,1,20474,5840.0,2192.0,0.22632094805310524,33.13877952755905,60,-1,,False
testing_35,existing_7,human neuroendocrine tumor,404.tiff,404,2,20472,3048.0,2084.0,0.22632094805310524,33.13877952755905,60,-1,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,351.tiff,351,0,18201,2732.0,4949.0,0.22744367634943946,32.9751968503937,4,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,351.tiff,351,1,18199,73.0,4714.0,0.22744367634943946,32.9751968503937,4,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,351.tiff,351,2,18192,3690.0,2864.0,0.22744367634943946,32.9751968503937,4,1,18177,False
unanimous_new,unanimous_new,human neuroendocrine tumor,356.tiff,356,0,18434,6800.0,2026.0,0.22686065932495555,33.059940944881895,18,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,356.tiff,356,1,18428,5461.0,904.0,0.22686065932495555,33.059940944881895,18,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,356.tiff,356,2,18426,1421.0,195.0,0.22686065932495555,33.059940944881895,18,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,363.tiff,363,0,18716,2108.0,313.0,0.22744367634943946,32.9751968503937,11,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,363.tiff,363,1,18742,5240.0,4925.0,0.22744367634943946,32.9751968503937,11,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,363.tiff,363,2,18726,4855.0,1836.0,0.22744367634943946,32.9751968503937,11,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,365.tiff,365,0,18800,5075.0,3224.0,0.22690727175272468,33.053149606299215,8,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,365.tiff,365,1,18799,2796.0,3273.0,0.22690727175272468,33.053149606299215,8,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,365.tiff,365,2,18798,6580.0,1863.0,0.22690727175272468,33.053149606299215,8,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,374.tiff,374,0,19006,1957.0,2299.0,0.22632094805310524,33.13877952755905,10,1,19000,False
unanimous_new,unanimous_new,human neuroendocrine tumor,374.tiff,374,1,19009,4713.0,3130.0,0.22632094805310524,33.13877952755905,10,1,19011,False
unanimous_new,unanimous_new,human neuroendocrine tumor,374.tiff,374,2,19005,1283.0,2512.0,0.22632094805310524,33.13877952755905,10,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,376.tiff,376,0,19070,189.0,1572.0,0.22686065932495555,33.059940944881895,6,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,376.tiff,376,1,19077,2694.0,2290.0,0.22686065932495555,33.059940944881895,6,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,376.tiff,376,2,19073,3804.0,1261.0,0.22686065932495555,33.059940944881895,6,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,389.tiff,389,0,19513,4537.0,4636.0,0.22634716665032928,33.13494094488189,15,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,389.tiff,389,1,19489,1551.0,500.0,0.22634716665032928,33.13494094488189,15,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,389.tiff,389,2,19499,5794.0,1183.0,0.22634716665032928,33.13494094488189,15,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,394.tiff,394,0,19631,5073.0,3125.0,0.2268343216403515,33.063779527559056,5,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,394.tiff,394,1,19622,4988.0,1738.0,0.2268343216403515,33.063779527559056,5,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,394.tiff,394,2,19621,4117.0,1114.0,0.2268343216403515,33.063779527559056,5,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,399.tiff,399,0,19895,1773.0,2886.0,0.2266400171318438,33.09212598425197,8,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,399.tiff,399,1,19898,91.0,3784.0,0.2266400171318438,33.09212598425197,8,0,,False
unanimous_new,unanimous_new,human neuroendocrine tumor,399.tiff,399,2,19891,3396.0,1748.0,0.2266400171318438,33.09212598425197,8,0,,False
