roi,ann_id,base_size,area,solidity,eccentricity,cover_A_click,cover_B_component_asis,cover_C_component_fixed,move_A_click,move_B_component_asis,move_C_component_fixed
094.tiff,2510,27,481,0.9525,0.4637,0.9189,1.0,1.0,0.0,5.59,4.924
094.tiff,2512,25,399,0.9215,0.5665,0.9799,0.99,1.0,0.0,2.062,2.5
094.tiff,2513,27,287,0.8831,0.8374,0.9199,1.0,1.0,0.0,3.536,3.162
094.tiff,2514,27,496,0.9484,0.4705,0.994,1.0,1.0,0.0,1.5,1.118
094.tiff,2518,27,396,0.9318,0.8093,0.9394,0.9798,1.0,0.0,5.148,4.472
094.tiff,2519,35,656,0.8421,0.725,0.9939,1.0,1.0,0.0,3.606,2.915
094.tiff,2524,25,382,0.9095,0.4607,0.9764,0.9948,1.0,0.0,2.5,2.062
094.tiff,2530,27,476,0.9261,0.5431,0.9748,0.9958,1.0,0.0,2.915,2.236
094.tiff,2534,37,652,0.9408,0.7348,1.0,1.0,1.0,0.0,1.118,0.5
094.tiff,2536,25,387,0.9042,0.6803,0.9121,1.0,1.0,0.0,4.61,3.905
094.tiff,2540,33,749,0.9134,0.4381,0.992,1.0,1.0,0.0,1.118,1.5
094.tiff,2542,27,456,0.9012,0.4198,1.0,0.9934,1.0,0.0,0.5,0.5
094.tiff,2543,35,385,0.8671,0.9382,0.9896,1.0,1.0,0.0,3.354,3.64
094.tiff,2546,45,978,0.7611,0.7757,0.9151,1.0,1.0,0.0,6.042,5.831
094.tiff,2548,39,811,0.8883,0.6847,0.979,1.0,1.0,0.0,2.236,2.915
094.tiff,2557,35,744,0.8407,0.6919,1.0,0.996,1.0,0.0,0.707,0.0
094.tiff,2558,29,511,0.9093,0.4797,1.0,1.0,1.0,0.0,1.0,1.581
094.tiff,2560,27,444,0.9569,0.6334,0.9662,1.0,1.0,0.0,3.808,3.162
094.tiff,2566,29,553,0.9156,0.6031,0.9295,0.9892,1.0,0.0,4.61,4.272
094.tiff,2574,29,511,0.8646,0.6635,0.9765,1.0,1.0,0.0,2.062,2.693
094.tiff,2577,25,452,0.9516,0.3111,0.9381,1.0,1.0,0.0,2.55,3.0
094.tiff,2588,27,411,0.9278,0.5205,0.9781,1.0,1.0,0.0,2.062,2.5
094.tiff,2589,35,534,0.7139,0.6927,0.9944,1.0,1.0,0.0,1.803,2.5
094.tiff,2596,31,514,0.8816,0.5231,0.9903,0.9981,1.0,0.0,2.915,3.606
094.tiff,2597,29,546,0.8667,0.5842,1.0,1.0,1.0,0.0,1.118,0.5
094.tiff,2602,29,543,0.946,0.1812,1.0,1.0,1.0,0.0,1.0,1.581
094.tiff,2603,31,480,0.9057,0.6141,0.9958,1.0,1.0,0.0,2.5,1.803
094.tiff,2607,27,435,0.9255,0.723,1.0,0.9885,1.0,0.0,1.118,0.5
094.tiff,2612,37,700,0.9223,0.5521,0.9914,1.0,1.0,0.0,3.354,2.693
094.tiff,2617,23,313,0.9428,0.7998,0.7827,1.0,1.0,0.0,5.59,6.265
094.tiff,2629,29,537,0.9355,0.4511,1.0,0.9926,1.0,0.0,0.5,0.5
094.tiff,2644,29,441,0.9074,0.6001,1.0,0.9955,1.0,0.0,1.581,1.0
094.tiff,2651,25,311,0.8099,0.8039,0.8875,0.9936,1.0,0.0,5.59,6.021
201.tiff,4457,51,1592,0.7443,0.6302,1.0,0.9881,1.0,0.0,0.5,0.5
201.tiff,4469,51,1247,0.6192,0.7414,1.0,0.9928,1.0,0.0,2.55,3.0
201.tiff,4475,51,1225,0.7397,0.7837,1.0,0.9959,1.0,0.0,3.536,4.0
201.tiff,4476,35,616,0.8993,0.6009,0.9968,1.0,1.0,0.0,1.118,1.5
201.tiff,4477,35,539,0.6901,0.8571,1.0,0.9944,1.0,0.0,0.707,1.0
201.tiff,4479,51,1387,0.8164,0.8504,1.0,0.9856,1.0,0.0,1.581,1.0
233.tiff,5756,51,1535,0.7532,0.7628,1.0,0.9805,1.0,0.0,1.581,1.0
233.tiff,5757,51,1558,0.7294,0.6083,1.0,0.9891,1.0,0.0,1.581,2.0
233.tiff,5759,31,460,0.8394,0.4345,0.987,1.0,1.0,0.0,2.5,3.041
233.tiff,5760,51,1638,0.8306,0.6519,1.0,0.9786,1.0,0.0,4.528,5.0
233.tiff,5761,25,429,0.9032,0.5586,0.993,1.0,1.0,0.0,1.581,1.414
233.tiff,5765,35,648,0.8182,0.5161,0.983,1.0,1.0,0.0,4.272,4.61
233.tiff,5766,39,652,0.6708,0.9026,0.6626,0.9923,1.0,0.0,10.308,9.605
233.tiff,5768,25,224,0.9218,0.8867,1.0,1.0,1.0,0.0,3.5,3.041
233.tiff,5769,29,412,0.8408,0.8593,0.9951,1.0,1.0,0.0,2.121,2.236
233.tiff,5770,43,675,0.6585,0.8544,0.9052,0.9852,1.0,0.0,7.382,8.062
233.tiff,5772,27,260,0.8176,0.9311,1.0,1.0,1.0,0.0,3.162,2.55
245.tiff,6243,51,1276,0.7026,0.7792,1.0,0.9929,1.0,0.0,0.707,1.0
245.tiff,6245,51,1513,0.7215,0.2231,1.0,0.9749,1.0,0.0,0.707,0.0
245.tiff,6247,51,1496,0.6182,0.577,1.0,0.9686,1.0,0.0,0.707,0.0
245.tiff,6248,51,1771,0.7917,0.6136,1.0,0.9768,1.0,0.0,0.707,0.0
245.tiff,6249,51,1270,0.7311,0.8529,1.0,0.9811,1.0,0.0,4.031,4.5
245.tiff,6250,37,861,0.7757,0.519,0.6609,1.0,1.0,0.0,10.7,10.63
245.tiff,6252,41,837,0.7178,0.7318,0.7945,1.0,1.0,0.0,8.746,9.434
245.tiff,6253,27,396,0.8065,0.6488,0.9874,1.0,1.0,0.0,2.062,1.5
245.tiff,6254,27,433,0.8391,0.3328,0.9838,1.0,1.0,0.0,2.236,2.55
245.tiff,6256,41,700,0.6211,0.7631,0.71,1.0,1.0,0.0,8.602,8.515
245.tiff,6257,41,1010,0.8191,0.4853,0.7851,1.0,1.0,0.0,8.201,8.139
245.tiff,6258,51,1453,0.6141,0.5744,1.0,0.9773,1.0,0.0,0.707,0.0
245.tiff,6261,51,1502,0.7032,0.5757,1.0,0.9634,1.0,0.0,0.707,0.0
245.tiff,6262,51,1660,0.7421,0.4088,1.0,0.9645,1.0,0.0,0.707,0.0
245.tiff,6263,51,1331,0.7562,0.7767,1.0,0.9782,1.0,0.0,5.025,5.5
245.tiff,6264,43,679,0.5789,0.8548,0.8395,1.0,1.0,0.0,9.434,8.746
245.tiff,6270,45,731,0.5997,0.8035,0.8919,1.0,1.0,0.0,7.382,7.616
245.tiff,6272,45,909,0.6397,0.368,0.8317,1.0,1.0,0.0,6.801,6.946
245.tiff,6273,51,1455,0.8133,0.6843,1.0,0.9787,1.0,0.0,5.025,4.5
245.tiff,6274,47,1258,0.7357,0.6719,0.9269,0.9992,1.0,0.0,4.301,3.606
245.tiff,6286,31,325,0.7794,0.8827,0.96,1.0,1.0,0.0,3.041,3.5
245.tiff,6287,39,686,0.7079,0.8308,0.8076,0.9971,1.0,0.0,6.801,6.185
245.tiff,6288,51,1155,0.7371,0.7111,1.0,0.987,1.0,0.0,6.519,7.0
245.tiff,6291,51,1374,0.7874,0.5161,1.0,0.9803,1.0,0.0,3.041,3.5
245.tiff,6292,51,1473,0.801,0.7569,1.0,0.9912,1.0,0.0,2.062,1.5
245.tiff,6294,51,1113,0.7256,0.7939,1.0,0.9838,1.0,0.0,9.513,9.0
245.tiff,6297,51,1261,0.7128,0.7647,1.0,0.9873,1.0,0.0,5.523,5.0
245.tiff,6299,43,704,0.5991,0.6955,0.8281,1.0,1.0,0.0,9.434,9.618
245.tiff,6301,51,1424,0.6717,0.7446,1.0,0.9649,1.0,0.0,0.707,0.0
245.tiff,6302,51,1234,0.7966,0.8324,1.0,0.9822,1.0,0.0,6.021,5.5
245.tiff,6303,51,1438,0.7756,0.6934,1.0,0.9784,1.0,0.0,5.025,4.5
245.tiff,6306,29,463,0.8449,0.5081,0.9352,1.0,1.0,0.0,6.021,5.5
245.tiff,6307,39,926,0.8116,0.7909,0.7441,0.973,1.0,0.0,8.515,9.22
245.tiff,6309,43,877,0.7809,0.8229,0.9031,1.0,1.0,0.0,6.103,6.021
245.tiff,6310,51,1419,0.7174,0.5594,1.0,0.9908,1.0,0.0,5.025,4.5
245.tiff,6316,51,1561,0.7786,0.7091,1.0,0.9712,1.0,0.0,2.062,2.5
245.tiff,6317,51,1418,0.6529,0.8236,1.0,0.9732,1.0,0.0,0.707,0.0
245.tiff,6318,47,1121,0.7839,0.4212,0.9251,0.9991,1.0,0.0,6.042,5.385
245.tiff,6321,51,1330,0.7497,0.6502,1.0,0.9857,1.0,0.0,3.536,4.0
245.tiff,6322,51,1227,0.7226,0.7027,1.0,1.0,1.0,0.0,8.0,7.517
245.tiff,6323,29,368,0.7813,0.7917,0.9973,1.0,1.0,0.0,3.041,2.693
245.tiff,6324,39,765,0.7384,0.7559,0.7752,1.0,1.0,0.0,10.0,9.925
245.tiff,6325,51,1447,0.6067,0.411,1.0,0.9648,1.0,0.0,0.707,0.0
245.tiff,6326,37,696,0.7326,0.8076,0.6624,1.0,1.0,0.0,11.011,10.966
245.tiff,6333,39,616,0.6027,0.822,0.8279,0.9659,1.0,0.0,5.523,6.0
245.tiff,6334,49,866,0.7351,0.7065,0.933,1.0,1.0,0.0,10.548,10.112
245.tiff,6335,51,1155,0.7143,0.6267,1.0,1.0,1.0,0.0,5.59,6.021
245.tiff,6336,25,299,0.7786,0.7431,0.9532,1.0,1.0,0.0,4.031,3.64
245.tiff,6338,51,1011,0.7115,0.6919,1.0,0.9881,1.0,0.0,7.517,7.0
245.tiff,6341,41,722,0.7206,0.8352,0.8546,1.0,1.0,0.0,6.727,7.433
245.tiff,6344,51,1352,0.7499,0.6968,1.0,0.9815,1.0,0.0,3.536,4.0
245.tiff,6345,41,1063,0.8377,0.8029,0.7836,1.0,1.0,0.0,7.5,8.201
245.tiff,6348,51,1751,0.7927,0.6328,1.0,0.9663,1.0,0.0,0.707,0.0
245.tiff,6349,51,2045,0.7887,0.3683,1.0,0.9731,1.0,0.0,0.707,0.0
245.tiff,6350,51,1748,0.786,0.6423,1.0,0.9725,1.0,0.0,0.707,0.0
245.tiff,6353,43,698,0.656,0.8938,0.8324,1.0,1.0,0.0,8.062,7.906
245.tiff,6354,51,1237,0.7598,0.6757,1.0,0.9854,1.0,0.0,5.523,6.0
245.tiff,6355,51,1594,0.7623,0.7341,1.0,0.9812,1.0,0.0,1.118,0.5
245.tiff,6358,45,845,0.7972,0.8459,0.9396,1.0,1.0,0.0,8.078,7.826
245.tiff,6359,29,509,0.8598,0.4943,0.998,1.0,1.0,0.0,1.0,1.581
245.tiff,6360,51,1362,0.7626,0.734,1.0,0.9772,1.0,0.0,6.021,5.5
245.tiff,6361,41,965,0.8116,0.6253,0.7513,1.0,1.0,0.0,8.201,8.139
245.tiff,6368,37,603,0.8249,0.8093,1.0,1.0,1.0,0.0,1.0,0.707
245.tiff,6369,41,522,0.7565,0.9203,0.954,1.0,1.0,0.0,6.325,5.701
245.tiff,6375,37,694,0.7677,0.8445,0.817,1.0,1.0,0.0,8.276,7.616
245.tiff,6377,27,467,0.8912,0.4836,1.0,1.0,1.0,0.0,2.236,1.581
245.tiff,6379,51,1940,0.8017,0.4894,1.0,0.967,1.0,0.0,0.707,0.0
245.tiff,6380,51,1634,0.7448,0.4587,1.0,0.9602,1.0,0.0,0.707,0.0
245.tiff,6381,33,509,0.8806,0.5345,0.9902,0.9961,1.0,0.0,2.121,2.236
245.tiff,6382,45,1180,0.7598,0.612,0.8441,1.0,1.0,0.0,8.062,7.382
245.tiff,6389,51,1278,0.6183,0.7213,1.0,0.964,1.0,0.0,0.707,0.0
245.tiff,6396,51,1358,0.8683,0.7055,1.0,0.9882,1.0,0.0,8.016,7.5
245.tiff,6398,51,1715,0.7992,0.5565,1.0,0.979,1.0,0.0,0.707,0.0
246.tiff,6403,23,222,0.8346,0.8341,0.991,1.0,1.0,0.0,3.354,2.693
246.tiff,6404,27,321,0.6963,0.8812,1.0,1.0,1.0,0.0,1.0,0.707
246.tiff,6405,33,235,0.6994,0.9531,0.9489,0.9787,1.0,0.0,2.5,3.202
246.tiff,6406,21,176,0.8263,0.8426,0.983,0.9943,1.0,0.0,2.121,2.236
246.tiff,6407,25,339,0.8692,0.8406,0.9676,0.9853,1.0,0.0,1.5,2.062
246.tiff,6409,27,342,0.755,0.8033,0.9532,1.0,1.0,0.0,3.354,3.64
246.tiff,6411,45,750,0.5415,0.5834,0.8107,1.0,1.0,0.0,6.946,7.159
246.tiff,6417,37,573,0.5987,0.7455,0.7347,1.0,1.0,0.0,10.607,10.63
246.tiff,6424,51,2102,0.8082,0.3503,1.0,0.9548,1.0,0.0,0.707,0.0
246.tiff,6426,51,1624,0.7678,0.6558,1.0,0.9587,1.0,0.0,0.707,0.0
246.tiff,6427,51,1896,0.9377,0.6218,1.0,0.9773,1.0,0.0,2.55,2.0
246.tiff,6434,33,372,0.7949,0.8589,0.9758,1.0,1.0,0.0,3.202,3.905
246.tiff,6435,45,1076,0.73,0.5699,0.8838,1.0,1.0,0.0,5.148,5.0
246.tiff,6437,45,1152,0.8039,0.7734,0.8767,1.0,1.0,0.0,5.0,5.701
246.tiff,6439,51,1545,0.754,0.3966,1.0,0.9521,1.0,0.0,0.707,0.0
246.tiff,6443,27,227,0.7418,0.8416,0.9956,1.0,1.0,0.0,3.041,3.64
246.tiff,6446,51,1196,0.7136,0.6582,1.0,0.9908,1.0,0.0,3.536,4.0
246.tiff,6454,51,1801,0.8617,0.6911,1.0,0.9439,1.0,0.0,0.707,0.0
246.tiff,6455,33,315,0.7759,0.9028,0.9968,1.0,1.0,0.0,3.354,2.693
246.tiff,6456,29,351,0.8417,0.8256,1.0,1.0,1.0,0.0,2.693,3.041
246.tiff,6457,35,617,0.6707,0.7114,0.7909,0.9741,1.0,0.0,8.078,8.382
246.tiff,6463,31,473,0.824,0.5714,0.9937,1.0,1.0,0.0,2.5,2.693
246.tiff,6464,29,469,0.8766,0.6941,0.9957,1.0,1.0,0.0,1.0,1.581
246.tiff,6472,51,986,0.5567,0.7135,1.0,0.9696,1.0,0.0,5.025,5.5
246.tiff,6473,51,1207,0.6235,0.6583,1.0,0.9876,1.0,0.0,1.581,2.0
246.tiff,6475,45,1306,0.8801,0.731,0.9012,1.0,1.0,0.0,4.301,5.0
246.tiff,6481,35,553,0.7968,0.5482,0.9946,1.0,1.0,0.0,2.828,2.915
246.tiff,6482,51,1184,0.7145,0.8593,1.0,0.9806,1.0,0.0,0.707,0.0
246.tiff,6484,47,824,0.7178,0.8681,0.943,1.0,1.0,0.0,7.28,6.964
246.tiff,6485,39,503,0.6046,0.8284,0.837,1.0,1.0,0.0,7.616,6.964
246.tiff,6489,51,1467,0.6836,0.8567,1.0,0.9639,1.0,0.0,0.707,0.0
246.tiff,6492,51,1560,0.7719,0.421,1.0,0.975,1.0,0.0,3.041,3.5
246.tiff,6494,51,1713,0.7993,0.425,1.0,0.9819,1.0,0.0,1.118,0.5
246.tiff,6495,43,599,0.649,0.8278,0.8681,0.9983,1.0,0.0,6.021,6.021
246.tiff,6498,37,609,0.7556,0.667,0.9425,1.0,1.0,0.0,9.014,8.382
246.tiff,6499,51,1968,0.7566,0.3583,1.0,0.9553,1.0,0.0,0.707,0.0
246.tiff,6500,51,1686,0.7639,0.7856,1.0,0.9763,1.0,0.0,0.707,0.0
246.tiff,6502,51,1357,0.6655,0.4158,1.0,0.9867,1.0,0.0,3.536,3.0
246.tiff,6504,43,1151,0.9077,0.4702,1.0,1.0,1.0,0.0,0.5,1.118
246.tiff,6505,49,941,0.5837,0.3409,0.9586,1.0,1.0,0.0,3.64,3.354
246.tiff,6509,51,1440,0.7094,0.4821,1.0,0.9917,1.0,0.0,3.041,3.5
246.tiff,6510,51,1864,0.8007,0.4439,1.0,0.9785,1.0,0.0,0.707,0.0
246.tiff,6512,47,1252,0.7529,0.6372,0.9129,1.0,1.0,0.0,5.0,5.148
246.tiff,6513,51,1397,0.8015,0.7354,1.0,0.995,1.0,0.0,6.021,5.5
246.tiff,6514,51,1457,0.8471,0.4595,1.0,0.9925,1.0,0.0,5.025,4.5
246.tiff,6516,51,1391,0.8748,0.8069,1.0,0.9921,1.0,0.0,3.536,4.0
246.tiff,6517,39,379,0.5033,0.8475,0.9815,1.0,1.0,0.0,5.831,5.701
246.tiff,6519,51,1394,0.7634,0.4863,1.0,0.9885,1.0,0.0,3.041,3.5
246.tiff,6520,51,1606,0.8373,0.5995,1.0,0.9813,1.0,0.0,4.031,4.5
246.tiff,6521,35,536,0.7624,0.5952,0.9963,1.0,1.0,0.0,1.414,2.121
246.tiff,6526,51,1483,0.8055,0.5894,1.0,0.9858,1.0,0.0,2.55,3.0
246.tiff,6527,31,398,0.7758,0.8671,1.0,1.0,1.0,0.0,2.0,1.581
246.tiff,6528,27,355,0.7768,0.8741,1.0,0.9803,1.0,0.0,1.118,0.5
246.tiff,6530,51,1614,0.7748,0.7846,1.0,0.9703,1.0,0.0,0.707,0.0
246.tiff,6543,51,1743,0.7025,0.4474,1.0,0.961,1.0,0.0,0.707,0.0
246.tiff,6544,45,1005,0.8382,0.8496,0.9194,1.0,1.0,0.0,5.408,6.103
246.tiff,6545,51,1427,0.7428,0.3935,1.0,0.9853,1.0,0.0,2.55,2.0
246.tiff,6546,45,798,0.6162,0.6515,0.8747,1.0,1.0,0.0,7.211,7.382
246.tiff,6548,41,495,0.7011,0.9078,0.8182,1.0,1.0,0.0,7.81,8.515
246.tiff,6549,51,1498,0.7909,0.4233,1.0,1.0,1.0,0.0,1.803,2.062
246.tiff,6550,31,426,0.6949,0.5369,0.5563,0.9977,1.0,0.0,13.647,13.865
246.tiff,6552,45,1317,0.8075,0.2907,0.8853,1.0,1.0,0.0,5.0,4.95
246.tiff,6554,51,1365,0.5673,0.6437,1.0,0.9495,1.0,0.0,0.707,0.0
246.tiff,6559,51,1296,0.7465,0.623,1.0,0.9869,1.0,0.0,5.523,5.0
246.tiff,6561,51,1353,0.6016,0.6453,1.0,0.9638,1.0,0.0,0.707,0.0
246.tiff,6563,31,345,0.7753,0.8117,0.9826,0.9942,1.0,0.0,2.5,2.062
246.tiff,6565,51,1355,0.6285,0.7445,1.0,0.9321,1.0,0.0,0.707,0.0
246.tiff,6571,35,468,0.6223,0.7319,0.8932,0.9979,1.0,0.0,7.106,7.81
246.tiff,6573,39,456,0.6423,0.8626,0.8092,1.0,1.0,0.0,7.018,6.5
246.tiff,6574,43,898,0.6918,0.8451,0.8909,0.9744,1.0,0.0,5.701,5.657
246.tiff,6576,45,958,0.6977,0.5543,0.9541,1.0,1.0,0.0,3.0,3.536
246.tiff,6581,51,1538,0.7859,0.3716,1.0,0.9967,1.0,0.0,3.041,2.5
246.tiff,6585,51,1258,0.5829,0.717,1.0,0.9857,1.0,0.0,0.707,0.0
246.tiff,6586,29,296,0.6167,0.402,0.6622,1.0,1.0,0.0,10.198,9.823
246.tiff,6587,37,437,0.5827,0.9126,0.8032,1.0,1.0,0.0,9.925,10.63
246.tiff,6588,51,1770,0.7561,0.5558,1.0,0.9763,1.0,0.0,0.707,0.0
246.tiff,6589,51,1593,0.6127,0.392,1.0,0.9479,1.0,0.0,0.707,0.0
246.tiff,6590,49,1297,0.9311,0.7859,0.9854,1.0,1.0,0.0,2.062,2.693
246.tiff,6598,31,341,0.6398,0.8063,0.9501,1.0,1.0,0.0,4.717,5.408
246.tiff,6599,51,1752,0.7346,0.5277,1.0,0.9589,1.0,0.0,0.707,0.0
246.tiff,6600,49,983,0.6624,0.7914,0.9827,1.0,1.0,0.0,2.693,3.354
246.tiff,6602,51,1232,0.5502,0.785,1.0,0.9708,1.0,0.0,0.707,0.0
246.tiff,6604,51,1122,0.6223,0.5874,1.0,0.9795,1.0,0.0,5.523,6.0
246.tiff,6606,51,2072,0.8426,0.5166,1.0,0.9691,1.0,0.0,0.707,0.0
246.tiff,6609,51,996,0.5343,0.7689,1.0,1.0,1.0,0.0,1.5,2.062
246.tiff,6615,51,1147,0.6408,0.8581,1.0,0.9808,1.0,0.0,1.118,0.5
246.tiff,6617,51,1315,0.8606,0.699,1.0,0.9947,1.0,0.0,4.528,5.0
300.tiff,14459,25,428,0.9448,0.5238,0.9626,1.0,1.0,0.0,2.236,2.915
300.tiff,14460,27,509,0.9443,0.368,0.998,1.0,1.0,0.0,2.121,1.414
300.tiff,14461,37,502,0.7213,0.8876,0.994,1.0,1.0,0.0,3.808,3.162
300.tiff,14462,51,966,0.7247,0.6596,1.0,1.0,1.0,0.0,1.414,1.581
300.tiff,14464,35,371,0.8244,0.8732,1.0,1.0,1.0,0.0,2.236,2.55
300.tiff,14465,31,463,0.8638,0.6959,0.9978,1.0,1.0,0.0,1.803,2.5
300.tiff,14466,51,837,0.5503,0.7464,1.0,0.9928,1.0,0.0,6.519,6.0
300.tiff,14468,37,733,0.7683,0.3343,0.9727,1.0,1.0,0.0,6.021,5.5
300.tiff,14469,47,938,0.6447,0.6483,0.9925,0.9968,1.0,0.0,4.031,3.5
300.tiff,14470,27,444,0.8952,0.5374,0.9707,0.9955,1.0,0.0,2.693,2.5
300.tiff,14475,51,1719,0.8345,0.5589,1.0,0.9744,1.0,0.0,0.707,0.0
300.tiff,14479,33,359,0.6515,0.7097,1.0,1.0,1.0,0.0,2.236,1.581
300.tiff,14481,51,1161,0.5917,0.8069,1.0,0.975,1.0,0.0,2.062,1.5
300.tiff,14485,21,285,0.9253,0.2998,0.9965,0.986,1.0,0.0,1.118,1.5
300.tiff,14489,47,789,0.6069,0.5675,0.9163,1.0,1.0,0.0,4.031,4.717
300.tiff,14490,25,340,0.8153,0.6892,0.9647,0.9971,1.0,0.0,2.121,2.828
300.tiff,14492,51,798,0.7444,0.9057,1.0,0.9875,1.0,0.0,0.707,1.0
300.tiff,14493,25,345,0.869,0.6829,0.9188,0.9826,1.0,0.0,4.743,5.385
300.tiff,14498,35,801,0.8622,0.5765,0.9975,1.0,1.0,0.0,1.581,1.0
300.tiff,14499,49,1069,0.6186,0.7231,0.9775,1.0,1.0,0.0,2.693,2.5
300.tiff,14500,29,415,0.9141,0.738,1.0,1.0,1.0,0.0,1.803,2.062
300.tiff,14501,27,398,0.8486,0.5624,0.9095,1.0,1.0,0.0,6.185,6.576
300.tiff,14508,35,451,0.6425,0.9194,0.6386,0.9534,1.0,0.0,11.336,12.042
300.tiff,14510,41,837,0.7414,0.7174,0.8949,1.0,1.0,0.0,5.22,5.852
300.tiff,14513,37,813,0.8934,0.5709,0.9668,1.0,1.0,0.0,2.236,2.55
300.tiff,14515,35,523,0.6521,0.4964,0.9904,1.0,1.0,0.0,3.162,2.55
300.tiff,14516,27,370,0.881,0.7804,1.0,0.9946,1.0,0.0,0.707,0.0
300.tiff,14518,27,410,0.8991,0.7002,1.0,0.9854,1.0,0.0,1.118,1.5
300.tiff,14519,27,242,0.9064,0.9099,0.9835,1.0,1.0,0.0,4.031,3.354
300.tiff,14520,37,888,0.8783,0.5809,0.9854,1.0,1.0,0.0,2.236,1.581
300.tiff,14521,51,1094,0.7447,0.7978,1.0,0.9771,1.0,0.0,6.519,7.0
300.tiff,14523,43,928,0.7557,0.8119,0.8955,0.9978,1.0,0.0,4.61,4.031
300.tiff,14524,51,1160,0.6988,0.756,1.0,0.994,1.0,0.0,3.041,2.5
300.tiff,14525,27,374,0.9235,0.635,1.0,1.0,1.0,0.0,1.803,1.118
300.tiff,14526,25,356,0.8878,0.8455,0.9354,0.9831,1.0,0.0,4.301,3.606
300.tiff,14527,45,1144,0.7777,0.3461,0.9563,1.0,1.0,0.0,5.701,5.0
300.tiff,14531,27,403,0.9201,0.6948,0.928,1.0,1.0,0.0,5.701,5.0
300.tiff,14532,51,1565,0.74,0.7605,1.0,0.9904,1.0,0.0,0.707,0.0
300.tiff,14533,51,1347,0.7813,0.7619,1.0,0.9814,1.0,0.0,4.528,5.0
300.tiff,14535,31,427,0.8644,0.7619,0.993,1.0,1.0,0.0,3.606,3.536
300.tiff,14537,45,1320,0.8753,0.7439,0.9106,1.0,1.0,0.0,6.021,5.315
300.tiff,14539,45,1302,0.8204,0.6659,0.9347,1.0,1.0,0.0,5.148,5.0
300.tiff,14540,33,580,0.8937,0.5067,0.9931,0.9879,1.0,0.0,2.55,2.236
300.tiff,14542,45,1171,0.8687,0.7273,0.9137,1.0,1.0,0.0,4.717,4.61
300.tiff,14543,45,993,0.8054,0.6154,0.9789,1.0,1.0,0.0,2.915,3.162
300.tiff,14544,49,1720,0.9019,0.3773,0.9698,1.0,1.0,0.0,2.5,2.693
300.tiff,14545,27,381,0.9159,0.743,1.0,1.0,1.0,0.0,1.414,0.707
300.tiff,14553,43,1361,0.9328,0.3389,0.986,0.9927,1.0,0.0,3.202,2.5
300.tiff,14554,45,770,0.7746,0.7671,0.9974,1.0,1.0,0.0,2.062,1.5
300.tiff,14555,29,418,0.8654,0.6904,1.0,0.988,1.0,0.0,1.118,1.5
300.tiff,14558,29,297,0.9083,0.8627,0.9865,1.0,1.0,0.0,4.472,5.148
300.tiff,14559,51,1192,0.693,0.4264,1.0,0.9891,1.0,0.0,6.021,5.5
300.tiff,14560,29,481,0.9544,0.5102,0.9792,1.0,1.0,0.0,4.031,3.354
300.tiff,14561,31,666,0.9276,0.4193,0.976,1.0,1.0,0.0,3.905,3.202
300.tiff,14562,51,1363,0.8186,0.8259,1.0,0.9905,1.0,0.0,1.581,2.0
300.tiff,14565,29,526,0.9477,0.4535,0.9848,1.0,1.0,0.0,1.118,1.5
300.tiff,14567,25,456,0.9268,0.5704,0.9825,1.0,1.0,0.0,0.707,1.414
