domain,file_name,ann_id,condition,base_size,template_cx,template_cy,template_pixel_x,template_pixel_y,offset_from_click_px,template_px_outside_otsu_window,template_overhang_px,same_box_as_default_51,tp_at_10,tp_at_20,tp_at_30,component_area,component_frac_of_window,component_frac_of_template,solidity,bbox_h,bbox_w,fills_window,touches_window_edge,component_inside_template,otsu_cut
canine soft tissue sarcoma,460.tiff,22577,default_51,51,5152.0,3999.0,5152,3999,0.0,0,0,,7,16,17,,,,,,,,,,
canine soft tissue sarcoma,460.tiff,22577,gray_bbox,47,5156.0,3997.0,5156,3997,4.472,94,2,False,7,16,17,1338.0,0.514,0.606,0.785,47.0,43.0,False,True,True,134.0
canine soft tissue sarcoma,460.tiff,22577,hem_bbox,41,5149.0,3996.5,5149,3996,3.905,0,0,False,7,14,15,645.0,0.248,0.384,0.845,40.0,27.0,False,False,True,79.0
human breast cancer,013.tiff,249,default_51,51,1710.0,2861.0,1710,2861,0.0,0,0,,6,8,9,,,,,,,,,,
human breast cancer,013.tiff,249,gray_bbox,39,1712.0,2859.5,1712,2860,2.5,0,0,False,6,8,9,998.0,0.384,0.656,0.912,38.0,39.0,False,False,True,139.0
human breast cancer,013.tiff,249,hem_bbox,39,1711.0,2860.5,1711,2860,1.118,0,0,False,6,9,10,934.0,0.359,0.614,0.907,38.0,39.0,False,False,True,84.0
human breast cancer,094.tiff,2512,default_51,51,5560.0,1178.0,5560,1178,0.0,0,0,,5,15,21,,,,,,,,,,
human breast cancer,094.tiff,2512,gray_bbox,25,5557.5,1178.0,5558,1178,2.5,0,0,False,5,15,22,399.0,0.153,0.638,0.921,25.0,22.0,False,False,True,126.0
human breast cancer,094.tiff,2512,hem_bbox,23,5557.5,1177.0,5558,1177,2.693,0,0,False,5,14,20,318.0,0.122,0.601,0.891,23.0,20.0,False,False,True,80.0
human melanoma,529.tiff,24918,default_51,51,3421.0,2720.0,3421,2720,0.0,0,0,,7,8,9,,,,,,,,,,
human melanoma,529.tiff,24918,gray_bbox,37,3415.0,2721.0,3415,2721,6.083,0,0,False,6,7,7,672.0,0.258,0.491,0.699,35.0,37.0,False,False,True,152.0
human melanoma,529.tiff,24918,hem_bbox,33,3414.5,2721.5,3414,2722,6.671,0,0,False,6,8,8,500.0,0.192,0.459,0.706,32.0,30.0,False,False,True,84.0
human melanoma,548.tiff,25804,default_51,51,5163.0,3871.0,5163,3871,0.0,0,0,,9,15,22,,,,,,,,,,
human melanoma,548.tiff,25804,gray_bbox,29,5163.5,3868.5,5164,3868,2.55,0,0,False,8,13,21,589.0,0.226,0.7,0.942,28.0,28.0,False,False,True,166.0
human melanoma,548.tiff,25804,hem_bbox,27,5163.5,3868.0,5164,3868,3.041,0,0,False,8,13,21,497.0,0.191,0.682,0.943,27.0,26.0,False,False,True,91.0
human neuroendocrine tumor,402.tiff,20254,default_51,51,989.0,4917.0,989,4917,0.0,0,0,,8,14,19,,,,,,,,,,
human neuroendocrine tumor,402.tiff,20254,gray_bbox,29,990.0,4915.5,990,4916,1.803,0,0,False,7,12,15,565.0,0.217,0.672,0.937,28.0,27.0,False,False,True,147.0
human neuroendocrine tumor,402.tiff,20254,hem_bbox,25,989.0,4915.0,989,4915,2.0,0,0,False,7,11,15,397.0,0.153,0.635,0.908,25.0,23.0,False,False,True,28.0
human neuroendocrine tumor,403.tiff,20356,default_51,51,2227.0,2970.0,2227,2970,0.0,0,0,,5,10,14,,,,,,,,,,
human neuroendocrine tumor,403.tiff,20356,gray_bbox,51,2227.0,2968.0,2227,2968,2.0,102,2,False,5,10,14,1415.0,0.544,0.544,0.833,47.0,51.0,True,True,True,151.0
human neuroendocrine tumor,403.tiff,20356,hem_bbox,31,2225.0,2974.5,2225,2974,4.924,0,0,False,4,7,10,505.0,0.194,0.525,0.852,30.0,29.0,False,False,True,107.0
