source,domain,file_name,ann_id,channel,condition,accepted,base_size,area,solidity,bbox_h,bbox_w,right_censored,offset_from_click_px,reason
tightening_process_hem_vs_gray,human breast cancer,013.tiff,243,hematoxylin_od,hem_bbox,False,,,,,,False,,click lands on background at this Otsu cut
original_14,human breast cancer,013.tiff,249,gray_inverted,gray_bbox,True,39.0,998.0,0.9122,38.0,39.0,False,2.5,
original_14,human breast cancer,013.tiff,249,hematoxylin_od,hem_bbox,True,39.0,934.0,0.9068,38.0,39.0,False,1.118,
tightening_process_hem_vs_gray,human breast cancer,013.tiff,254,gray_inverted,gray_bbox,True,31.0,582.0,0.8447,31.0,30.0,False,4.924,
tightening_process_hem_vs_gray,human breast cancer,013.tiff,254,hematoxylin_od,hem_bbox,False,,,,,,False,,click lands on background at this Otsu cut
original_14,human breast cancer,094.tiff,2512,gray_inverted,gray_bbox,True,25.0,399.0,0.9215,25.0,22.0,False,2.5,
original_14,human breast cancer,094.tiff,2512,hematoxylin_od,hem_bbox,True,23.0,318.0,0.8908,23.0,20.0,False,2.693,
original_14,human melanoma,529.tiff,24918,gray_inverted,gray_bbox,True,37.0,672.0,0.6985,35.0,37.0,False,6.083,
original_14,human melanoma,529.tiff,24918,hematoxylin_od,hem_bbox,True,33.0,500.0,0.7062,32.0,30.0,False,6.671,
tightening_process_hem_vs_gray,human melanoma,529.tiff,24937,gray_inverted,gray_bbox,True,41.0,524.0,0.7661,25.0,40.0,False,2.062,
tightening_process_hem_vs_gray,human melanoma,529.tiff,24937,hematoxylin_od,hem_bbox,True,33.0,337.0,0.7911,18.0,32.0,False,1.581,
original_14,human melanoma,548.tiff,25804,gray_inverted,gray_bbox,True,29.0,589.0,0.9424,28.0,28.0,False,2.55,
original_14,human melanoma,548.tiff,25804,hematoxylin_od,hem_bbox,True,27.0,497.0,0.9431,27.0,26.0,False,3.041,
original_14,human neuroendocrine tumor,402.tiff,20254,gray_inverted,gray_bbox,True,29.0,565.0,0.937,28.0,27.0,False,1.803,
original_14,human neuroendocrine tumor,402.tiff,20254,hematoxylin_od,hem_bbox,True,25.0,397.0,0.9085,25.0,23.0,False,2.0,
tightening_process_hem_vs_gray,human neuroendocrine tumor,402.tiff,20258,gray_inverted,gray_bbox,True,51.0,1215.0,0.8254,51.0,37.0,True,7.0,
tightening_process_hem_vs_gray,human neuroendocrine tumor,402.tiff,20258,hematoxylin_od,hem_bbox,True,33.0,545.0,0.9129,32.0,26.0,False,4.528,
original_14,human neuroendocrine tumor,403.tiff,20356,gray_inverted,gray_bbox,True,51.0,1415.0,0.8328,47.0,51.0,True,2.0,
original_14,human neuroendocrine tumor,403.tiff,20356,hematoxylin_od,hem_bbox,True,31.0,505.0,0.8516,30.0,29.0,False,4.924,
