rank,cx,cy,score,angle,flip,scale,od,bucket,matched_ann_id,matched_category,file_name,condition
8,5246.0,1970.0,3.579411,0.0,False,1.0,0.18448781967163086,human_correct_label,246,1,013.tiff,gray_bbox
9,5572.0,5241.0,2.7441134,0.0,False,1.0,0.1814485788345337,human_rejected_label,266,2,013.tiff,gray_bbox
10,6667.0,4960.0,2.3107758,0.0,False,1.0,0.18125522136688232,non_human_findings,-1,0,013.tiff,gray_bbox
11,4901.0,4449.0,2.5666971,0.0,False,1.0,0.17153653502464294,non_human_findings,-1,0,013.tiff,gray_bbox
12,5325.0,2230.0,2.5846117,0.0,False,1.0,0.16946126520633698,human_correct_label,247,1,013.tiff,gray_bbox
13,6809.0,4130.0,2.1959634,0.0,False,1.0,0.1688717156648636,non_human_findings,-1,0,013.tiff,gray_bbox
14,6599.0,4847.0,2.1847403,0.0,False,1.0,0.16640135645866394,non_human_findings,-1,0,013.tiff,gray_bbox
15,6371.0,2361.0,2.562368,0.0,False,1.0,0.16588781774044037,human_rejected_label,270,2,013.tiff,gray_bbox
16,4628.0,2660.0,2.8600264,0.0,False,1.0,0.1645229011774063,human_correct_label,250,1,013.tiff,gray_bbox
17,5964.0,4910.0,2.8952157,0.0,False,1.0,0.16200725734233856,non_human_findings,-1,0,013.tiff,gray_bbox
18,6750.0,4210.0,2.6754813,0.0,False,1.0,0.15846531093120575,non_human_findings,-1,0,013.tiff,gray_bbox
19,6005.0,4499.0,2.5086432,0.0,False,1.0,0.1584530770778656,non_human_findings,-1,0,013.tiff,gray_bbox
20,6009.0,4869.0,2.5595775,0.0,False,1.0,0.15758708119392395,non_human_findings,-1,0,013.tiff,gray_bbox
21,1884.0,4759.0,2.2287288,0.0,False,1.0,0.15712502598762512,non_human_findings,-1,0,013.tiff,gray_bbox
22,2604.0,3908.0,2.6986709,0.0,False,1.0,0.15711602568626404,non_human_findings,-1,0,013.tiff,gray_bbox
23,6687.0,5393.0,3.145072,0.0,False,1.0,0.1570819914340973,non_human_findings,-1,0,013.tiff,gray_bbox
24,3999.0,2382.0,2.544273,0.0,False,1.0,0.15700918436050415,non_human_findings,-1,0,013.tiff,gray_bbox
25,6823.0,3775.0,2.2236197,0.0,False,1.0,0.15574106574058533,human_correct_label,254,1,013.tiff,gray_bbox
26,3583.0,4643.0,2.8232386,0.0,False,1.0,0.15559828281402588,non_human_findings,-1,0,013.tiff,gray_bbox
27,3071.0,4942.0,2.791148,0.0,False,1.0,0.15530095994472504,human_rejected_label,264,2,013.tiff,gray_bbox
28,1516.0,433.0,2.145167,0.0,False,1.0,0.15526652336120605,non_human_findings,-1,0,013.tiff,gray_bbox
29,6254.0,4993.0,2.2956004,0.0,False,1.0,0.15305712819099426,non_human_findings,-1,0,013.tiff,gray_bbox
0,3118.0,1379.0,3.3952496,0.0,False,1.0,0.22648032009601593,human_correct_label,268,1,013.tiff,hem_bbox
1,5009.0,4566.0,4.106374,0.0,False,1.0,0.21892690658569336,human_correct_label,259,1,013.tiff,hem_bbox
2,458.0,4106.0,3.7775035,0.0,False,1.0,0.2160908579826355,human_rejected_label,255,2,013.tiff,hem_bbox
3,3733.0,5358.0,3.026953,0.0,False,1.0,0.20322729647159576,human_correct_label,263,1,013.tiff,hem_bbox
4,2534.0,154.0,2.9327319,0.0,False,1.0,0.19415229558944702,human_correct_label,240,1,013.tiff,hem_bbox
5,5262.0,3972.0,2.3443542,0.0,False,1.0,0.19324126839637756,human_correct_label,260,1,013.tiff,hem_bbox
6,7031.0,4601.0,2.46398,0.0,False,1.0,0.18821153044700623,non_human_findings,-1,0,013.tiff,hem_bbox
7,5245.0,1970.0,3.4469578,0.0,False,1.0,0.18448781967163086,human_correct_label,246,1,013.tiff,hem_bbox
8,5571.0,5241.0,2.665287,0.0,False,1.0,0.1814485639333725,human_rejected_label,266,2,013.tiff,hem_bbox
9,6666.0,4960.0,2.305087,0.0,False,1.0,0.18125520646572113,non_human_findings,-1,0,013.tiff,hem_bbox
10,4898.0,4448.0,2.5166392,0.0,False,1.0,0.17151899635791779,non_human_findings,-1,0,013.tiff,hem_bbox
11,5324.0,2230.0,2.5861168,0.0,False,1.0,0.16946128010749817,human_correct_label,247,1,013.tiff,hem_bbox
12,6807.0,4129.0,2.1777797,0.0,False,1.0,0.1688717156648636,non_human_findings,-1,0,013.tiff,hem_bbox
13,6598.0,4847.0,2.1820743,0.0,False,1.0,0.16640135645866394,non_human_findings,-1,0,013.tiff,hem_bbox
14,6370.0,2360.0,2.6324506,0.0,False,1.0,0.16588781774044037,human_rejected_label,270,2,013.tiff,hem_bbox
15,6036.0,727.0,2.1681864,0.0,False,1.0,0.16573047637939453,human_correct_label,241,1,013.tiff,hem_bbox
16,4627.0,2660.0,2.9165099,0.0,False,1.0,0.1645229011774063,human_correct_label,250,1,013.tiff,hem_bbox
17,5963.0,4910.0,2.9099422,0.0,False,1.0,0.16200725734233856,non_human_findings,-1,0,013.tiff,hem_bbox
18,6749.0,4210.0,2.6591492,0.0,False,1.0,0.15846531093120575,non_human_findings,-1,0,013.tiff,hem_bbox
19,6004.0,4499.0,2.488528,0.0,False,1.0,0.1584530770778656,non_human_findings,-1,0,013.tiff,hem_bbox
20,6008.0,4869.0,2.539103,0.0,False,1.0,0.15758708119392395,non_human_findings,-1,0,013.tiff,hem_bbox
21,6686.0,5393.0,2.917031,0.0,False,1.0,0.15712958574295044,non_human_findings,-1,0,013.tiff,hem_bbox
22,1882.0,4759.0,2.2168365,0.0,False,1.0,0.15712502598762512,non_human_findings,-1,0,013.tiff,hem_bbox
23,2603.0,3908.0,2.703729,0.0,False,1.0,0.15711602568626404,non_human_findings,-1,0,013.tiff,hem_bbox
24,3999.0,2382.0,2.5494668,0.0,False,1.0,0.15700918436050415,non_human_findings,-1,0,013.tiff,hem_bbox
25,6821.0,3775.0,2.1478474,0.0,False,1.0,0.15574106574058533,human_correct_label,254,1,013.tiff,hem_bbox
26,3071.0,4942.0,2.778675,0.0,False,1.0,0.15530095994472504,human_rejected_label,264,2,013.tiff,hem_bbox
27,1515.0,433.0,2.1480334,0.0,False,1.0,0.15526653826236725,non_human_findings,-1,0,013.tiff,hem_bbox
28,3582.0,4642.0,2.791957,0.0,False,1.0,0.15486755967140198,non_human_findings,-1,0,013.tiff,hem_bbox
29,6252.0,4993.0,2.1446066,0.0,False,1.0,0.15305712819099426,non_human_findings,-1,0,013.tiff,hem_bbox
0,6295.0,1824.0,2.1832495,0.0,False,1.0,0.15866422653198242,human_rejected_label,2545,2,094.tiff,default_51
1,4103.0,956.0,2.3029392,0.0,False,1.0,0.14413771033287048,human_rejected_label,2508,2,094.tiff,default_51
2,5789.0,3475.0,1.8714514,0.0,False,1.0,0.13869164884090424,human_correct_label,2601,1,094.tiff,default_51
3,4262.0,1740.0,1.9714533,0.0,False,1.0,0.13555820286273956,human_rejected_label,2533,2,094.tiff,default_51
4,3999.0,1726.0,2.0834763,0.0,False,1.0,0.13327190279960632,human_correct_label,2532,1,094.tiff,default_51
5,4380.0,3117.0,1.8667502,0.0,False,1.0,0.13163262605667114,human_rejected_label,2571,2,094.tiff,default_51
6,1337.0,929.0,1.8972392,0.0,False,1.0,0.1301470547914505,human_correct_label,2483,1,094.tiff,default_51
7,3866.0,4397.0,1.9213567,0.0,False,1.0,0.12999702990055084,human_correct_label,2619,1,094.tiff,default_51
8,7080.0,3344.0,1.7499315,0.0,False,1.0,0.12894035875797272,human_rejected_label,2608,2,094.tiff,default_51
9,4600.0,1731.0,1.567694,0.0,False,1.0,0.12831354141235352,human_correct_label,2543,1,094.tiff,default_51
10,2192.0,4397.0,1.9371918,0.0,False,1.0,0.12827390432357788,human_correct_label,2614,1,094.tiff,default_51
11,5187.0,5051.0,1.8007846,0.0,False,1.0,0.12808145582675934,human_correct_label,2644,1,094.tiff,default_51
12,5018.0,5024.0,1.9628061,0.0,False,1.0,0.1280437707901001,human_correct_label,2643,1,094.tiff,default_51
13,4766.0,4390.0,1.9922993,0.0,False,1.0,0.1279759407043457,human_correct_label,2622,1,094.tiff,default_51
14,5145.0,3971.0,1.8865347,0.0,False,1.0,0.12762948870658875,human_correct_label,2630,1,094.tiff,default_51
15,5804.0,4212.0,1.8555037,0.0,False,1.0,0.1276135891675949,human_correct_label,2626,1,094.tiff,default_51
16,1667.0,3723.0,1.8896072,0.0,False,1.0,0.12656302750110626,human_correct_label,2588,1,094.tiff,default_51
17,5378.0,4825.0,1.7436223,0.0,False,1.0,0.1264086365699768,human_correct_label,2645,1,094.tiff,default_51
18,6280.0,1267.0,1.842961,0.0,False,1.0,0.1256546676158905,human_correct_label,2518,1,094.tiff,default_51
19,5445.0,4761.0,1.7788795,0.0,False,1.0,0.1254645437002182,human_correct_label,2646,1,094.tiff,default_51
20,6139.0,4591.0,2.066881,0.0,False,1.0,0.12477635592222214,non_human_findings,-1,0,094.tiff,default_51
21,506.0,737.0,1.8452878,0.0,False,1.0,0.12464639544487,human_correct_label,2487,1,094.tiff,default_51
22,5297.0,2754.0,1.9379568,0.0,False,1.0,0.12460994720458984,human_rejected_label,2567,2,094.tiff,default_51
23,1173.0,753.0,1.6713358,0.0,False,1.0,0.12426100671291351,human_correct_label,2484,1,094.tiff,default_51
24,3410.0,1716.0,1.7460388,0.0,False,1.0,0.12329970300197601,human_correct_label,2530,1,094.tiff,default_51
25,2528.0,1124.0,1.7846795,0.0,False,1.0,0.12312290817499161,human_rejected_label,2501,2,094.tiff,default_51
26,4367.0,4297.0,1.8619092,0.0,False,1.0,0.12250049412250519,human_rejected_label,2620,2,094.tiff,default_51
27,5756.0,1255.0,1.7004406,0.0,False,1.0,0.12206901609897614,human_correct_label,2514,1,094.tiff,default_51
28,503.0,678.0,1.8558413,0.0,False,1.0,0.12130098789930344,human_correct_label,2488,1,094.tiff,default_51
29,1734.0,3854.0,1.7674099,0.0,False,1.0,0.12126882374286652,human_correct_label,2587,1,094.tiff,default_51
0,6294.0,1822.0,0.8484954,0.0,False,1.0,0.15866421163082123,human_rejected_label,2545,2,094.tiff,gray_bbox
1,4101.0,956.0,1.1600121,0.0,False,1.0,0.14413772523403168,human_rejected_label,2508,2,094.tiff,gray_bbox
2,5787.0,3474.0,0.83820707,0.0,False,1.0,0.13869166374206543,human_correct_label,2601,1,094.tiff,gray_bbox
3,4260.0,1740.0,0.92411935,0.0,False,1.0,0.13555818796157837,human_rejected_label,2533,2,094.tiff,gray_bbox
4,3997.0,1726.0,1.0823537,0.0,False,1.0,0.13327190279960632,human_correct_label,2532,1,094.tiff,gray_bbox
5,4378.0,3118.0,1.0140897,0.0,False,1.0,0.13163264095783234,human_rejected_label,2571,2,094.tiff,gray_bbox
6,1335.0,929.0,0.77249825,0.0,False,1.0,0.1301470547914505,human_correct_label,2483,1,094.tiff,gray_bbox
7,3864.0,4397.0,0.8988766,0.0,False,1.0,0.12999702990055084,human_correct_label,2619,1,094.tiff,gray_bbox
8,7078.0,3337.0,0.776902,0.0,False,1.0,0.12894034385681152,human_rejected_label,2608,2,094.tiff,gray_bbox
9,4599.0,1727.0,0.8571098,0.0,False,1.0,0.12831354141235352,human_correct_label,2543,1,094.tiff,gray_bbox
10,2190.0,4398.0,0.850179,0.0,False,1.0,0.1282738894224167,human_correct_label,2614,1,094.tiff,gray_bbox
11,5185.0,5052.0,0.87875247,0.0,False,1.0,0.12808145582675934,human_correct_label,2644,1,094.tiff,gray_bbox
12,5016.0,5024.0,1.0606614,0.0,False,1.0,0.1280437707901001,human_correct_label,2643,1,094.tiff,gray_bbox
13,4764.0,4389.0,0.90329534,0.0,False,1.0,0.1279759407043457,human_correct_label,2622,1,094.tiff,gray_bbox
14,5143.0,3971.0,0.8552496,0.0,False,1.0,0.12762948870658875,human_correct_label,2630,1,094.tiff,gray_bbox
15,5802.0,4211.0,0.8496167,0.0,False,1.0,0.1276135891675949,human_correct_label,2626,1,094.tiff,gray_bbox
16,1665.0,3723.0,0.82130635,0.0,False,1.0,0.12656302750110626,human_correct_label,2588,1,094.tiff,gray_bbox
17,5377.0,4825.0,0.73557323,0.0,False,1.0,0.126408651471138,human_correct_label,2645,1,094.tiff,gray_bbox
18,6278.0,1267.0,0.86413944,0.0,False,1.0,0.1256546527147293,human_correct_label,2518,1,094.tiff,gray_bbox
19,5443.0,4761.0,0.7089197,0.0,False,1.0,0.1254645437002182,human_correct_label,2646,1,094.tiff,gray_bbox
20,6137.0,4591.0,0.993926,0.0,False,1.0,0.12470626831054688,non_human_findings,-1,0,094.tiff,gray_bbox
21,505.0,737.0,0.98551697,0.0,False,1.0,0.12464639544487,human_correct_label,2487,1,094.tiff,gray_bbox
22,5295.0,2753.0,0.9068816,0.0,False,1.0,0.12460994720458984,human_rejected_label,2567,2,094.tiff,gray_bbox
23,1173.0,753.0,0.7127069,0.0,False,1.0,0.12426100671291351,human_correct_label,2484,1,094.tiff,gray_bbox
24,4365.0,4297.0,0.8194887,0.0,False,1.0,0.12250048667192459,human_rejected_label,2620,2,094.tiff,gray_bbox
25,2042.0,1791.0,0.7028572,0.0,False,1.0,0.12217841297388077,human_correct_label,2527,1,094.tiff,gray_bbox
26,5755.0,1256.0,0.7204077,0.0,False,1.0,0.12206900864839554,human_correct_label,2514,1,094.tiff,gray_bbox
27,500.0,678.0,0.8488745,0.0,False,1.0,0.12130099534988403,human_correct_label,2488,1,094.tiff,gray_bbox
28,1733.0,3851.0,0.7291567,0.0,False,1.0,0.12126883119344711,human_correct_label,2587,1,094.tiff,gray_bbox
29,2383.0,2838.0,0.72366714,0.0,False,1.0,0.12063833326101303,human_correct_label,2558,1,094.tiff,gray_bbox
0,6295.0,1819.0,0.6731871,0.0,False,1.0,0.15866421163082123,human_rejected_label,2545,2,094.tiff,hem_bbox
1,4101.0,955.0,0.88066816,0.0,False,1.0,0.14413772523403168,human_rejected_label,2508,2,094.tiff,hem_bbox
2,5787.0,3472.0,0.6397535,0.0,False,1.0,0.13869166374206543,human_correct_label,2601,1,094.tiff,hem_bbox
3,4260.0,1738.0,0.69646025,0.0,False,1.0,0.13555818796157837,human_rejected_label,2533,2,094.tiff,hem_bbox
4,3997.0,1725.0,0.8321215,0.0,False,1.0,0.13327190279960632,human_correct_label,2532,1,094.tiff,hem_bbox
5,4378.0,3116.0,0.8144493,0.0,False,1.0,0.13163264095783234,human_rejected_label,2571,2,094.tiff,hem_bbox
6,1334.0,926.0,0.5781491,0.0,False,1.0,0.1301470547914505,human_correct_label,2483,1,094.tiff,hem_bbox
7,3865.0,4395.0,0.69729024,0.0,False,1.0,0.12999704480171204,human_correct_label,2619,1,094.tiff,hem_bbox
8,7078.0,3336.0,0.67628896,0.0,False,1.0,0.12894035875797272,human_rejected_label,2608,2,094.tiff,hem_bbox
9,4599.0,1726.0,0.7674532,0.0,False,1.0,0.12831354141235352,human_correct_label,2543,1,094.tiff,hem_bbox
10,2190.0,4394.0,0.6475775,0.0,False,1.0,0.1282738894224167,human_correct_label,2614,1,094.tiff,hem_bbox
11,5185.0,5051.0,0.6266291,0.0,False,1.0,0.12808144092559814,human_correct_label,2644,1,094.tiff,hem_bbox
12,5016.0,5023.0,0.8661232,0.0,False,1.0,0.1280437707901001,human_correct_label,2643,1,094.tiff,hem_bbox
13,4764.0,4387.0,0.679196,0.0,False,1.0,0.1279759407043457,human_correct_label,2622,1,094.tiff,hem_bbox
14,5143.0,3969.0,0.6191376,0.0,False,1.0,0.12762948870658875,human_correct_label,2630,1,094.tiff,hem_bbox
15,5803.0,4209.0,0.65596586,0.0,False,1.0,0.12761357426643372,human_correct_label,2626,1,094.tiff,hem_bbox
16,1666.0,3721.0,0.5987138,0.0,False,1.0,0.12656302750110626,human_correct_label,2588,1,094.tiff,hem_bbox
17,5376.0,4821.0,0.58641124,0.0,False,1.0,0.1264086216688156,human_correct_label,2645,1,094.tiff,hem_bbox
18,6279.0,1265.0,0.6830806,0.0,False,1.0,0.1256546527147293,human_correct_label,2518,1,094.tiff,hem_bbox
19,6137.0,4590.0,0.7857409,0.0,False,1.0,0.12470626831054688,non_human_findings,-1,0,094.tiff,hem_bbox
20,505.0,736.0,0.7542425,0.0,False,1.0,0.1246463805437088,human_correct_label,2487,1,094.tiff,hem_bbox
21,5295.0,2751.0,0.74073565,0.0,False,1.0,0.12460996210575104,human_rejected_label,2567,2,094.tiff,hem_bbox
22,4365.0,4295.0,0.61006814,0.0,False,1.0,0.122500479221344,human_rejected_label,2620,2,094.tiff,hem_bbox
23,501.0,676.0,0.6143557,0.0,False,1.0,0.12130098789930344,human_correct_label,2488,1,094.tiff,hem_bbox
24,1732.0,3850.0,0.639245,0.0,False,1.0,0.12126883864402771,human_correct_label,2587,1,094.tiff,hem_bbox
25,2383.0,2833.0,0.61410856,0.0,False,1.0,0.12063833326101303,human_correct_label,2558,1,094.tiff,hem_bbox
26,3336.0,3293.0,0.57172656,0.0,False,1.0,0.12013660371303558,human_correct_label,2594,1,094.tiff,hem_bbox
27,6996.0,3399.0,0.6033826,0.0,False,1.0,0.11909034848213196,human_correct_label,2607,1,094.tiff,hem_bbox
28,5188.0,2149.0,0.5860145,0.0,False,1.0,0.11832457035779953,human_rejected_label,2541,2,094.tiff,hem_bbox
29,2908.0,2599.0,0.5561654,0.0,False,1.0,0.11643235385417938,human_rejected_label,2561,2,094.tiff,hem_bbox
0,3496.0,2610.0,4.9203467,0.0,False,1.0,0.24055345356464386,non_human_findings,-1,0,201.tiff,default_51
1,1451.0,3601.0,4.25708,0.0,False,1.0,0.22903230786323547,non_human_findings,-1,0,201.tiff,default_51
2,3666.0,3781.0,3.5364926,0.0,False,1.0,0.21854060888290405,human_correct_label,4480,1,201.tiff,default_51
3,2697.0,3292.0,3.211652,0.0,False,1.0,0.21803410351276398,human_rejected_label,4461,2,201.tiff,default_51
4,5046.0,459.0,4.2434077,0.0,False,1.0,0.2171320766210556,human_correct_label,4441,1,201.tiff,default_51
5,1027.0,3826.0,3.6197078,0.0,False,1.0,0.2116016149520874,non_human_findings,-1,0,201.tiff,default_51
6,5826.0,603.0,4.109974,0.0,False,1.0,0.21152326464653015,human_correct_label,4444,1,201.tiff,default_51
7,6509.0,842.0,4.187572,0.0,False,1.0,0.2113335132598877,non_human_findings,-1,0,201.tiff,default_51
8,6537.0,3883.0,3.1798534,0.0,False,1.0,0.21088074147701263,non_human_findings,-1,0,201.tiff,default_51
9,6265.0,3299.0,3.4897823,0.0,False,1.0,0.21003735065460205,human_correct_label,4469,1,201.tiff,default_51
10,6576.0,396.0,3.747172,0.0,False,1.0,0.2098373919725418,non_human_findings,-1,0,201.tiff,default_51
11,2072.0,3937.0,3.4478803,0.0,False,1.0,0.2077530324459076,human_correct_label,4477,1,201.tiff,default_51
12,2855.0,4235.0,3.7430835,0.0,False,1.0,0.2059570550918579,human_correct_label,4476,1,201.tiff,default_51
13,1253.0,3521.0,3.6382935,0.0,False,1.0,0.20449098944664001,human_rejected_label,4460,2,201.tiff,default_51
14,4041.0,2723.0,3.6905303,0.0,False,1.0,0.2026039958000183,non_human_findings,-1,0,201.tiff,default_51
15,3323.0,2617.0,3.870178,0.0,False,1.0,0.20135700702667236,human_rejected_label,4455,2,201.tiff,default_51
16,2657.0,2520.0,4.4734273,0.0,False,1.0,0.20105741918087006,human_correct_label,4453,1,201.tiff,default_51
17,6103.0,3363.0,3.352606,0.0,False,1.0,0.19751572608947754,human_correct_label,4493,1,201.tiff,default_51
18,1312.0,3670.0,3.3892143,0.0,False,1.0,0.1968899518251419,human_rejected_label,4473,2,201.tiff,default_51
19,5414.0,4028.0,3.5733416,0.0,False,1.0,0.19646762311458588,human_rejected_label,4487,2,201.tiff,default_51
20,6097.0,3315.0,3.2285166,0.0,False,1.0,0.19542823731899261,non_human_findings,-1,0,201.tiff,default_51
21,2021.0,2332.0,3.2553263,0.0,False,1.0,0.19501519203186035,human_rejected_label,4452,2,201.tiff,default_51
22,6535.0,405.0,3.8068645,0.0,False,1.0,0.19429455697536469,non_human_findings,-1,0,201.tiff,default_51
23,1230.0,3853.0,3.476243,0.0,False,1.0,0.1942726969718933,human_rejected_label,4470,2,201.tiff,default_51
24,924.0,4093.0,3.2720473,0.0,False,1.0,0.1942238211631775,non_human_findings,-1,0,201.tiff,default_51
25,5790.0,1685.0,3.7113113,0.0,False,1.0,0.19410815834999084,non_human_findings,-1,0,201.tiff,default_51
26,2870.0,3727.0,3.6799533,0.0,False,1.0,0.192625492811203,human_correct_label,4479,1,201.tiff,default_51
27,2594.0,1105.0,3.2559984,0.0,False,1.0,0.1922091692686081,non_human_findings,-1,0,201.tiff,default_51
28,3353.0,2769.0,3.5327582,0.0,False,1.0,0.18996484577655792,non_human_findings,-1,0,201.tiff,default_51
29,4151.0,2271.0,3.7374778,0.0,False,1.0,0.18974468111991882,non_human_findings,-1,0,201.tiff,default_51
0,3496.0,2610.0,4.9203467,0.0,False,1.0,0.24055345356464386,non_human_findings,-1,0,201.tiff,gray_bbox
1,1451.0,3601.0,4.25708,0.0,False,1.0,0.22903230786323547,non_human_findings,-1,0,201.tiff,gray_bbox
2,3666.0,3781.0,3.5364926,0.0,False,1.0,0.21854060888290405,human_correct_label,4480,1,201.tiff,gray_bbox
3,2697.0,3292.0,3.211652,0.0,False,1.0,0.21803410351276398,human_rejected_label,4461,2,201.tiff,gray_bbox
4,5046.0,459.0,4.2434077,0.0,False,1.0,0.2171320766210556,human_correct_label,4441,1,201.tiff,gray_bbox
5,1027.0,3826.0,3.6197078,0.0,False,1.0,0.2116016149520874,non_human_findings,-1,0,201.tiff,gray_bbox
6,5826.0,603.0,4.109974,0.0,False,1.0,0.21152326464653015,human_correct_label,4444,1,201.tiff,gray_bbox
7,6509.0,842.0,4.187572,0.0,False,1.0,0.2113335132598877,non_human_findings,-1,0,201.tiff,gray_bbox
8,6537.0,3883.0,3.1798534,0.0,False,1.0,0.21088074147701263,non_human_findings,-1,0,201.tiff,gray_bbox
9,6265.0,3299.0,3.4897823,0.0,False,1.0,0.21003735065460205,human_correct_label,4469,1,201.tiff,gray_bbox
10,6576.0,396.0,3.747172,0.0,False,1.0,0.2098373919725418,non_human_findings,-1,0,201.tiff,gray_bbox
11,2072.0,3937.0,3.4478803,0.0,False,1.0,0.2077530324459076,human_correct_label,4477,1,201.tiff,gray_bbox
12,2855.0,4235.0,3.7430835,0.0,False,1.0,0.2059570550918579,human_correct_label,4476,1,201.tiff,gray_bbox
13,1253.0,3521.0,3.6382935,0.0,False,1.0,0.20449098944664001,human_rejected_label,4460,2,201.tiff,gray_bbox
14,4041.0,2723.0,3.6905303,0.0,False,1.0,0.2026039958000183,non_human_findings,-1,0,201.tiff,gray_bbox
15,3323.0,2617.0,3.870178,0.0,False,1.0,0.20135700702667236,human_rejected_label,4455,2,201.tiff,gray_bbox
16,2657.0,2520.0,4.4734273,0.0,False,1.0,0.20105741918087006,human_correct_label,4453,1,201.tiff,gray_bbox
17,6103.0,3363.0,3.352606,0.0,False,1.0,0.19751572608947754,human_correct_label,4493,1,201.tiff,gray_bbox
18,1312.0,3670.0,3.3892143,0.0,False,1.0,0.1968899518251419,human_rejected_label,4473,2,201.tiff,gray_bbox
19,5414.0,4028.0,3.5733416,0.0,False,1.0,0.19646762311458588,human_rejected_label,4487,2,201.tiff,gray_bbox
