file_name,seed_index,seed_ann_id,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,rect_touches_window_edge,n_filled_px,filled_share,fill_value,tpl_mean_default,tpl_mean_filled
233.tiff,2,5770,12,37,12,43,25,31,False,1826,0.7020376778162245,0.03507928550243378,0.058156509082224715,0.058156509461265465
211.tiff,0,4916,14,37,16,34,23,18,False,2187,0.8408304498269896,0.03613836690783501,0.04782346887381828,0.047823470250568406
211.tiff,1,4919,12,36,12,38,24,26,False,1977,0.7600922722029988,0.039387740194797516,0.05696772345241843,0.056967724369597496
211.tiff,2,4909,14,38,17,34,24,17,False,2193,0.8431372549019608,0.040338750928640366,0.04654889073342737,0.04654888982960853
220.tiff,0,5270,14,39,17,37,25,20,False,2101,0.8077662437524029,0.04528092220425606,0.062447963339414776,0.062447964118185616
220.tiff,1,5293,12,37,9,40,25,31,False,1826,0.7020376778162245,0.042684268206357956,0.05798928686430031,0.05798928815556739
220.tiff,2,5247,16,39,16,29,23,13,False,2302,0.8850442137639369,0.037108637392520905,0.05037024283711221,0.05037024400638462
230.tiff,0,5689,14,37,11,37,23,26,False,2003,0.7700884275278739,0.03272679075598717,0.045630591116624035,0.04563059087336759
230.tiff,1,5700,16,37,15,36,21,21,False,2160,0.8304498269896193,0.0336880125105381,0.047621045289544466,0.04762104469254704
230.tiff,2,5703,15,34,10,36,19,26,False,2107,0.8100730488273741,0.05103654786944389,0.061244305841249354,0.06124430570595179
235.tiff,0,5810,11,35,14,35,24,21,False,2097,0.8062283737024222,0.016878901049494743,0.023276950320748595,0.023276950838108067
235.tiff,1,5831,21,37,16,38,16,22,False,2249,0.8646674356016917,0.023168155923485756,0.029702198639644847,0.02970219909381594
235.tiff,2,5830,15,35,15,31,20,16,False,2281,0.8769703960015379,0.018650386482477188,0.02560133252822675,0.025601333115351562
242.tiff,0,6180,12,34,14,37,22,23,False,2095,0.8054594386774317,0.021044090390205383,0.031816366547549824,0.0318163670340648
242.tiff,1,6178,15,31,13,44,16,31,False,2105,0.8093041138023837,0.02169717475771904,0.03329485217329643,0.033294852027760495
242.tiff,2,6161,6,41,9,39,35,30,False,1551,0.5963091118800461,0.023915911093354225,0.040867470139136046,0.04086746970782156
245.tiff,0,6317,16,39,10,31,23,21,False,2118,0.8143021914648212,0.033517684787511826,0.036786393617146765,0.036786394364117105
245.tiff,1,6243,0,34,0,28,34,28,True,1649,0.6339869281045751,0.03074057772755623,0.03518928378404722,0.03518928342079902
245.tiff,2,6250,16,33,17,37,17,20,False,2261,0.869281045751634,0.03278407081961632,0.0364228529293672,0.036422853336024276
246.tiff,0,6548,10,37,16,32,27,16,False,2169,0.8339100346020761,0.02952093444764614,0.038289623870851136,0.038289623394442356
246.tiff,1,6599,21,35,16,39,14,23,False,2279,0.8762014609765475,0.028733430430293083,0.035611146535434575,0.03561114611409201
246.tiff,2,6482,18,37,12,43,19,31,False,2012,0.7735486351403307,0.029488269239664078,0.03924273830661958,0.03924273861223393
249.tiff,0,6940,14,33,15,37,19,22,False,2183,0.8392925797770089,0.020287351682782173,0.03489257767721814,0.0348925772554505
249.tiff,1,7008,18,35,14,43,17,29,False,2108,0.8104575163398693,0.029374361038208008,0.0390052425947239,0.0390052428086779
249.tiff,2,6992,13,34,15,37,21,22,False,2139,0.8223760092272203,0.022507283836603165,0.035804241449319714,0.03580424214994534
284.tiff,0,11810,19,33,13,37,14,24,False,2265,0.8708189158016147,0.030543239787220955,0.04211614745049668,0.04211614789890239
284.tiff,1,11817,17,36,14,35,19,21,False,2202,0.8465974625144176,0.03231173753738403,0.04383268914996975,0.043832690416796216
284.tiff,2,11832,15,38,22,37,23,15,False,2256,0.8673587081891581,0.035684678703546524,0.04526596930181458,0.04526596914143264
289.tiff,0,12690,15,35,16,38,20,22,False,2161,0.8308342945021145,0.02641988731920719,0.03132026040441688,0.03132026111874122
289.tiff,1,12675,14,39,12,35,25,23,False,2026,0.7789311803152633,0.029335685074329376,0.03623772807596172,0.03623772735440408
289.tiff,2,12640,16,32,14,37,16,23,False,2233,0.8585159554017685,0.025807417929172516,0.034327966353317266,0.03432796555856366
291.tiff,0,13272,16,39,7,34,23,27,False,1980,0.7612456747404844,0.04337431490421295,0.04950880573918083,0.04950880594512176
291.tiff,1,13169,11,34,14,37,23,23,False,2072,0.7966166858900423,0.04467571899294853,0.052290511148142316,0.052290512072779315
291.tiff,2,13283,14,36,14,35,22,21,False,2139,0.8223760092272203,0.037421099841594696,0.049242151372220995,0.04924215091000677
293.tiff,0,13596,21,39,13,37,18,24,False,2169,0.8339100346020761,0.028381723910570145,0.03824664533151238,0.03824664545071808
293.tiff,1,13588,10,35,13,37,25,24,False,2001,0.7693194925028836,0.03072071447968483,0.04274694864170744,0.042746949086178085
293.tiff,2,13625,14,35,15,35,21,20,False,2181,0.8385236447520185,0.03395494818687439,0.04536761860007388,0.04536761878855363
459.tiff,0,22441,10,39,10,41,29,31,False,1702,0.6543637062668205,0.03461445868015289,0.07053838556037724,0.07053838638386123
459.tiff,1,22446,7,42,5,44,35,39,False,1236,0.47520184544405997,0.029558798298239708,0.07073709593410035,0.07073709569757718
459.tiff,2,22306,14,36,10,42,22,32,False,1897,0.7293348712033834,0.027212833985686302,0.05212172431258246,0.05212172474609638
460.tiff,0,22577,3,43,9,36,40,27,False,1521,0.5847750865051903,0.03560774028301239,0.07413464143370592,0.0741346405864443
460.tiff,1,22538,12,34,21,35,22,14,False,2293,0.8815840061514802,0.034144770354032516,0.04653974158326125,0.04653974293499486
460.tiff,2,22552,13,41,8,37,28,29,False,1789,0.6878123798539023,0.03469492867588997,0.06850066114847661,0.06850066032799183
410.tiff,0,20699,20,35,13,33,15,20,False,2301,0.8846597462514417,0.02732006087899208,0.03146710225787861,0.031467102117290785
410.tiff,1,20687,13,33,9,38,20,29,False,2021,0.7770088427527874,0.03156435117125511,0.042475328384787826,0.04247532844113244
410.tiff,2,20694,18,33,9,41,15,32,False,2121,0.8154555940023068,0.025125106796622276,0.033981454366032476,0.03398145502128827
425.tiff,0,21116,8,43,0,39,35,39,True,1236,0.47520184544405997,0.052559204399585724,0.09133334176985689,0.091333342620853
425.tiff,1,21113,5,50,0,50,45,50,True,351,0.13494809688581316,0.06248873099684715,0.12674345837613107,0.12674345847782104
425.tiff,2,21120,5,42,9,40,37,31,False,1454,0.5590157631680123,0.06173079088330269,0.09272748661671165,0.09272748614478425
435.tiff,0,21400,12,41,14,35,29,21,False,1992,0.7658592848904268,0.0697062537074089,0.08642064077069432,0.08642064335282286
435.tiff,1,21385,8,39,17,35,31,18,False,2043,0.7854671280276817,0.04610743001103401,0.06461655343647313,0.06461655305213697
435.tiff,2,21359,20,45,14,37,25,23,False,2026,0.7789311803152633,0.07463399320840836,0.0937747202779117,0.09377472134151628
462.tiff,0,22660,14,36,10,40,22,30,False,1941,0.7462514417531718,0.02368089184165001,0.04922482873110613,0.04922482862199203
462.tiff,1,22686,15,36,12,40,21,28,False,2013,0.7739331026528259,0.021630601957440376,0.0386622291314927,0.03866222857351543
462.tiff,2,22672,22,36,14,34,14,20,False,2321,0.8923490965013456,0.026735538616776466,0.0376214025783967,0.03762140287203096
499.tiff,0,23957,16,32,13,39,16,26,False,2185,0.8400615148019992,0.01211577095091343,0.024269810763375182,0.024269811154119074
499.tiff,1,24000,17,34,14,37,17,23,False,2210,0.8496732026143791,0.014888375997543335,0.025791856219287767,0.02579185618707099
499.tiff,2,23980,12,31,9,39,19,30,False,2031,0.7808535178777394,0.013718314468860626,0.02634523946867573,0.02634523953165011
013.tiff,0,249,6,44,7,46,38,39,False,1119,0.4302191464821223,0.016157900914549828,0.05984328116532143,0.05984328131001256
013.tiff,1,263,13,38,15,41,25,26,False,1951,0.7500961168781238,0.025410432368516922,0.05655754301083776,0.05655754286966293
013.tiff,2,258,15,33,3,42,18,39,False,1899,0.7301038062283737,0.020681163296103477,0.0391790191673823,0.03917901865903316
094.tiff,0,2512,13,36,13,33,23,20,False,2141,0.8231449442522107,0.017636068165302277,0.02574218248142969,0.025742182315607234
094.tiff,1,2536,18,40,18,41,22,23,False,2095,0.8054594386774317,0.017744604498147964,0.02530762592523101,0.02530762618158753
094.tiff,2,2494,9,30,10,42,21,32,False,1929,0.7416378316032295,0.022191988304257393,0.032339871646759305,0.03233987109209971
007.tiff,0,135,14,40,9,39,26,30,False,1821,0.7001153402537486,0.03745405003428459,0.05043574603384032,0.05043574500440841
007.tiff,1,134,11,38,7,37,27,30,False,1791,0.6885813148788927,0.024548452347517014,0.0403360406572738,0.040336040617264424
007.tiff,2,130,3,39,12,41,36,29,False,1557,0.5986159169550173,0.027922306209802628,0.05645950731189052,0.05645950772242405
072.tiff,0,1812,8,37,12,41,29,29,False,1760,0.6766628219915417,0.016874590888619423,0.03345959288265856,0.03345959241581119
072.tiff,1,1844,12,39,14,34,27,20,False,2061,0.7923875432525952,0.014608344063162804,0.025649324664632902,0.02564932502323607
072.tiff,2,1813,4,43,7,36,39,29,False,1470,0.5651672433679354,0.015789151191711426,0.037923967805449876,0.03792396803749865
100.tiff,0,2794,18,37,15,43,19,28,False,2069,0.7954632833525567,0.010965378023684025,0.021444212082441513,0.02144421208465471
100.tiff,1,2768,18,46,10,41,28,31,False,1733,0.6662821991541714,0.006346916314214468,0.02747654250624125,0.027476542570691067
100.tiff,2,2747,11,39,9,36,28,27,False,1845,0.7093425605536332,0.007956701330840588,0.022277880501131223,0.022277880569820625
123.tiff,0,3503,17,38,6,46,21,40,False,1761,0.6770472895040369,0.016269652172923088,0.03724305542906986,0.03724305592256218
123.tiff,1,3468,16,40,15,35,24,20,False,2121,0.8154555940023068,0.01040488388389349,0.023206892976175137,0.02320689278516027
123.tiff,2,3516,0,36,17,33,36,16,True,2025,0.7785467128027682,0.00960850901901722,0.028881952478570116,0.028881952822484472
128.tiff,0,3625,19,42,2,51,23,49,True,1474,0.5667051134179162,0.004406827036291361,0.025271451131844574,0.025271451193368516
128.tiff,1,3616,7,40,3,39,33,36,False,1413,0.5432525951557093,0.007776682730764151,0.020703641761446335,0.020703641798850134
128.tiff,2,3624,6,39,17,29,33,12,False,2205,0.8477508650519031,0.00914755742996931,0.026880416896111686,0.02688041726337271
529.tiff,0,24918,11,43,4,34,32,30,False,1641,0.6309111880046137,0.0357624813914299,0.06072392519226745,0.060723924914483085
529.tiff,1,24937,17,35,8,40,18,32,False,2025,0.7785467128027682,0.03232003003358841,0.047078077963337454,0.047078077987506725
529.tiff,2,24914,16,35,11,39,19,28,False,2069,0.7954632833525567,0.039012789726257324,0.05288226510911374,0.052882265474248756
548.tiff,0,25804,9,36,13,39,27,26,False,1899,0.7301038062283737,0.06938551366329193,0.11018165127796388,0.11018164870671152
548.tiff,1,25712,7,40,10,41,33,31,False,1578,0.6066897347174164,0.05819888785481453,0.10052369881288128,0.10052369883293283
548.tiff,2,25735,9,38,13,39,29,26,False,1847,0.7101114955786236,0.06884519010782242,0.11381126182087221,0.11381126188747198
509.tiff,0,24264,3,43,3,48,40,45,False,801,0.3079584775086505,0.02638772875070572,0.05251097266568728,0.05251097282046013
509.tiff,1,24271,0,51,4,44,51,40,True,561,0.21568627450980393,0.0249733068048954,0.05868896652139818,0.05868896634361976
509.tiff,2,24260,13,41,0,51,28,51,True,1173,0.45098039215686275,0.02612754888832569,0.053222676507429706,0.05322267690631219
524.tiff,0,24536,4,46,9,47,42,38,False,1005,0.3863898500576701,0.03149617835879326,0.07721626597948254,0.07721626534320411
524.tiff,1,24543,15,40,12,42,25,30,False,1851,0.7116493656286044,0.044055525213479996,0.06359438954958754,0.06359439020484334
524.tiff,2,24532,15,29,10,46,14,36,False,2097,0.8062283737024222,0.04396797716617584,0.06279635195453433,0.06279635046934942
527.tiff,0,24720,9,40,11,36,31,25,False,1826,0.7020376778162245,0.06399555504322052,0.09879432590474238,0.0987943284734883
527.tiff,1,24705,6,44,10,41,38,31,False,1423,0.5470972702806612,0.05350487679243088,0.0959980301217021,0.09599803038219314
527.tiff,2,24715,8,44,12,41,36,29,False,1557,0.5986159169550173,0.06261056661605835,0.11018187833268887,0.11018187885474512
546.tiff,0,25538,9,35,13,40,26,27,False,1899,0.7301038062283737,0.02170153707265854,0.03530237425674757,0.03530237447507665
546.tiff,1,25551,11,41,15,31,30,16,False,2121,0.8154555940023068,0.024902980774641037,0.03970947676839186,0.03970947731193191
546.tiff,2,25539,14,42,6,42,28,36,False,1593,0.6124567474048442,0.031102143228054047,0.055998625866959556,0.05599862570856132
549.tiff,0,25963,9,46,11,39,37,28,False,1565,0.6016916570549788,0.04495064914226532,0.0863997218768753,0.08639972129752892
549.tiff,1,25961,9,38,1,41,29,40,False,1441,0.5540176855055747,0.040942154824733734,0.09348685817086015,0.09348685831413023
549.tiff,2,25983,13,42,0,41,29,41,True,1412,0.5428681276432141,0.03228230029344559,0.06889135763237109,0.06889135856870655
402.tiff,0,20254,11,36,14,37,25,23,False,2026,0.7789311803152633,0.10561610758304596,0.14161389024898852,0.14161389076316738
402.tiff,1,20258,9,41,8,34,32,26,False,1769,0.6801230296039985,0.10709410905838013,0.15517198210757588,0.15517198153467465
402.tiff,2,20157,12,35,14,41,23,27,False,1980,0.7612456747404844,0.0639442428946495,0.0961567256041086,0.09615672639542844
403.tiff,0,20356,15,45,9,38,30,29,False,1731,0.6655132641291811,0.08582035452127457,0.12630028096163512,0.1263002832633218
403.tiff,1,20344,9,42,7,39,33,32,False,1545,0.5940023068050749,0.08029734343290329,0.11130355730450861,0.11130355837941457
403.tiff,2,20396,5,43,6,45,38,39,False,1119,0.4302191464821223,0.042638957500457764,0.09144056149067695,0.09144056172592452
353.tiff,0,18278,5,47,7,45,42,38,False,1005,0.3863898500576701,0.025407150387763977,0.06465621386551357,0.064656213854604
353.tiff,1,18280,9,42,17,35,33,18,False,2007,0.7716262975778547,0.02527877874672413,0.053371670358019936,0.0533716704550327
353.tiff,2,18281,6,36,11,38,30,27,False,1791,0.6885813148788927,0.025758028030395508,0.060501928975725434,0.060501929536094456
364.tiff,0,18757,0,36,16,32,36,16,True,2025,0.7785467128027682,0.025149550288915634,0.03555879862167985,0.03555879923070352
364.tiff,1,18766,16,35,17,35,19,18,False,2259,0.8685121107266436,0.02116900496184826,0.03169133062941255,0.03169133028936433
364.tiff,2,18785,9,34,16,33,25,17,False,2176,0.8366013071895425,0.023254772648215294,0.030948485397817926,0.03094848593375053
400.tiff,0,20040,14,36,13,44,22,31,False,1919,0.7377931564782776,0.0359225831925869,0.06331142233596598,0.06331142233826542
400.tiff,1,19942,8,38,10,37,30,27,False,1791,0.6885813148788927,0.03739428520202637,0.07344906732517605,0.07344906702881156
400.tiff,2,19947,10,39,10,43,29,33,False,1644,0.6320645905420992,0.044541262090206146,0.07310348136064689,0.07310348042791444
401.tiff,0,20132,13,39,14,37,26,23,False,2003,0.7700884275278739,0.027158159762620926,0.046136124872003484,0.04613612511298006
401.tiff,1,20102,10,41,12,39,31,27,False,1764,0.6782006920415224,0.025614596903324127,0.05837913915960824,0.0583791395338515
401.tiff,2,20112,14,37,15,37,23,22,False,2095,0.8054594386774317,0.021755002439022064,0.036384788913020674,0.036384788610188665
404.tiff,0,20471,7,46,8,40,39,32,False,1353,0.5201845444059977,0.04999351128935814,0.08885734120247527,0.0888573416315022
404.tiff,1,20474,14,41,9,40,27,31,False,1764,0.6782006920415224,0.054825522005558014,0.08960086853865187,0.08960086875657813
404.tiff,2,20472,7,47,6,33,40,27,False,1521,0.5847750865051903,0.02984919771552086,0.06500597167661443,0.06500597141698498
