subset,domain,file_name,image_id,seed_index,seed_ann_id,click_cx,click_cy,mpp,is_recorded_seed,n_agreement_pool,n_after_border,n_joint_valid,n_seed_pool,n_retries,refused_draws,contested_seed_tier,margin_px,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,rectm_y0,rectm_y1,rectm_x0,rectm_x1,rectm_h,rectm_w,grow_top,grow_bottom,grow_left,grow_right,rect_touches_window_edge,n_comp_px,n_kept_px_rect,n_kept_px_rectm,n_kept_px_mask,mask_share_of_bbox,n_filled_px,n_filled_px_1um,n_filled_px_mask,fill_value,fill_value_1um,fill_value_mask,n_distinct_templates,collided_with_default,degenerate_hem_rect_fill,degenerate_hem_rect_fill_1um,degenerate_hem_mask_fill_1um,sha_default_51,sha_hem_rect_fill,sha_hem_rect_fill_1um,sha_hem_mask_fill_1um
original_14,canine cutaneous mast cell tumor,301.tiff,301,4,14816,4919.0,1339.0,0.2533008895448562,False,164,162,122,158,0,,False,4,14,32,13,36,18,23,10,36,9,40,26,31,4,4,4,4,False,238,414,806,544,0.674937965260546,2187,1795,2057,0.01792476698756218,0.016586827114224434,0.016862044110894203,4,,False,False,False,be53bcc2a2ecc88787bdb5afc9c106a0c64ad1da,4faf055f4131b1ac36c1c3085e924916d68ae57b,df7712582af915ee2a72c4d6ac6483f0d5f77492,fe298e7823eaec59c66b4c4030f225ccf23fbee0
original_14,canine cutaneous mast cell tumor,301.tiff,301,5,14937,2472.0,3551.0,0.2533008895448562,False,164,162,122,157,0,,False,4,23,42,12,31,19,19,19,46,8,35,27,27,4,4,4,4,False,253,361,729,547,0.7503429355281207,2240,1872,2054,0.017591053619980812,0.017840176820755005,0.0169586893171072,4,,False,False,False,71ba768fa1f4439c76844f8bbc26d5bf1530a299,62b72cbe6cdf1afe7248986ee54cf22536b4168e,3703b58b3737c2244e7b6bf7f01a560bf0eaeaba,170841c3c7e5cadbc7148c08cf5e1a5bae2dfc67
testing_35,canine cutaneous mast cell tumor,322.tiff,322,0,16292,2677.0,483.0,0.2533008895448562,True,23,23,16,23,1,16277:gray_bbox+hem_bbox,False,4,12,36,16,40,24,24,8,40,12,44,32,32,4,4,4,4,False,319,576,1024,663,0.6474609375,2025,1577,1938,0.014484677463769913,0.012993266806006432,0.013630278408527374,4,,False,False,False,ed220061df4d6d8e95189123d2b53908948adfe9,95486a089b0a82534bae322d15789a15e6f8a88b,1fd770385e4e729b704f4594f98650e32736b2b8,a3d916fc67374e3ee2a9d60ded1fadc764a99274
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,16270,870.0,4698.0,0.2533008895448562,True,23,23,16,22,0,,False,4,13,42,17,33,29,16,9,46,13,37,37,24,4,4,4,4,False,294,464,888,646,0.7274774774774775,2137,1713,1955,0.019621718674898148,0.017644962295889854,0.018081052228808403,4,,False,False,False,270970a472f29471b5c475feec5a0e3cf3e118a2,666973bded1fad7844877c0bb35f4ee09e521369,bc11ca9e9cc3d238f0af97c3c36fe982ac564d35,a36b0d45607895c9ac8f1f29b7ccfe18d21938e7
testing_35,canine cutaneous mast cell tumor,322.tiff,322,2,16265,1155.0,2592.0,0.2533008895448562,True,23,23,16,21,0,,False,4,12,39,19,35,27,16,8,43,15,39,35,24,4,4,4,4,False,328,432,840,672,0.8,2169,1761,1929,0.016378246247768402,0.015842875465750694,0.015142283402383327,4,,False,False,False,b50d97a204611772e6fcbd5dda16f08406a02e91,6161efce771a77bf44e5ff8a2e2bad44eb110175,341d2c7cf4aeb70ae9a7a29957a1b1ecddbea4c1,80456906cd5a35e63510b15cd7a6d555beca4ead
testing_35,canine cutaneous mast cell tumor,322.tiff,322,3,16274,3028.0,2305.0,0.2533008895448562,False,23,23,16,20,1,16277:gray_bbox+hem_bbox,False,4,16,42,16,37,26,21,12,46,12,41,34,29,4,4,4,4,False,274,546,986,615,0.6237322515212982,2055,1615,1986,0.01506650447845459,0.015128308907151222,0.014604797586798668,4,,False,False,False,d3705c6da52f55348fcdd81894eab2d5985146c1,912ceae9de83b1b16a5cad58c7c78afd9429d8bf,c6b7edb9a872fdc6ccc5f25585640cb3d8c48496,e4dbb574e9dd481a14d06e94452f331c33782454
testing_35,canine cutaneous mast cell tumor,322.tiff,322,4,16268,293.0,3218.0,0.2533008895448562,False,23,23,16,19,0,,False,4,18,36,13,37,18,24,14,40,9,41,26,32,4,4,4,4,False,235,432,832,546,0.65625,2169,1769,2055,0.016422059386968613,0.014986135065555573,0.015067276544868946,4,,False,False,False,2a6915220b7d9af4a8ea281368112a89091ee118,9db5c86f738f8b1be030e3274dfedfc1cb9cec4e,2599d4dde4439d32d83b26529c06c889f862d96e,f965c3f958d2f442a987331180b4171d8fb5c2fd
testing_35,canine cutaneous mast cell tumor,322.tiff,322,5,16286,4889.0,2471.0,0.2533008895448562,False,23,23,16,18,0,,False,4,18,40,16,28,22,12,14,44,12,32,30,20,4,4,4,4,False,182,264,600,457,0.7616666666666667,2337,2001,2144,0.01717524603009224,0.016726836562156677,0.01634957268834114,4,,False,False,False,52e455b405ada001ca875da3e9874711ed228d4f,c64cd7d26b4b6fa4ad0f442f26c987b690ce813a,eb3730877d16ba1ffb492f864aa87da70d638819,72f05b244c898ca55820063e2395437c3e528992
testing_35,canine cutaneous mast cell tumor,337.tiff,337,0,17124,5800.0,1938.0,0.2533008895448562,True,13,13,10,13,0,,False,4,18,37,17,32,19,15,14,41,13,36,27,23,4,4,4,4,False,206,285,621,480,0.7729468599033816,2316,1980,2121,0.019117657095193863,0.018292102962732315,0.018106600269675255,4,,False,False,False,e0a54924c6e475d75dfa8f644a8b0866d76cf759,1e5b43386b6c38805bc33724e331ba01b439927d,f586f24d98a60591130f27e81820862f804178d9,7c5ba53da90460e4f3a9d3d02e12c3299727329c
testing_35,canine cutaneous mast cell tumor,337.tiff,337,1,17129,1345.0,3796.0,0.2533008895448562,True,13,13,10,12,0,,False,4,19,32,16,36,13,20,15,36,12,40,21,28,4,4,4,4,False,146,260,588,402,0.6836734693877551,2341,2013,2199,0.012794175185263157,0.011880265548825264,0.012080183252692223,4,,False,False,False,762dbb4ecf240b07be6ff242198f7a8622abb274,4bf2f606df3c5d7045e909c0937547ebe732eb6c,39261dd94b483a0b596c8cd733b0d2d447477f29,e84cf568ee585c59f886c99fc219b1c289923809
testing_35,canine cutaneous mast cell tumor,337.tiff,337,2,17118,5688.0,3403.0,0.2533008895448562,True,13,13,10,11,1,17119:gray_bbox+hem_bbox,False,4,17,37,17,37,20,20,13,41,13,41,28,28,4,4,4,4,False,218,400,784,513,0.6543367346938775,2201,1817,2088,0.015923406928777695,0.013595422729849815,0.014670485630631447,4,,False,False,False,2bcfdb350d19012a13d821c9fbaec76f88bd57b0,f639dd346001779587d679b6dea38f8b9f45bb2f,cc6e0b4a8bf9fa170a3a76b8271601cfd4a346f9,1ac82041736a74251723e3cc6a74213b9454284e
testing_35,canine cutaneous mast cell tumor,337.tiff,337,3,17087,1375.0,3858.0,0.2533008895448562,False,13,13,10,10,0,,False,4,10,42,16,32,32,16,6,46,12,36,40,24,4,4,4,4,False,346,512,960,707,0.7364583333333333,2089,1641,1894,0.012128820642828941,0.01018261257559061,0.011111182160675526,4,,False,False,False,9e159cd2d98f49178903f93aecbad320eb029851,c986f5de78a6edbc974a4c51b6c8e4e990c534bf,8aa73d1cb0233f22d122f5d8eb25faf55f009303,c8a87d26dfb55287adc3db0709056bcab8f3abdb
testing_35,canine cutaneous mast cell tumor,337.tiff,337,4,17100,4016.0,315.0,0.2533008895448562,False,13,13,10,9,0,,False,4,15,35,19,38,20,19,11,39,15,42,28,27,4,4,4,4,False,224,380,756,517,0.6838624338624338,2221,1845,2084,0.01765356957912445,0.016965508460998535,0.016638511791825294,4,,False,False,False,0bf68b8da092d0d0a874906ca85965f562e96a4a,1d8e67752bb4d54ee77eda6562359e3c509db683,6c2a7435fb579bdd315c3bf169ebc04e6467a81b,126de995e3d592e35d6e47d76503e6e607310aaa
testing_35,canine cutaneous mast cell tumor,337.tiff,337,5,17084,1370.0,2806.0,0.2533008895448562,False,13,13,10,8,0,,False,4,19,33,15,36,14,21,15,37,11,40,22,29,4,4,4,4,False,176,294,638,447,0.700626959247649,2307,1963,2154,0.019932158291339874,0.020552167668938637,0.020133985206484795,4,,False,False,False,beb4359cf858e12e8bf5becc5aa165f4ce86eaaa,5af5d4f0002f9d3faee5f32fa049900111b2b2e9,ae3cc34341988c23a4cd0175a85b462f7c056b31,ebbeaa98a4ed207644c88ad5afedb5a43a04c085
testing_35,canine cutaneous mast cell tumor,339.tiff,339,0,17152,587.0,1289.0,0.2533008895448562,True,10,10,7,10,0,,False,4,10,34,9,40,24,31,6,38,5,44,32,39,4,4,4,4,False,360,744,1248,780,0.625,1857,1353,1821,0.008451947011053562,0.00766336964443326,0.006998048629611731,4,,False,False,False,16ad063e052f9384fcfe7853f9ae7193697ef1ce,3654e1ea061efa92eaae0fad9414bcb2dbefa797,9b6da397645f04b907d40d277a338cc8396e5a38,ff42a869078861bd37ce810af59b4dd6ada5eaf5
testing_35,canine cutaneous mast cell tumor,339.tiff,339,1,17149,1659.0,41.0,0.2533008895448562,True,10,10,7,9,0,,False,4,13,44,11,36,31,25,9,48,7,40,39,33,4,4,4,4,False,422,775,1287,881,0.6845376845376845,1826,1314,1720,0.011381865479052067,0.012033252976834774,0.011174891144037247,4,,False,False,False,38beb41eb8ec6e2a146b623b80157d7ed89ed0f0,f496b3496fb602287a408ebdafb57e77346f1318,8dd1c65b63d999918be5cfcea6ffe8ebc7c4a238,a855249d9b39bfb704bf4ded2da4327e9c627696
testing_35,canine cutaneous mast cell tumor,339.tiff,339,2,17151,4409.0,140.0,0.2533008895448562,True,10,10,7,8,1,17169:hem_bbox,False,4,22,30,18,37,8,19,18,34,14,41,16,27,4,4,4,4,False,119,152,432,352,0.8148148148148148,2449,2169,2249,0.0072001866064965725,0.0071563743986189365,0.006966985296458006,4,,False,False,False,d0b63c871f08a1d8deded9e96de17d1e1e7bcd10,fafa6f80857d1eeae39318b58d7ac6d7a58dd7bc,9e60f7c49d08d3cdd7afd690745c373f21b6efc1,7a16bf1b86ac40f853a341fa1602662623afbca9
testing_35,canine cutaneous mast cell tumor,339.tiff,339,3,17157,6071.0,1296.0,0.2533008895448562,False,10,10,7,7,0,,False,4,12,33,17,38,21,21,8,37,13,42,29,29,4,4,4,4,False,221,441,841,545,0.6480380499405469,2160,1760,2056,0.011651717126369476,0.009983559139072895,0.011575045064091682,4,,False,False,False,629b85abb967dc9737b0c56d13a6b3922c8ad2c7,00f41c2f123138800c15ec3d1455a040a272a870,5dcf81ccfe762ccc9a5c2266a4e0e56e3e0dc3db,84d23c34f56d3269bc238dda4702d350db5784ce
testing_35,canine cutaneous mast cell tumor,339.tiff,339,4,17155,4063.0,881.0,0.2533008895448562,False,10,10,7,6,0,,False,4,13,36,14,37,23,23,9,40,10,41,31,31,4,4,4,4,False,282,529,961,624,0.6493236212278877,2072,1640,1977,0.01297373604029417,0.010911188088357449,0.012388186529278755,4,,False,False,False,fc8d06aea1cccf90b173bbc475adcf753f0a0ee4,04e94c81aac2e00d08cc35ea3119f5850d8b3690,484c43ff71e5a8048dac36633fb8aaa3085954a3,bc86727a703d5d76348e5dfa1b5e241710fa6790
testing_35,canine cutaneous mast cell tumor,339.tiff,339,5,17154,3298.0,1611.0,0.2533008895448562,False,10,10,7,5,1,17169:hem_bbox,False,4,6,41,0,36,35,36,2,45,0,40,43,40,4,4,0,4,True,459,1260,1720,1055,0.6133720930232558,1341,881,1546,0.009681067429482937,0.009938492439687252,0.010996213182806969,4,,False,False,False,82380b84a529146dfc531343174dea2f96de0bb6,f493fdb01174f020692ba76f1d4c4ad93fd084f9,95da62e07a4d287d5bf566fc33c572dc00589594,5390432a4f918a61af6fba235aa4cfd5af8b2e0f
testing_35,canine cutaneous mast cell tumor,343.tiff,343,0,17382,5675.0,4651.0,0.2533008895448562,True,28,28,20,28,0,,False,4,18,38,7,27,20,20,14,42,3,31,28,28,4,4,4,4,False,237,400,784,549,0.7002551020408163,2201,1817,2052,0.026896443217992783,0.027773970738053322,0.027034321799874306,4,,False,False,False,b774afe99b8c4f96ce18b56d8dea55e11395d6f6,993e97288ccf2160805601bc0b5841397c59ef86,16762b6ac30ec27ce5a03c757306354f230fc2f3,b6699bcbdd6dc6d815214c0f632d737aff44933b
testing_35,canine cutaneous mast cell tumor,343.tiff,343,1,17363,489.0,4565.0,0.2533008895448562,True,28,28,20,27,0,,False,4,21,35,16,34,14,18,17,39,12,38,22,26,4,4,4,4,False,125,252,572,383,0.6695804195804196,2349,2029,2218,0.0173353161662817,0.017394574359059334,0.017461232841014862,4,,False,False,False,6ece88324204eb4bf947a1e6e2d193312caddd58,4b502ac39ae5424bf6558e46548c6ab9216126d7,02f09746be41b0a94088939dea4ec2db18279f79,eea3c7614366249ae9c7b78b2eede60b1d6016f6
testing_35,canine cutaneous mast cell tumor,343.tiff,343,2,17368,2083.0,2749.0,0.2533008895448562,True,28,28,20,26,0,,False,4,13,36,21,33,23,12,9,40,17,37,31,20,4,4,4,4,False,192,276,620,468,0.7548387096774194,2325,1981,2133,0.015479527413845062,0.014755195938050747,0.014788868837058544,4,,False,False,False,74ac1062665f7ba02c13de668f7facc9a3d70f60,fc0718adae5b0c252a278153541986a2c2a360e3,a40cd734a9a6c2e78d056ca5c482409294a55742,5fd50765a2acbb8af5429bce7a30199f5ba25b35
testing_35,canine cutaneous mast cell tumor,343.tiff,343,3,17371,1863.0,554.0,0.2533008895448562,False,28,28,20,25,2,17380:hem_bbox;17366:gray_bbox+hem_bbox,False,4,15,42,9,44,27,35,11,46,5,48,35,43,4,4,4,4,False,583,945,1505,1018,0.6764119601328904,1656,1096,1583,0.014609040692448616,0.01566733792424202,0.014693922363221645,4,,False,False,False,638be979f3f70a9aa99b8bfb96118fc036795d5c,f7cceec6a563216c24c56f6e5dcc2975ed3a6398,0f3d607b90c7da6d8de015f436d1e5278f461f9e,943ba5f496d28ae148d70e2cac0027241fd045e3
testing_35,canine cutaneous mast cell tumor,343.tiff,343,4,17367,2442.0,2996.0,0.2533008895448562,False,28,28,20,24,0,,False,4,12,40,12,39,28,27,8,44,8,43,36,35,4,4,4,4,False,566,756,1260,971,0.7706349206349207,1845,1341,1630,0.018224570900201797,0.01581459306180477,0.017657360062003136,4,,False,False,False,b0d12de7fd164d5ab69d054b52d45a6795d47024,2d4fccb8048946795d921c78865af597554dbc7f,aa0b42132ba2c8b7620d1622166b2583437a9d85,0f9efae90b3dc2675221c7bc02306a4fce1f1fae
testing_35,canine cutaneous mast cell tumor,343.tiff,343,5,17385,4948.0,1943.0,0.2533008895448562,False,28,28,20,23,0,,False,4,10,43,13,35,33,22,6,47,9,39,41,30,4,4,4,4,False,549,726,1230,979,0.7959349593495935,1875,1371,1622,0.01695588417351246,0.01752951368689537,0.01682024449110031,4,,False,False,False,050ed7fd23c38c321b9abcd2cc71a509cf2d2af8,f126faeaa67ba9a9f48abb7504697c11ac67ca37,0855b048af9ac3820a194a6d74f1ee5a71e89eeb,a87e245c1b63785abfcfa70c936baac2d8c1b8fb
testing_35,canine cutaneous mast cell tumor,344.tiff,344,0,17457,1797.0,3481.0,0.2533008895448562,True,30,30,27,30,0,,False,4,18,37,16,35,19,19,14,41,12,39,27,27,4,4,4,4,False,230,361,729,519,0.7119341563786008,2240,1872,2082,0.018264135345816612,0.017868217080831528,0.017800798639655113,4,,False,False,False,8a5236e8821278f3c63e7cfc2a07b82597ed3e28,b78a85bb02ac6cca3d2712c126f393a262a3572b,14f650f4fa7eade9c95518abdd15322af3655fe4,01e2bead94835cfc79f87086673c31301ed8557f
testing_35,canine cutaneous mast cell tumor,344.tiff,344,1,17469,4351.0,1782.0,0.2533008895448562,True,30,30,27,29,0,,False,4,17,33,14,34,16,20,13,37,10,38,24,28,4,4,4,4,False,227,320,672,506,0.7529761904761905,2281,1929,2095,0.01926523633301258,0.01847468689084053,0.01838497817516327,4,,False,False,False,90f14f7f33a951d6bb335b2f8cf871a54ded930e,8436d17061392762f6f872bb7b78044a0d6916e5,5a059835626bab636a6ac76001f36ad1348bbee0,8347fbf053582bb38dd9278be2d5e456f4cf0423
testing_35,canine cutaneous mast cell tumor,344.tiff,344,2,17460,2486.0,4123.0,0.2533008895448562,True,30,30,27,28,0,,False,4,17,37,16,35,20,19,13,41,12,39,28,27,4,4,4,4,False,242,380,756,531,0.7023809523809523,2221,1845,2070,0.017942186444997787,0.018152503296732903,0.01768593303859234,4,,False,False,False,44e5c3f4a0cbdac0ce2bcf54b904482c38e0091c,abf9196e1fddf483ac347bd6e17845d683908e22,7583f1b203e737dd903d09dcdb6a48e1ac95de9d,dfbbafe6946facb0c2d631417e0e67de3a5694bc
testing_35,canine cutaneous mast cell tumor,344.tiff,344,3,17454,564.0,2544.0,0.2533008895448562,False,30,30,27,27,0,,False,4,17,37,17,38,20,21,13,41,13,42,28,29,4,4,4,4,False,293,420,812,601,0.7401477832512315,2181,1789,2000,0.023903677240014076,0.024395082145929337,0.02399708889424801,4,,False,False,False,047b0669f4b3f38ac0ab2c33319824db960674ca,7f471838825e275b7d09d49e9ee3a2037e0221a2,3204a6f63edaa84aeaae80737226f52b3c8b0f02,fd0635e88a047ab8edfe66dd0e6006da18151bf6
testing_35,canine cutaneous mast cell tumor,344.tiff,344,4,17480,6226.0,1541.0,0.2533008895448562,False,30,30,27,26,0,,False,4,18,39,14,33,21,19,14,43,10,37,29,27,4,4,4,4,False,249,399,783,546,0.6973180076628352,2202,1818,2055,0.017374807968735695,0.016424767673015594,0.01632058620452881,4,,False,False,False,29873915351f27c5b13c8ce8047fd41a6d6bae6c,24a9d6410cb3f6a216a73fdd45ed9339f53a79a7,116e3011e05f9e4bedb6940fb59066af2487a072,68c76001013b82153fe2233f183f10c72bd19c3e
testing_35,canine cutaneous mast cell tumor,344.tiff,344,5,17470,4203.0,2943.0,0.2533008895448562,False,30,30,27,25,0,,False,4,16,35,14,35,19,21,12,39,10,39,27,29,4,4,4,4,False,317,399,783,627,0.8007662835249042,2202,1818,1974,0.02166808396577835,0.022419627755880356,0.021394340321421623,4,,False,False,False,7acebfde1338e16734c09be59c6f876060c32dd1,1e5485c5078fd0427c7e23359f78c81b3eae8a9b,f8dd01d380ab627ff579a966b31d35c4f8cfd371,a4297dcabb314179a4cdc5c33319e6c4cc75d047
original_14,canine lung cancer,201.tiff,201,0,4457,4097.0,1978.0,0.24816562612969095,True,7,7,6,7,0,,False,4,11,40,7,34,29,27,7,44,3,38,37,35,4,4,4,4,False,347,783,1295,794,0.6131274131274131,1818,1306,1807,0.041272763162851334,0.039839230477809906,0.04143860563635826,4,,False,False,False,dc31b3172070f5ffdc292ab322a31903f7836050,e1b4d97ec6fd2dbad95b97e2f9e2c95292f64f6a,4d510f0a8d5ecc9588ad9b2560ae0bbfc586f0e0,915e1c818f4220d4ea1eee64f3ce2fd4930b5870
original_14,canine lung cancer,201.tiff,201,1,4469,6265.0,3299.0,0.24816562612969095,True,7,7,6,6,0,,False,4,11,41,12,35,30,23,7,45,8,39,38,31,4,4,4,4,False,336,690,1178,736,0.6247877758913413,1911,1423,1865,0.05434849113225937,0.057370543479919434,0.0540093258023262,4,,False,False,False,b0fb00fb617ddc39a18881027a185e52b1677859,3a97f4a7f30873a7bdb6296a5c761e15f7056926,d7b0a55548277296cb4860edb201ee35ad31312a,66c8607dc3ae55f13604d6a947a7b1f0dfa23b81
original_14,canine lung cancer,201.tiff,201,2,4476,2859.0,4239.0,0.24816562612969095,True,7,7,6,5,0,,False,4,13,39,8,41,26,33,9,43,4,45,34,41,4,4,4,4,False,529,858,1394,987,0.7080344332855093,1743,1207,1614,0.040064334869384766,0.045563552528619766,0.04080177843570709,4,,False,False,False,154edfbb1045a8ec6390b1149d2826c7ec6169e6,14fee8366a9c53cb0be24ffc842a78e1d3ec1405,ba1c57c074edca7e144eb4bdccf876e594756a22,797989886023392699eb80720331cc76e2b270f1
original_14,canine lung cancer,201.tiff,201,3,4477,2076.0,3936.0,0.24816562612969095,False,7,7,6,4,1,4454:gray_bbox+hem_bbox,False,4,11,40,13,39,29,26,7,44,9,43,37,34,4,4,4,4,False,330,754,1258,731,0.581081081081081,1847,1343,1870,0.03460168465971947,0.03680047392845154,0.033059898763895035,4,,False,False,False,3d744da01488cec4b1698c29e98b9c4be28fa318,b7ec5dff2ed450a84b8421f1c7c28c5c8373b943,21c7013b88619f23c03e869ec0ceeb1fa84aa966,f9e96ab546d6d9f7c38ce218b0a58a1fb4e03f7c
original_14,canine lung cancer,201.tiff,201,4,4479,2870.0,3724.0,0.24816562612969095,False,7,7,6,3,0,,False,4,12,41,2,47,29,45,8,45,0,51,37,51,4,4,2,4,False,747,1305,1887,1276,0.676205617382088,1296,714,1325,0.03530573844909668,0.029695089906454086,0.03284269571304321,4,,False,False,False,7756c9a88d9fcad73abb6b98ad0d80621b6f72ff,d0a0ed12c4fd06bcb7e5217d1e288f3d1a9dfc7e,5f9cbfee30c61a57c5a7ece1e9910c952a92d88c,ea9469e24640143bf56bff01687799ed6e60624c
