rank,cx,cy,score,od,bucket,matched_ann_id,matched_category,file_name
233,3111.0,800.0,0.75943816,0.11022315174341202,non_human_findings,-1,0,301.tiff
234,2236.0,2556.0,0.76915175,0.11020268499851227,non_human_findings,-1,0,301.tiff
235,5859.0,344.0,0.7694115,0.11016968637704849,non_human_findings,-1,0,301.tiff
236,178.0,2646.0,0.7776242,0.11013424396514893,non_human_findings,-1,0,301.tiff
237,3047.0,1718.0,0.75223494,0.11009953171014786,non_human_findings,-1,0,301.tiff
238,5848.0,4807.0,0.76471174,0.11008930206298828,non_human_findings,-1,0,301.tiff
239,5687.0,2580.0,0.8118067,0.1100587248802185,non_human_findings,-1,0,301.tiff
240,843.0,872.0,0.76910007,0.10996096581220627,non_human_findings,-1,0,301.tiff
241,321.0,2645.0,0.7743771,0.10985959321260452,non_human_findings,-1,0,301.tiff
242,4424.0,236.0,0.75791335,0.10981953144073486,human_correct_label,14754,1,301.tiff
243,6128.0,3201.0,0.7519998,0.10981936752796173,non_human_findings,-1,0,301.tiff
244,1932.0,1282.0,0.7392575,0.10967905819416046,non_human_findings,-1,0,301.tiff
245,1128.0,2342.0,0.7859557,0.10964661836624146,non_human_findings,-1,0,301.tiff
246,1479.0,4391.0,0.792822,0.1095462515950203,human_correct_label,14983,1,301.tiff
247,1018.0,2317.0,0.78359574,0.1095186099410057,non_human_findings,-1,0,301.tiff
248,5571.0,4640.0,0.78330994,0.10951123386621475,non_human_findings,-1,0,301.tiff
249,6098.0,3853.0,0.78777987,0.1095077395439148,human_correct_label,14970,1,301.tiff
250,3475.0,3366.0,0.7783047,0.10950406640768051,non_human_findings,-1,0,301.tiff
251,1384.0,2007.0,0.7730778,0.10948450863361359,non_human_findings,-1,0,301.tiff
252,217.0,2718.0,0.7994218,0.1094716340303421,non_human_findings,-1,0,301.tiff
253,6026.0,2514.0,0.7824202,0.10939276963472366,human_rejected_label,15038,2,301.tiff
254,1678.0,4025.0,0.7987382,0.109346404671669,non_human_findings,-1,0,301.tiff
255,1213.0,4617.0,0.7613802,0.1092347726225853,non_human_findings,-1,0,301.tiff
256,3572.0,561.0,0.7387838,0.10921715199947357,non_human_findings,-1,0,301.tiff
257,5948.0,4385.0,0.7398805,0.10917757451534271,non_human_findings,-1,0,301.tiff
258,4502.0,2641.0,0.75440985,0.1090560182929039,non_human_findings,-1,0,301.tiff
259,129.0,1340.0,0.834149,0.1090046763420105,non_human_findings,-1,0,301.tiff
260,2060.0,2326.0,0.75912434,0.10898913443088531,non_human_findings,-1,0,301.tiff
261,386.0,1207.0,0.8138558,0.10894636809825897,non_human_findings,-1,0,301.tiff
262,1362.0,1825.0,0.7617657,0.10885807871818542,non_human_findings,-1,0,301.tiff
263,1769.0,3592.0,0.82451594,0.10884460806846619,non_human_findings,-1,0,301.tiff
264,773.0,1920.0,0.7954693,0.10883864015340805,non_human_findings,-1,0,301.tiff
265,253.0,3581.0,0.74571544,0.10877873003482819,non_human_findings,-1,0,301.tiff
266,5250.0,2342.0,0.75870806,0.10877075046300888,non_human_findings,-1,0,301.tiff
267,2045.0,3259.0,0.7676146,0.10864473879337311,non_human_findings,-1,0,301.tiff
268,2539.0,2174.0,0.7592751,0.10860343277454376,non_human_findings,-1,0,301.tiff
269,5876.0,2723.0,0.7861909,0.10853974521160126,non_human_findings,-1,0,301.tiff
270,952.0,563.0,0.7787421,0.10852070152759552,non_human_findings,-1,0,301.tiff
271,4798.0,4432.0,0.8825225,0.10850509256124496,human_rejected_label,15009,2,301.tiff
272,369.0,386.0,0.7703029,0.10849093645811081,human_rejected_label,15030,2,301.tiff
273,5412.0,3538.0,0.82564586,0.1084352657198906,human_correct_label,14963,1,301.tiff
274,4029.0,3286.0,0.7369532,0.10841406881809235,non_human_findings,-1,0,301.tiff
275,551.0,2403.0,0.83683175,0.10836126655340195,human_rejected_label,14886,2,301.tiff
276,3013.0,2664.0,0.767676,0.10808837413787842,non_human_findings,-1,0,301.tiff
277,3041.0,2946.0,0.7482384,0.10802330076694489,non_human_findings,-1,0,301.tiff
278,4071.0,1474.0,0.80707836,0.10794113576412201,non_human_findings,-1,0,301.tiff
279,890.0,1502.0,0.76100034,0.1079261302947998,non_human_findings,-1,0,301.tiff
280,92.0,4083.0,0.78311443,0.10781751573085785,non_human_findings,-1,0,301.tiff
281,5985.0,3317.0,0.73817617,0.1078130304813385,non_human_findings,-1,0,301.tiff
282,1985.0,3987.0,0.80421805,0.10777344554662704,non_human_findings,-1,0,301.tiff
283,3892.0,3423.0,0.73769814,0.1076904833316803,non_human_findings,-1,0,301.tiff
284,2455.0,4057.0,0.8232107,0.1076730340719223,non_human_findings,-1,0,301.tiff
285,1376.0,1491.0,0.76641285,0.10765095055103302,non_human_findings,-1,0,301.tiff
286,4319.0,998.0,0.7407336,0.10760997235774994,non_human_findings,-1,0,301.tiff
287,1732.0,2846.0,0.7888369,0.10755298286676407,non_human_findings,-1,0,301.tiff
288,2171.0,2887.0,0.76647365,0.10751814395189285,non_human_findings,-1,0,301.tiff
289,696.0,2770.0,0.73801595,0.1074182540178299,non_human_findings,-1,0,301.tiff
290,3223.0,3408.0,0.7954077,0.10736188292503357,non_human_findings,-1,0,301.tiff
291,6292.0,3997.0,0.8428089,0.10728422552347183,non_human_findings,-1,0,301.tiff
292,993.0,2511.0,0.7719054,0.10722540318965912,non_human_findings,-1,0,301.tiff
293,2304.0,4289.0,0.75321203,0.10707824677228928,non_human_findings,-1,0,301.tiff
294,6282.0,2498.0,0.7548202,0.10684928297996521,non_human_findings,-1,0,301.tiff
295,5402.0,2538.0,0.75594234,0.10681711137294769,non_human_findings,-1,0,301.tiff
296,6287.0,131.0,0.824393,0.10679862648248672,non_human_findings,-1,0,301.tiff
297,4651.0,1126.0,0.7487541,0.10676120966672897,non_human_findings,-1,0,301.tiff
298,2052.0,1828.0,0.73953485,0.10673779994249344,non_human_findings,-1,0,301.tiff
299,480.0,3238.0,0.7443611,0.10671933740377426,non_human_findings,-1,0,301.tiff
300,3607.0,2706.0,0.7631218,0.10664200037717819,non_human_findings,-1,0,301.tiff
301,415.0,3164.0,0.77830946,0.10662856698036194,non_human_findings,-1,0,301.tiff
302,1628.0,3512.0,0.74845123,0.10658133774995804,non_human_findings,-1,0,301.tiff
303,6180.0,1611.0,0.74019367,0.10654555261135101,non_human_findings,-1,0,301.tiff
304,2065.0,2890.0,0.77916414,0.10640713572502136,human_correct_label,14893,1,301.tiff
305,95.0,1811.0,0.7451586,0.10637754201889038,non_human_findings,-1,0,301.tiff
306,4933.0,3671.0,0.75223935,0.10635656863451004,non_human_findings,-1,0,301.tiff
307,3655.0,731.0,0.81151235,0.10629227757453918,non_human_findings,-1,0,301.tiff
308,2747.0,3721.0,0.83315104,0.10628680884838104,non_human_findings,-1,0,301.tiff
309,5622.0,2057.0,0.7383155,0.10626235604286194,non_human_findings,-1,0,301.tiff
310,2564.0,4367.0,0.75711703,0.10624856501817703,non_human_findings,-1,0,301.tiff
