figure,item,plotted,recomputed,match,note
fig1 cell24,301.tiff/od_contrast/K=50,+0.02,+0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,301.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/tm_score/K=10,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/tm_score/K=10 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/tm_score/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/tm_score/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/tm_score/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/tm_score/K=50,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/chromatin_od/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/chromatin_od/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/chromatin_od/K=50,-0.08,-0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/od_contrast/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/od_contrast/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,201.tiff/od_contrast/K=50,-0.06,-0.06,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,201.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/tm_score/K=10,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/tm_score/K=10 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/tm_score/K=20,+0.05,+0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/tm_score/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/tm_score/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/tm_score/K=50,-0.02,-0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/chromatin_od/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/chromatin_od/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/chromatin_od/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/chromatin_od/K=50,-0.02,-0.02,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/od_contrast/K=10,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/od_contrast/K=20,-0.05,-0.05,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/od_contrast/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,233.tiff/od_contrast/K=50,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=50 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,233.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/tm_score/K=10,+0.20,+0.20,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/tm_score/K=10 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/tm_score/K=20,+0.25,+0.25,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/tm_score/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/tm_score/K=30,+0.20,+0.20,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/tm_score/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/tm_score/K=50,+0.12,+0.12,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/tm_score/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/chromatin_od/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/chromatin_od/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/chromatin_od/K=50,+0.08,+0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/od_contrast/K=20,-0.15,-0.15,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/od_contrast/K=30,-0.07,-0.07,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,245.tiff/od_contrast/K=50,+0.08,+0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=50 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,245.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/tm_score/K=10,-0.20,-0.20,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/tm_score/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/tm_score/K=20,-0.20,-0.20,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/tm_score/K=30,-0.27,-0.27,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/tm_score/K=50,-0.18,-0.18,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/chromatin_od/K=20,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/chromatin_od/K=30,+0.03,+0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=30 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/chromatin_od/K=50,-0.08,-0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/od_contrast/K=20,+0.10,+0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=20 sign,1,1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/od_contrast/K=30,-0.03,-0.03,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,246.tiff/od_contrast/K=50,-0.12,-0.12,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,246.tiff/od_contrast/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/tm_score/K=10,-0.20,-0.20,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/tm_score/K=10 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/tm_score/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/tm_score/K=20,-0.10,-0.10,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/tm_score/K=20 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/tm_score/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/tm_score/K=30,-0.13,-0.13,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/tm_score/K=30 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/tm_score/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/tm_score/K=50,-0.06,-0.06,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/tm_score/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/tm_score/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/chromatin_od/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=10 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/chromatin_od/K=20,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=20 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=20 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/chromatin_od/K=30,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=30 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=30 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/chromatin_od/K=50,-0.08,-0.08,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=50 sign,-1,-1,True,sign of the plotted float delta vs the exact integer delta
fig1 cell24,459.tiff/chromatin_od/K=50 in frame,True,True,True,nothing clipped by vmin/vmax
fig1 cell24,459.tiff/od_contrast/K=10,+0.00,+0.00,True,rendered label (2dp of the rounded-float delta) vs 2dp of the exact integer delta
fig1 cell24,459.tiff/od_contrast/K=10 sign,0,0,True,sign of the plotted float delta vs the exact integer delta
