file_name,z,check,n_genuine,n_shortcut,passed
094.tiff,18.0,scores_descending,14,14,True
094.tiff,22.0,rerun_equals_prefix,1,1,True
094.tiff,22.0,max_peaks_not_binding,1,2000000,True
094.tiff,22.0,scores_descending,1,1,True
094.tiff,26.0,rerun_equals_prefix,0,0,True
094.tiff,26.0,max_peaks_not_binding,0,2000000,True
094.tiff,26.0,scores_descending,0,0,True
201.tiff,-1.5,max_peaks_not_binding,31314,2000000,True
201.tiff,-1.5,scores_descending,15848,15848,True
201.tiff,1.0,rerun_equals_prefix,12973,12973,True
201.tiff,1.0,max_peaks_not_binding,21744,2000000,True
201.tiff,1.0,scores_descending,12973,12973,True
201.tiff,2.0,rerun_equals_prefix,7952,7952,True
201.tiff,2.0,max_peaks_not_binding,10318,2000000,True
201.tiff,2.0,scores_descending,7952,7952,True
201.tiff,3.0,rerun_equals_prefix,3129,3129,True
201.tiff,3.0,max_peaks_not_binding,3412,2000000,True
201.tiff,3.0,scores_descending,3129,3129,True
201.tiff,4.0,rerun_equals_prefix,752,752,True
201.tiff,4.0,max_peaks_not_binding,780,2000000,True
201.tiff,4.0,scores_descending,752,752,True
201.tiff,5.0,rerun_equals_prefix,141,141,True
201.tiff,5.0,max_peaks_not_binding,143,2000000,True
201.tiff,5.0,scores_descending,141,141,True
201.tiff,6.0,rerun_equals_prefix,23,23,True
201.tiff,6.0,max_peaks_not_binding,25,2000000,True
201.tiff,6.0,scores_descending,23,23,True
201.tiff,8.0,rerun_equals_prefix,1,1,True
201.tiff,8.0,max_peaks_not_binding,2,2000000,True
201.tiff,8.0,scores_descending,1,1,True
201.tiff,10.0,rerun_equals_prefix,0,0,True
201.tiff,10.0,max_peaks_not_binding,0,2000000,True
201.tiff,10.0,scores_descending,0,0,True
201.tiff,12.0,rerun_equals_prefix,0,0,True
201.tiff,12.0,max_peaks_not_binding,0,2000000,True
201.tiff,12.0,scores_descending,0,0,True
201.tiff,15.0,rerun_equals_prefix,0,0,True
201.tiff,15.0,max_peaks_not_binding,0,2000000,True
201.tiff,15.0,scores_descending,0,0,True
201.tiff,18.0,rerun_equals_prefix,0,0,True
201.tiff,18.0,max_peaks_not_binding,0,2000000,True
201.tiff,18.0,scores_descending,0,0,True
201.tiff,22.0,rerun_equals_prefix,0,0,True
201.tiff,22.0,max_peaks_not_binding,0,2000000,True
201.tiff,22.0,scores_descending,0,0,True
201.tiff,26.0,rerun_equals_prefix,0,0,True
201.tiff,26.0,max_peaks_not_binding,0,2000000,True
201.tiff,26.0,scores_descending,0,0,True
233.tiff,-1.5,max_peaks_not_binding,50664,2000000,True
233.tiff,-1.5,scores_descending,17614,17614,True
233.tiff,1.0,rerun_equals_prefix,15074,15074,True
233.tiff,1.0,max_peaks_not_binding,34461,2000000,True
233.tiff,1.0,scores_descending,15074,15074,True
233.tiff,2.0,rerun_equals_prefix,11745,11745,True
233.tiff,2.0,max_peaks_not_binding,21685,2000000,True
233.tiff,2.0,scores_descending,11745,11745,True
233.tiff,3.0,rerun_equals_prefix,8778,8778,True
233.tiff,3.0,max_peaks_not_binding,13396,2000000,True
233.tiff,3.0,scores_descending,8778,8778,True
233.tiff,4.0,rerun_equals_prefix,5370,5370,True
233.tiff,4.0,max_peaks_not_binding,6960,2000000,True
233.tiff,4.0,scores_descending,5370,5370,True
233.tiff,5.0,rerun_equals_prefix,2732,2732,True
233.tiff,5.0,max_peaks_not_binding,3209,2000000,True
233.tiff,5.0,scores_descending,2732,2732,True
233.tiff,6.0,rerun_equals_prefix,1207,1207,True
233.tiff,6.0,max_peaks_not_binding,1348,2000000,True
233.tiff,6.0,scores_descending,1207,1207,True
233.tiff,8.0,rerun_equals_prefix,208,208,True
233.tiff,8.0,max_peaks_not_binding,215,2000000,True
233.tiff,8.0,scores_descending,208,208,True
233.tiff,10.0,rerun_equals_prefix,32,32,True
233.tiff,10.0,max_peaks_not_binding,33,2000000,True
233.tiff,10.0,scores_descending,32,32,True
233.tiff,12.0,rerun_equals_prefix,2,2,True
233.tiff,12.0,max_peaks_not_binding,3,2000000,True
233.tiff,12.0,scores_descending,2,2,True
233.tiff,15.0,rerun_equals_prefix,0,0,True
233.tiff,15.0,max_peaks_not_binding,0,2000000,True
233.tiff,15.0,scores_descending,0,0,True
233.tiff,18.0,rerun_equals_prefix,0,0,True
233.tiff,18.0,max_peaks_not_binding,0,2000000,True
233.tiff,18.0,scores_descending,0,0,True
233.tiff,22.0,rerun_equals_prefix,0,0,True
233.tiff,22.0,max_peaks_not_binding,0,2000000,True
233.tiff,22.0,scores_descending,0,0,True
233.tiff,26.0,rerun_equals_prefix,0,0,True
233.tiff,26.0,max_peaks_not_binding,0,2000000,True
233.tiff,26.0,scores_descending,0,0,True
245.tiff,-1.5,max_peaks_not_binding,59173,2000000,True
245.tiff,-1.5,scores_descending,17552,17552,True
245.tiff,1.0,rerun_equals_prefix,17031,17031,True
245.tiff,1.0,max_peaks_not_binding,53530,2000000,True
245.tiff,1.0,scores_descending,17031,17031,True
245.tiff,2.0,rerun_equals_prefix,12694,12694,True
245.tiff,2.0,max_peaks_not_binding,26741,2000000,True
245.tiff,2.0,scores_descending,12694,12694,True
245.tiff,3.0,rerun_equals_prefix,4316,4316,True
245.tiff,3.0,max_peaks_not_binding,5681,2000000,True
245.tiff,3.0,scores_descending,4316,4316,True
245.tiff,4.0,rerun_equals_prefix,542,542,True
245.tiff,4.0,max_peaks_not_binding,587,2000000,True
245.tiff,4.0,scores_descending,542,542,True
245.tiff,5.0,rerun_equals_prefix,29,29,True
245.tiff,5.0,max_peaks_not_binding,31,2000000,True
245.tiff,5.0,scores_descending,29,29,True
245.tiff,6.0,rerun_equals_prefix,2,2,True
245.tiff,6.0,max_peaks_not_binding,3,2000000,True
245.tiff,6.0,scores_descending,2,2,True
245.tiff,8.0,rerun_equals_prefix,0,0,True
245.tiff,8.0,max_peaks_not_binding,1,2000000,True
245.tiff,8.0,scores_descending,0,0,True
245.tiff,10.0,rerun_equals_prefix,0,0,True
245.tiff,10.0,max_peaks_not_binding,1,2000000,True
245.tiff,10.0,scores_descending,0,0,True
245.tiff,12.0,rerun_equals_prefix,0,0,True
245.tiff,12.0,max_peaks_not_binding,0,2000000,True
245.tiff,12.0,scores_descending,0,0,True
245.tiff,15.0,rerun_equals_prefix,0,0,True
245.tiff,15.0,max_peaks_not_binding,0,2000000,True
245.tiff,15.0,scores_descending,0,0,True
245.tiff,18.0,rerun_equals_prefix,0,0,True
245.tiff,18.0,max_peaks_not_binding,0,2000000,True
245.tiff,18.0,scores_descending,0,0,True
245.tiff,22.0,rerun_equals_prefix,0,0,True
245.tiff,22.0,max_peaks_not_binding,0,2000000,True
245.tiff,22.0,scores_descending,0,0,True
245.tiff,26.0,rerun_equals_prefix,0,0,True
245.tiff,26.0,max_peaks_not_binding,0,2000000,True
245.tiff,26.0,scores_descending,0,0,True
246.tiff,-1.5,max_peaks_not_binding,41944,2000000,True
246.tiff,-1.5,scores_descending,17763,17763,True
246.tiff,1.0,rerun_equals_prefix,16836,16836,True
246.tiff,1.0,max_peaks_not_binding,34771,2000000,True
246.tiff,1.0,scores_descending,16836,16836,True
246.tiff,2.0,rerun_equals_prefix,11248,11248,True
246.tiff,2.0,max_peaks_not_binding,16141,2000000,True
246.tiff,2.0,scores_descending,11248,11248,True
246.tiff,3.0,rerun_equals_prefix,3853,3853,True
246.tiff,3.0,max_peaks_not_binding,4431,2000000,True
246.tiff,3.0,scores_descending,3853,3853,True
246.tiff,4.0,rerun_equals_prefix,1215,1215,True
246.tiff,4.0,max_peaks_not_binding,1326,2000000,True
246.tiff,4.0,scores_descending,1215,1215,True
246.tiff,5.0,rerun_equals_prefix,489,489,True
246.tiff,5.0,max_peaks_not_binding,523,2000000,True
246.tiff,5.0,scores_descending,489,489,True
246.tiff,6.0,rerun_equals_prefix,220,220,True
246.tiff,6.0,max_peaks_not_binding,228,2000000,True
246.tiff,6.0,scores_descending,220,220,True
246.tiff,8.0,rerun_equals_prefix,41,41,True
246.tiff,8.0,max_peaks_not_binding,43,2000000,True
246.tiff,8.0,scores_descending,41,41,True
246.tiff,10.0,rerun_equals_prefix,6,6,True
246.tiff,10.0,max_peaks_not_binding,7,2000000,True
246.tiff,10.0,scores_descending,6,6,True
246.tiff,12.0,rerun_equals_prefix,0,0,True
246.tiff,12.0,max_peaks_not_binding,1,2000000,True
246.tiff,12.0,scores_descending,0,0,True
246.tiff,15.0,rerun_equals_prefix,0,0,True
246.tiff,15.0,max_peaks_not_binding,0,2000000,True
246.tiff,15.0,scores_descending,0,0,True
246.tiff,18.0,rerun_equals_prefix,0,0,True
246.tiff,18.0,max_peaks_not_binding,0,2000000,True
246.tiff,18.0,scores_descending,0,0,True
246.tiff,22.0,rerun_equals_prefix,0,0,True
246.tiff,22.0,max_peaks_not_binding,0,2000000,True
246.tiff,22.0,scores_descending,0,0,True
246.tiff,26.0,rerun_equals_prefix,0,0,True
246.tiff,26.0,max_peaks_not_binding,0,2000000,True
246.tiff,26.0,scores_descending,0,0,True
300.tiff,-1.5,max_peaks_not_binding,33132,2000000,True
300.tiff,-1.5,scores_descending,17940,17940,True
300.tiff,1.0,rerun_equals_prefix,15451,15451,True
300.tiff,1.0,max_peaks_not_binding,25079,2000000,True
300.tiff,1.0,scores_descending,15451,15451,True
300.tiff,2.0,rerun_equals_prefix,12743,12743,True
300.tiff,2.0,max_peaks_not_binding,17270,2000000,True
300.tiff,2.0,scores_descending,12743,12743,True
300.tiff,3.0,rerun_equals_prefix,8840,8840,True
300.tiff,3.0,max_peaks_not_binding,10044,2000000,True
300.tiff,3.0,scores_descending,8840,8840,True
300.tiff,4.0,rerun_equals_prefix,3892,3892,True
300.tiff,4.0,max_peaks_not_binding,4041,2000000,True
300.tiff,4.0,scores_descending,3892,3892,True
300.tiff,5.0,rerun_equals_prefix,1006,1006,True
300.tiff,5.0,max_peaks_not_binding,1026,2000000,True
300.tiff,5.0,scores_descending,1006,1006,True
300.tiff,6.0,rerun_equals_prefix,249,249,True
300.tiff,6.0,max_peaks_not_binding,253,2000000,True
300.tiff,6.0,scores_descending,249,249,True
300.tiff,8.0,rerun_equals_prefix,15,15,True
300.tiff,8.0,max_peaks_not_binding,16,2000000,True
300.tiff,8.0,scores_descending,15,15,True
300.tiff,10.0,rerun_equals_prefix,2,2,True
300.tiff,10.0,max_peaks_not_binding,3,2000000,True
300.tiff,10.0,scores_descending,2,2,True
300.tiff,12.0,rerun_equals_prefix,0,0,True
300.tiff,12.0,max_peaks_not_binding,0,2000000,True
300.tiff,12.0,scores_descending,0,0,True
300.tiff,15.0,rerun_equals_prefix,0,0,True
300.tiff,15.0,max_peaks_not_binding,0,2000000,True
300.tiff,15.0,scores_descending,0,0,True
300.tiff,18.0,rerun_equals_prefix,0,0,True
300.tiff,18.0,max_peaks_not_binding,0,2000000,True
300.tiff,18.0,scores_descending,0,0,True
300.tiff,22.0,rerun_equals_prefix,0,0,True
300.tiff,22.0,max_peaks_not_binding,0,2000000,True
300.tiff,22.0,scores_descending,0,0,True
300.tiff,26.0,rerun_equals_prefix,0,0,True
300.tiff,26.0,max_peaks_not_binding,0,2000000,True
300.tiff,26.0,scores_descending,0,0,True
301.tiff,-1.5,max_peaks_not_binding,31687,2000000,True
301.tiff,-1.5,scores_descending,17963,17963,True
301.tiff,1.0,rerun_equals_prefix,16687,16687,True
301.tiff,1.0,max_peaks_not_binding,26849,2000000,True
301.tiff,1.0,scores_descending,16687,16687,True
301.tiff,2.0,rerun_equals_prefix,13347,13347,True
301.tiff,2.0,max_peaks_not_binding,17417,2000000,True
301.tiff,2.0,scores_descending,13347,13347,True
301.tiff,3.0,rerun_equals_prefix,5879,5879,True
301.tiff,3.0,max_peaks_not_binding,6318,2000000,True
301.tiff,3.0,scores_descending,5879,5879,True
301.tiff,4.0,rerun_equals_prefix,1313,1313,True
301.tiff,4.0,max_peaks_not_binding,1334,2000000,True
301.tiff,4.0,scores_descending,1313,1313,True
301.tiff,5.0,rerun_equals_prefix,263,263,True
301.tiff,5.0,max_peaks_not_binding,266,2000000,True
301.tiff,5.0,scores_descending,263,263,True
301.tiff,6.0,rerun_equals_prefix,83,83,True
301.tiff,6.0,max_peaks_not_binding,84,2000000,True
301.tiff,6.0,scores_descending,83,83,True
301.tiff,8.0,rerun_equals_prefix,2,2,True
301.tiff,8.0,max_peaks_not_binding,2,2000000,True
301.tiff,8.0,scores_descending,2,2,True
301.tiff,10.0,rerun_equals_prefix,0,0,True
301.tiff,10.0,max_peaks_not_binding,0,2000000,True
301.tiff,10.0,scores_descending,0,0,True
301.tiff,12.0,rerun_equals_prefix,0,0,True
301.tiff,12.0,max_peaks_not_binding,0,2000000,True
301.tiff,12.0,scores_descending,0,0,True
301.tiff,15.0,rerun_equals_prefix,0,0,True
301.tiff,15.0,max_peaks_not_binding,0,2000000,True
301.tiff,15.0,scores_descending,0,0,True
301.tiff,18.0,rerun_equals_prefix,0,0,True
301.tiff,18.0,max_peaks_not_binding,0,2000000,True
301.tiff,18.0,scores_descending,0,0,True
301.tiff,22.0,rerun_equals_prefix,0,0,True
301.tiff,22.0,max_peaks_not_binding,0,2000000,True
301.tiff,22.0,scores_descending,0,0,True
301.tiff,26.0,rerun_equals_prefix,0,0,True
301.tiff,26.0,max_peaks_not_binding,0,2000000,True
301.tiff,26.0,scores_descending,0,0,True
402.tiff,-1.5,max_peaks_not_binding,49700,2000000,True
402.tiff,-1.5,scores_descending,17337,17337,True
402.tiff,1.0,rerun_equals_prefix,15912,15912,True
402.tiff,1.0,max_peaks_not_binding,39421,2000000,True
402.tiff,1.0,scores_descending,15912,15912,True
402.tiff,2.0,rerun_equals_prefix,11850,11850,True
402.tiff,2.0,max_peaks_not_binding,20638,2000000,True
402.tiff,2.0,scores_descending,11850,11850,True
402.tiff,3.0,rerun_equals_prefix,5543,5543,True
402.tiff,3.0,max_peaks_not_binding,7327,2000000,True
402.tiff,3.0,scores_descending,5543,5543,True
402.tiff,4.0,rerun_equals_prefix,2017,2017,True
402.tiff,4.0,max_peaks_not_binding,2340,2000000,True
402.tiff,4.0,scores_descending,2017,2017,True
402.tiff,5.0,rerun_equals_prefix,847,847,True
402.tiff,5.0,max_peaks_not_binding,922,2000000,True
402.tiff,5.0,scores_descending,847,847,True
402.tiff,6.0,rerun_equals_prefix,408,408,True
402.tiff,6.0,max_peaks_not_binding,429,2000000,True
402.tiff,6.0,scores_descending,408,408,True
402.tiff,8.0,rerun_equals_prefix,124,124,True
402.tiff,8.0,max_peaks_not_binding,127,2000000,True
402.tiff,8.0,scores_descending,124,124,True
402.tiff,10.0,rerun_equals_prefix,30,30,True
402.tiff,10.0,max_peaks_not_binding,31,2000000,True
402.tiff,10.0,scores_descending,30,30,True
402.tiff,12.0,rerun_equals_prefix,2,2,True
402.tiff,12.0,max_peaks_not_binding,3,2000000,True
402.tiff,12.0,scores_descending,2,2,True
402.tiff,15.0,rerun_equals_prefix,0,0,True
402.tiff,15.0,max_peaks_not_binding,1,2000000,True
402.tiff,15.0,scores_descending,0,0,True
402.tiff,18.0,rerun_equals_prefix,0,0,True
402.tiff,18.0,max_peaks_not_binding,0,2000000,True
402.tiff,18.0,scores_descending,0,0,True
402.tiff,22.0,rerun_equals_prefix,0,0,True
402.tiff,22.0,max_peaks_not_binding,0,2000000,True
402.tiff,22.0,scores_descending,0,0,True
402.tiff,26.0,rerun_equals_prefix,0,0,True
402.tiff,26.0,max_peaks_not_binding,0,2000000,True
402.tiff,26.0,scores_descending,0,0,True
403.tiff,-1.5,max_peaks_not_binding,47569,2000000,True
403.tiff,-1.5,scores_descending,17326,17326,True
403.tiff,1.0,rerun_equals_prefix,11319,11319,True
403.tiff,1.0,max_peaks_not_binding,22533,2000000,True
403.tiff,1.0,scores_descending,11319,11319,True
403.tiff,2.0,rerun_equals_prefix,9004,9004,True
403.tiff,2.0,max_peaks_not_binding,16345,2000000,True
403.tiff,2.0,scores_descending,9004,9004,True
403.tiff,3.0,rerun_equals_prefix,7846,7846,True
403.tiff,3.0,max_peaks_not_binding,13721,2000000,True
403.tiff,3.0,scores_descending,7846,7846,True
403.tiff,4.0,rerun_equals_prefix,7147,7147,True
403.tiff,4.0,max_peaks_not_binding,11864,2000000,True
403.tiff,4.0,scores_descending,7147,7147,True
403.tiff,5.0,rerun_equals_prefix,6475,6475,True
403.tiff,5.0,max_peaks_not_binding,10124,2000000,True
403.tiff,5.0,scores_descending,6475,6475,True
403.tiff,6.0,rerun_equals_prefix,5784,5784,True
403.tiff,6.0,max_peaks_not_binding,8457,2000000,True
403.tiff,6.0,scores_descending,5784,5784,True
403.tiff,8.0,rerun_equals_prefix,4092,4092,True
403.tiff,8.0,max_peaks_not_binding,5231,2000000,True
403.tiff,8.0,scores_descending,4092,4092,True
403.tiff,10.0,rerun_equals_prefix,2426,2426,True
403.tiff,10.0,max_peaks_not_binding,2807,2000000,True
403.tiff,10.0,scores_descending,2426,2426,True
403.tiff,12.0,rerun_equals_prefix,1212,1212,True
403.tiff,12.0,max_peaks_not_binding,1327,2000000,True
403.tiff,12.0,scores_descending,1212,1212,True
403.tiff,15.0,rerun_equals_prefix,373,373,True
403.tiff,15.0,max_peaks_not_binding,388,2000000,True
403.tiff,15.0,scores_descending,373,373,True
403.tiff,18.0,rerun_equals_prefix,102,102,True
403.tiff,18.0,max_peaks_not_binding,105,2000000,True
403.tiff,18.0,scores_descending,102,102,True
403.tiff,22.0,rerun_equals_prefix,21,21,True
403.tiff,22.0,max_peaks_not_binding,22,2000000,True
403.tiff,22.0,scores_descending,21,21,True
403.tiff,26.0,rerun_equals_prefix,3,3,True
403.tiff,26.0,max_peaks_not_binding,3,2000000,True
403.tiff,26.0,scores_descending,3,3,True
459.tiff,-1.5,max_peaks_not_binding,36843,2000000,True
459.tiff,-1.5,scores_descending,17994,17994,True
459.tiff,1.0,rerun_equals_prefix,15834,15834,True
459.tiff,1.0,max_peaks_not_binding,27400,2000000,True
459.tiff,1.0,scores_descending,15834,15834,True
459.tiff,2.0,rerun_equals_prefix,12399,12399,True
459.tiff,2.0,max_peaks_not_binding,17210,2000000,True
459.tiff,2.0,scores_descending,12399,12399,True
459.tiff,3.0,rerun_equals_prefix,6666,6666,True
459.tiff,3.0,max_peaks_not_binding,7485,2000000,True
459.tiff,3.0,scores_descending,6666,6666,True
459.tiff,4.0,rerun_equals_prefix,2113,2113,True
459.tiff,4.0,max_peaks_not_binding,2175,2000000,True
459.tiff,4.0,scores_descending,2113,2113,True
459.tiff,5.0,rerun_equals_prefix,446,446,True
459.tiff,5.0,max_peaks_not_binding,449,2000000,True
459.tiff,5.0,scores_descending,446,446,True
459.tiff,6.0,rerun_equals_prefix,106,106,True
459.tiff,6.0,max_peaks_not_binding,107,2000000,True
459.tiff,6.0,scores_descending,106,106,True
459.tiff,8.0,rerun_equals_prefix,4,4,True
459.tiff,8.0,max_peaks_not_binding,5,2000000,True
459.tiff,8.0,scores_descending,4,4,True
459.tiff,10.0,rerun_equals_prefix,0,0,True
459.tiff,10.0,max_peaks_not_binding,1,2000000,True
459.tiff,10.0,scores_descending,0,0,True
459.tiff,12.0,rerun_equals_prefix,0,0,True
459.tiff,12.0,max_peaks_not_binding,0,2000000,True
459.tiff,12.0,scores_descending,0,0,True
459.tiff,15.0,rerun_equals_prefix,0,0,True
459.tiff,15.0,max_peaks_not_binding,0,2000000,True
459.tiff,15.0,scores_descending,0,0,True
459.tiff,18.0,rerun_equals_prefix,0,0,True
459.tiff,18.0,max_peaks_not_binding,0,2000000,True
459.tiff,18.0,scores_descending,0,0,True
459.tiff,22.0,rerun_equals_prefix,0,0,True
459.tiff,22.0,max_peaks_not_binding,0,2000000,True
459.tiff,22.0,scores_descending,0,0,True
459.tiff,26.0,rerun_equals_prefix,0,0,True
459.tiff,26.0,max_peaks_not_binding,0,2000000,True
459.tiff,26.0,scores_descending,0,0,True
460.tiff,-1.5,max_peaks_not_binding,22766,2000000,True
460.tiff,-1.5,scores_descending,15339,15339,True
460.tiff,1.0,rerun_equals_prefix,11380,11380,True
460.tiff,1.0,max_peaks_not_binding,14450,2000000,True
460.tiff,1.0,scores_descending,11380,11380,True
460.tiff,2.0,rerun_equals_prefix,8671,8671,True
460.tiff,2.0,max_peaks_not_binding,10274,2000000,True
460.tiff,2.0,scores_descending,8671,8671,True
460.tiff,3.0,rerun_equals_prefix,5981,5981,True
460.tiff,3.0,max_peaks_not_binding,6494,2000000,True
460.tiff,3.0,scores_descending,5981,5981,True
460.tiff,4.0,rerun_equals_prefix,2458,2458,True
460.tiff,4.0,max_peaks_not_binding,2510,2000000,True
460.tiff,4.0,scores_descending,2458,2458,True
460.tiff,5.0,rerun_equals_prefix,545,545,True
460.tiff,5.0,max_peaks_not_binding,548,2000000,True
460.tiff,5.0,scores_descending,545,545,True
460.tiff,6.0,rerun_equals_prefix,90,90,True
460.tiff,6.0,max_peaks_not_binding,91,2000000,True
460.tiff,6.0,scores_descending,90,90,True
460.tiff,8.0,rerun_equals_prefix,3,3,True
460.tiff,8.0,max_peaks_not_binding,4,2000000,True
460.tiff,8.0,scores_descending,3,3,True
460.tiff,10.0,rerun_equals_prefix,0,0,True
460.tiff,10.0,max_peaks_not_binding,1,2000000,True
460.tiff,10.0,scores_descending,0,0,True
460.tiff,12.0,rerun_equals_prefix,0,0,True
460.tiff,12.0,max_peaks_not_binding,0,2000000,True
460.tiff,12.0,scores_descending,0,0,True
460.tiff,15.0,rerun_equals_prefix,0,0,True
460.tiff,15.0,max_peaks_not_binding,0,2000000,True
460.tiff,15.0,scores_descending,0,0,True
460.tiff,18.0,rerun_equals_prefix,0,0,True
460.tiff,18.0,max_peaks_not_binding,0,2000000,True
460.tiff,18.0,scores_descending,0,0,True
460.tiff,22.0,rerun_equals_prefix,0,0,True
460.tiff,22.0,max_peaks_not_binding,0,2000000,True
460.tiff,22.0,scores_descending,0,0,True
460.tiff,26.0,rerun_equals_prefix,0,0,True
460.tiff,26.0,max_peaks_not_binding,0,2000000,True
460.tiff,26.0,scores_descending,0,0,True
529.tiff,-1.5,max_peaks_not_binding,31054,2000000,True
529.tiff,-1.5,scores_descending,15862,15862,True
529.tiff,1.0,rerun_equals_prefix,11512,11512,True
529.tiff,1.0,max_peaks_not_binding,18436,2000000,True
529.tiff,1.0,scores_descending,11512,11512,True
529.tiff,2.0,rerun_equals_prefix,8673,8673,True
529.tiff,2.0,max_peaks_not_binding,12795,2000000,True
529.tiff,2.0,scores_descending,8673,8673,True
529.tiff,3.0,rerun_equals_prefix,6425,6425,True
529.tiff,3.0,max_peaks_not_binding,8561,2000000,True
529.tiff,3.0,scores_descending,6425,6425,True
529.tiff,4.0,rerun_equals_prefix,4101,4101,True
529.tiff,4.0,max_peaks_not_binding,4939,2000000,True
529.tiff,4.0,scores_descending,4101,4101,True
529.tiff,5.0,rerun_equals_prefix,2106,2106,True
529.tiff,5.0,max_peaks_not_binding,2446,2000000,True
529.tiff,5.0,scores_descending,2106,2106,True
529.tiff,6.0,rerun_equals_prefix,1022,1022,True
529.tiff,6.0,max_peaks_not_binding,1169,2000000,True
529.tiff,6.0,scores_descending,1022,1022,True
529.tiff,8.0,rerun_equals_prefix,317,317,True
529.tiff,8.0,max_peaks_not_binding,342,2000000,True
529.tiff,8.0,scores_descending,317,317,True
529.tiff,10.0,rerun_equals_prefix,56,56,True
529.tiff,10.0,max_peaks_not_binding,58,2000000,True
529.tiff,10.0,scores_descending,56,56,True
529.tiff,12.0,rerun_equals_prefix,6,6,True
529.tiff,12.0,max_peaks_not_binding,7,2000000,True
529.tiff,12.0,scores_descending,6,6,True
