file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
405.tiff,find_and_suppress,20562,hematoxylin,0.2482,51.0,binary,0.0,True,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,13,0,0,13,19,0.0,13,0.0,0.21052631578947367,0.15384615384615385,256,9,0.0,4,0.0,0.2222222222222222,0.0,256,2,4,250,6,0.023437499999908448,0.007812499999969483,2,11,4,15,0.0224,30.22,1.0,2.01,257.0,0.9999998807907104,257.0,1.0,0.9999998807907104,256.0,0.8436732888221741,0.3,2.3,,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,hematoxylin,0.2269,35.0,binary,0.0,True,False,7.0,7.0,7.0,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.125,0.25,0.25,8,0,0,8,7,0.0,8,0.0,0.14285714285714285,0.25,117,6,0.0,2,0.0,0.3333333333333333,0.0,117,2,1,114,3,0.025641025640806486,0.01709401709387099,2,6,1,6,0.0102,33.05,1.0,2.1,119.0,0.9999999403953552,118.0,1.0,0.9999999403953552,117.0,0.840964138507843,0.35,2.5,,human breast cancer,,,
506.tiff,find_and_suppress,24233,hematoxylin,0.2274,43.0,binary,0.0,True,False,8.0,8.0,8.0,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,10,12,0.0,11,0.0,0.0,0.0,10,7,0.0,4,0.0,0.0,0.0,10,0,0,10,0,0.0,0.0,0,11,0,12,0.0009,32.98,1.0,2.04,11.0,0.9999999403953552,11.0,1.0,0.9999999403953552,10.0,0.7821657061576843,0.32,2.4,,human melanoma,,,
350.tiff,find_and_suppress,18164,hematoxylin,0.2274,41.0,binary,0.0,True,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.0,0.0,14,0,,3,0.0,,0.0,14,0,0,14,0,0.0,0.0,0,3,0,16,0.0012,32.98,1.0,2.01,15.0,0.9999997019767761,15.0,1.0,0.9999997019767761,14.0,0.7957387566566467,0.33,2.4,,human neuroendocrine tumor,,,
301.tiff,find_and_suppress,14976,gray_inverted,0.2533,35.0,binary,0.0,True,False,164.0,162.0,136.0,29.6,217,0.2672811059907834,2.0,0.018433179723502304,0.018433179723502304,0.07373271889400922,0.10599078341013825,0.12442396313364056,0.17050691244239632,0.24423963133640553,217,58,12,147,109,0.11009174311926606,217,0.2672811059907834,0.26605504587155965,0.5253456221198156,1244,163,0.3128834355828221,54,0.12962962962962962,0.558282208588957,0.42592592592592593,1244,114,29,1101,143,0.11495176848865357,0.09163987138256299,114,103,29,80,0.1053,29.61,1.0,1.87,1258.0,0.9999986290931702,1245.0,1.0,0.9999986290931702,1244.0,0.9122716784477234,0.41,2.3,,canine cutaneous mast cell tumor,,,
201.tiff,find_and_suppress,4469,gray_inverted,0.2482,51.0,binary,0.0,True,False,7.0,7.0,6.0,30.2,17,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,0,0,49,0.0,17,0.0,0.0,0.0,0,6,0.0,11,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,17,0,49,0.0,30.22,1.0,2.38,1.0,1.0,1.0,1.0,1.0,0.0,,0.33,2.7,,canine lung cancer,,,
246.tiff,find_and_suppress,6549,gray_inverted,0.2482,51.0,binary,0.0,True,False,100.0,97.0,87.0,30.2,115,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115,0,0,0,123,0.0,115,0.0,0.0,0.0,0,99,0.0,16,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,115,0,123,0.0,30.22,1.0,2.39,1.0,1.0,1.0,1.0,1.0,0.0,,0.39,2.8,,canine lymphosarcoma,,,
405.tiff,find_and_suppress,20562,gray_inverted,0.2482,51.0,binary,0.0,True,False,10.0,10.0,8.0,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,13,0,0,13,19,0.0,13,0.0,0.10526315789473684,0.15384615384615385,92,9,0.0,4,0.0,0.0,0.5,92,2,2,88,4,0.04347826086909263,0.021739130434546314,2,11,2,17,0.0081,30.22,1.0,2.36,93.0,0.9999992847442627,93.0,1.0,0.9999992847442627,92.0,0.8404320478439331,0.38,2.8,,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,gray_inverted,0.2269,35.0,binary,0.0,True,False,7.0,7.0,7.0,33.1,8,0.125,2.01,0.0,0.0,0.125,0.25,0.25,0.25,0.25,8,1,0,7,7,0.0,8,0.125,0.2857142857142857,0.25,87,6,0.16666666666666666,2,0.0,0.3333333333333333,0.0,87,2,2,83,4,0.0459770114937244,0.0229885057468622,2,6,2,5,0.0075,33.05,1.0,2.32,88.0,0.999998152256012,88.0,1.0,0.999998152256012,87.0,0.8302555680274963,0.4,2.8,,human breast cancer,,,
506.tiff,find_and_suppress,24233,gray_inverted,0.2274,43.0,binary,0.0,True,False,8.0,8.0,8.0,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,3,12,0.0,11,0.0,0.0,0.0,3,7,0.0,4,0.0,0.0,0.0,3,0,0,3,0,0.0,0.0,0,11,0,12,0.0003,32.98,1.0,2.66,4.0,0.9999991655349731,4.0,1.0,0.9999991655349731,3.0,0.7548456788063049,0.41,3.1,,human melanoma,,,
350.tiff,find_and_suppress,18164,gray_inverted,0.2274,41.0,binary,0.0,True,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.0,0.0,12,0,,3,0.0,,0.0,12,0,0,12,0,0.0,0.0,0,3,0,16,0.001,32.98,1.0,3.43,13.0,0.9999990463256836,13.0,1.0,0.9999990463256836,12.0,0.7948483228683472,0.41,3.9,,human neuroendocrine tumor,,,
