file_name,tumor_type,seed_index,z,n_at_z
301.tiff,canine cutaneous mast cell tumor,2,5.2,1514
301.tiff,canine cutaneous mast cell tumor,2,5.25,1453
301.tiff,canine cutaneous mast cell tumor,2,5.3,1375
301.tiff,canine cutaneous mast cell tumor,2,5.35,1302
301.tiff,canine cutaneous mast cell tumor,2,5.4,1238
301.tiff,canine cutaneous mast cell tumor,2,5.45,1180
301.tiff,canine cutaneous mast cell tumor,2,5.5,1111
301.tiff,canine cutaneous mast cell tumor,2,5.55,1051
301.tiff,canine cutaneous mast cell tumor,2,5.6,999
301.tiff,canine cutaneous mast cell tumor,2,5.65,952
301.tiff,canine cutaneous mast cell tumor,2,5.7,913
301.tiff,canine cutaneous mast cell tumor,2,5.75,876
301.tiff,canine cutaneous mast cell tumor,2,5.8,838
301.tiff,canine cutaneous mast cell tumor,2,5.85,795
301.tiff,canine cutaneous mast cell tumor,2,5.9,766
301.tiff,canine cutaneous mast cell tumor,2,5.95,730
301.tiff,canine cutaneous mast cell tumor,2,6.0,702
301.tiff,canine cutaneous mast cell tumor,3,0.0,18631
301.tiff,canine cutaneous mast cell tumor,3,0.05,18620
301.tiff,canine cutaneous mast cell tumor,3,0.1,18609
301.tiff,canine cutaneous mast cell tumor,3,0.15,18580
301.tiff,canine cutaneous mast cell tumor,3,0.2,18568
301.tiff,canine cutaneous mast cell tumor,3,0.25,18541
301.tiff,canine cutaneous mast cell tumor,3,0.3,18517
301.tiff,canine cutaneous mast cell tumor,3,0.35,18492
301.tiff,canine cutaneous mast cell tumor,3,0.4,18461
301.tiff,canine cutaneous mast cell tumor,3,0.45,18434
301.tiff,canine cutaneous mast cell tumor,3,0.5,18391
301.tiff,canine cutaneous mast cell tumor,3,0.55,18346
301.tiff,canine cutaneous mast cell tumor,3,0.6,18287
301.tiff,canine cutaneous mast cell tumor,3,0.65,18228
301.tiff,canine cutaneous mast cell tumor,3,0.7,18168
301.tiff,canine cutaneous mast cell tumor,3,0.75,18088
301.tiff,canine cutaneous mast cell tumor,3,0.8,18020
301.tiff,canine cutaneous mast cell tumor,3,0.85,17932
301.tiff,canine cutaneous mast cell tumor,3,0.9,17844
301.tiff,canine cutaneous mast cell tumor,3,0.95,17762
301.tiff,canine cutaneous mast cell tumor,3,1.0,17659
301.tiff,canine cutaneous mast cell tumor,3,1.05,17564
301.tiff,canine cutaneous mast cell tumor,3,1.1,17447
301.tiff,canine cutaneous mast cell tumor,3,1.15,17330
301.tiff,canine cutaneous mast cell tumor,3,1.2,17220
301.tiff,canine cutaneous mast cell tumor,3,1.25,17094
301.tiff,canine cutaneous mast cell tumor,3,1.3,16953
301.tiff,canine cutaneous mast cell tumor,3,1.35,16816
301.tiff,canine cutaneous mast cell tumor,3,1.4,16660
301.tiff,canine cutaneous mast cell tumor,3,1.45,16510
301.tiff,canine cutaneous mast cell tumor,3,1.5,16361
301.tiff,canine cutaneous mast cell tumor,3,1.55,16180
301.tiff,canine cutaneous mast cell tumor,3,1.6,15997
301.tiff,canine cutaneous mast cell tumor,3,1.65,15817
301.tiff,canine cutaneous mast cell tumor,3,1.7,15606
301.tiff,canine cutaneous mast cell tumor,3,1.75,15412
301.tiff,canine cutaneous mast cell tumor,3,1.8,15205
301.tiff,canine cutaneous mast cell tumor,3,1.85,14984
301.tiff,canine cutaneous mast cell tumor,3,1.9,14765
301.tiff,canine cutaneous mast cell tumor,3,1.95,14537
301.tiff,canine cutaneous mast cell tumor,3,2.0,14285
301.tiff,canine cutaneous mast cell tumor,3,2.05,14029
301.tiff,canine cutaneous mast cell tumor,3,2.1,13739
301.tiff,canine cutaneous mast cell tumor,3,2.15,13452
301.tiff,canine cutaneous mast cell tumor,3,2.2,13150
301.tiff,canine cutaneous mast cell tumor,3,2.25,12858
301.tiff,canine cutaneous mast cell tumor,3,2.3,12571
301.tiff,canine cutaneous mast cell tumor,3,2.35,12251
301.tiff,canine cutaneous mast cell tumor,3,2.4,11946
301.tiff,canine cutaneous mast cell tumor,3,2.45,11629
301.tiff,canine cutaneous mast cell tumor,3,2.5,11312
301.tiff,canine cutaneous mast cell tumor,3,2.55,11004
301.tiff,canine cutaneous mast cell tumor,3,2.6,10649
301.tiff,canine cutaneous mast cell tumor,3,2.65,10276
301.tiff,canine cutaneous mast cell tumor,3,2.7,9914
301.tiff,canine cutaneous mast cell tumor,3,2.75,9592
301.tiff,canine cutaneous mast cell tumor,3,2.8,9238
301.tiff,canine cutaneous mast cell tumor,3,2.85,8881
301.tiff,canine cutaneous mast cell tumor,3,2.9,8520
301.tiff,canine cutaneous mast cell tumor,3,2.95,8152
301.tiff,canine cutaneous mast cell tumor,3,3.0,7823
301.tiff,canine cutaneous mast cell tumor,3,3.05,7510
301.tiff,canine cutaneous mast cell tumor,3,3.1,7169
301.tiff,canine cutaneous mast cell tumor,3,3.15,6853
301.tiff,canine cutaneous mast cell tumor,3,3.2,6566
301.tiff,canine cutaneous mast cell tumor,3,3.25,6262
301.tiff,canine cutaneous mast cell tumor,3,3.3,5945
301.tiff,canine cutaneous mast cell tumor,3,3.35,5671
301.tiff,canine cutaneous mast cell tumor,3,3.4,5388
301.tiff,canine cutaneous mast cell tumor,3,3.45,5082
301.tiff,canine cutaneous mast cell tumor,3,3.5,4825
301.tiff,canine cutaneous mast cell tumor,3,3.55,4560
301.tiff,canine cutaneous mast cell tumor,3,3.6,4332
301.tiff,canine cutaneous mast cell tumor,3,3.65,4107
301.tiff,canine cutaneous mast cell tumor,3,3.7,3875
301.tiff,canine cutaneous mast cell tumor,3,3.75,3676
301.tiff,canine cutaneous mast cell tumor,3,3.8,3474
301.tiff,canine cutaneous mast cell tumor,3,3.85,3279
301.tiff,canine cutaneous mast cell tumor,3,3.9,3107
301.tiff,canine cutaneous mast cell tumor,3,3.95,2979
301.tiff,canine cutaneous mast cell tumor,3,4.0,2808
301.tiff,canine cutaneous mast cell tumor,3,4.05,2632
301.tiff,canine cutaneous mast cell tumor,3,4.1,2469
301.tiff,canine cutaneous mast cell tumor,3,4.15,2338
301.tiff,canine cutaneous mast cell tumor,3,4.2,2196
301.tiff,canine cutaneous mast cell tumor,3,4.25,2088
301.tiff,canine cutaneous mast cell tumor,3,4.3,1963
301.tiff,canine cutaneous mast cell tumor,3,4.35,1822
301.tiff,canine cutaneous mast cell tumor,3,4.4,1709
301.tiff,canine cutaneous mast cell tumor,3,4.45,1605
301.tiff,canine cutaneous mast cell tumor,3,4.5,1538
301.tiff,canine cutaneous mast cell tumor,3,4.55,1446
301.tiff,canine cutaneous mast cell tumor,3,4.6,1354
301.tiff,canine cutaneous mast cell tumor,3,4.65,1268
301.tiff,canine cutaneous mast cell tumor,3,4.7,1189
301.tiff,canine cutaneous mast cell tumor,3,4.75,1126
301.tiff,canine cutaneous mast cell tumor,3,4.8,1065
301.tiff,canine cutaneous mast cell tumor,3,4.85,1002
301.tiff,canine cutaneous mast cell tumor,3,4.9,945
301.tiff,canine cutaneous mast cell tumor,3,4.95,901
301.tiff,canine cutaneous mast cell tumor,3,5.0,847
301.tiff,canine cutaneous mast cell tumor,3,5.05,793
301.tiff,canine cutaneous mast cell tumor,3,5.1,747
301.tiff,canine cutaneous mast cell tumor,3,5.15,697
301.tiff,canine cutaneous mast cell tumor,3,5.2,662
