file_name,seed_index,seed_ann_id,margin_px,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,rectm_y0,rectm_y1,rectm_x0,rectm_x1,rectm_h,rectm_w,grow_top,grow_bottom,grow_left,grow_right,n_filled_px,filled_share,fill_value,n_filled_px_1um,filled_share_1um,fill_value_1um,tpl_mean_default,tpl_mean_filled,tpl_mean_filled_1um
233.tiff,0,5761,4,14,37,14,37,23,23,10,41,10,41,31,31,4,4,4,4,2072,0.7966166858900423,0.03777970373630524,1640,0.6305267204921184,0.038647569715976715,0.05558882984078068,0.05558882910050724,0.05558883048135588
233.tiff,1,5760,4,13,40,12,41,27,29,9,44,8,45,35,37,4,4,4,4,1818,0.698961937716263,0.028182145208120346,1306,0.5021145713187236,0.026847228407859802,0.05350238953142537,0.05350238975582903,0.05350238970555471
233.tiff,2,5770,4,12,37,12,43,25,31,8,41,8,47,33,39,4,4,4,4,1826,0.7020376778162245,0.03507928550243378,1314,0.5051903114186851,0.03572897985577583,0.058156509082224715,0.058156509461265465,0.05815650933166055
211.tiff,0,4916,4,14,37,16,34,23,18,10,41,12,38,31,26,4,4,4,4,2187,0.8408304498269896,0.03613836690783501,1795,0.6901191849288735,0.0339810885488987,0.04782346887381828,0.047823470250568406,0.04782346801768583
211.tiff,1,4919,4,12,36,12,38,24,26,8,40,8,42,32,34,4,4,4,4,1977,0.7600922722029988,0.039387740194797516,1513,0.5816993464052288,0.03751308098435402,0.05696772345241843,0.056967724369597496,0.05696772275907365
211.tiff,2,4909,4,14,38,17,34,24,17,10,42,13,38,32,25,4,4,4,4,2193,0.8431372549019608,0.040338750928640366,1801,0.6924259900038446,0.03960143029689789,0.04654889073342737,0.04654888982960853,0.04654889195292375
220.tiff,0,5270,4,14,39,17,37,25,20,10,43,13,41,33,28,4,4,4,4,2101,0.8077662437524029,0.04528092220425606,1677,0.6447520184544406,0.04181504622101784,0.062447963339414776,0.062447964118185616,0.06244796447427954
220.tiff,1,5293,4,12,37,9,40,25,31,8,41,5,44,33,39,4,4,4,4,1826,0.7020376778162245,0.042684268206357956,1314,0.5051903114186851,0.04612533375620842,0.05798928686430031,0.05798928815556739,0.05798928602405729
220.tiff,2,5247,4,16,39,16,29,23,13,12,43,12,33,31,21,4,4,4,4,2302,0.8850442137639369,0.037108637392520905,1950,0.7497116493656286,0.03457074239850044,0.05037024283711221,0.05037024400638462,0.050370243635431064
230.tiff,0,5689,4,14,37,11,37,23,26,10,41,7,41,31,34,4,4,4,4,2003,0.7700884275278739,0.03272679075598717,1547,0.5947712418300654,0.03521587327122688,0.045630591116624035,0.04563059087336759,0.045630590590212274
230.tiff,1,5700,4,16,37,15,36,21,21,12,41,11,40,29,29,4,4,4,4,2160,0.8304498269896193,0.0336880125105381,1760,0.6766628219915417,0.036079324781894684,0.047621045289544466,0.04762104469254704,0.04762104519414893
230.tiff,2,5703,4,15,34,10,36,19,26,11,38,6,40,27,34,4,4,4,4,2107,0.8100730488273741,0.05103654786944389,1683,0.6470588235294118,0.053325358778238297,0.061244305841249354,0.06124430570595179,0.06124430554295467
235.tiff,0,5810,4,11,35,14,35,24,21,7,39,10,39,32,29,4,4,4,4,2097,0.8062283737024222,0.016878901049494743,1673,0.6432141484044598,0.016298001632094383,0.023276950320748595,0.023276950838108067,0.02327694973672222
235.tiff,1,5831,4,21,37,16,38,16,22,17,41,12,42,24,30,4,4,4,4,2249,0.8646674356016917,0.023168155923485756,1881,0.7231833910034602,0.023071467876434326,0.029702198639644847,0.02970219909381594,0.029702198094259932
235.tiff,2,5830,4,15,35,15,31,20,16,11,39,11,35,28,24,4,4,4,4,2281,0.8769703960015379,0.018650386482477188,1929,0.7416378316032295,0.019403692334890366,0.02560133252822675,0.025601333115351562,0.025601332944622517
242.tiff,0,6180,4,12,34,14,37,22,23,8,38,10,41,30,31,4,4,4,4,2095,0.8054594386774317,0.021044090390205383,1671,0.6424452133794695,0.02122126892209053,0.031816366547549824,0.0318163670340648,0.031816366628088885
242.tiff,1,6178,4,15,31,13,44,16,31,11,35,9,48,24,39,4,4,4,4,2105,0.8093041138023837,0.02169717475771904,1665,0.6401384083044983,0.021021973341703415,0.03329485217329643,0.033294852027760495,0.03329485246382562
242.tiff,2,6161,4,6,41,9,39,35,30,2,45,5,43,43,38,4,4,4,4,1551,0.5963091118800461,0.023915911093354225,967,0.3717800845828527,0.02466958947479725,0.040867470139136046,0.04086746970782156,0.04086746995898826
245.tiff,0,6317,4,16,39,10,31,23,21,12,43,6,35,31,29,4,4,4,4,2118,0.8143021914648212,0.033517684787511826,1702,0.6543637062668205,0.035420674830675125,0.036786393617146765,0.036786394364117105,0.03678639349117003
245.tiff,1,6243,4,0,34,0,28,34,28,0,38,0,32,38,32,0,4,0,4,1649,0.6339869281045751,0.03074057772755623,1385,0.532487504805844,0.03127513825893402,0.03518928378404722,0.03518928342079902,0.035189283435406886
245.tiff,2,6250,4,16,33,17,37,17,20,12,37,13,41,25,28,4,4,4,4,2261,0.869281045751634,0.03278407081961632,1901,0.7308727412533641,0.036587707698345184,0.0364228529293672,0.036422853336024276,0.0364228533506706
246.tiff,0,6548,4,10,37,16,32,27,16,6,41,12,36,35,24,4,4,4,4,2169,0.8339100346020761,0.02952093444764614,1761,0.6770472895040369,0.030498946085572243,0.038289623870851136,0.038289623394442356,0.03828962447474163
246.tiff,1,6599,4,21,35,16,39,14,23,17,39,12,43,22,31,4,4,4,4,2279,0.8762014609765475,0.028733430430293083,1919,0.7377931564782776,0.0293537899851799,0.035611146535434575,0.03561114611409201,0.03561114695831569
246.tiff,2,6482,4,18,37,12,43,19,31,14,41,8,47,27,39,4,4,4,4,2012,0.7735486351403307,0.029488269239664078,1548,0.5951557093425606,0.02963021583855152,0.03924273830661958,0.03924273861223393,0.03924273850802633
249.tiff,0,6940,4,14,33,15,37,19,22,10,37,11,41,27,30,4,4,4,4,2183,0.8392925797770089,0.020287351682782173,1791,0.6885813148788927,0.020943308249115944,0.03489257767721814,0.0348925772554505,0.034892577428169876
249.tiff,1,7008,4,18,35,14,43,17,29,14,39,10,47,25,37,4,4,4,4,2108,0.8104575163398693,0.029374361038208008,1676,0.6443675509419454,0.03215668722987175,0.0390052425947239,0.0390052428086779,0.039005242021313544
249.tiff,2,6992,4,13,34,15,37,21,22,9,38,11,41,29,30,4,4,4,4,2139,0.8223760092272203,0.022507283836603165,1731,0.6655132641291811,0.02453247644007206,0.035804241449319714,0.03580424214994534,0.03580424182317973
284.tiff,0,11810,4,19,33,13,37,14,24,15,37,9,41,22,32,4,4,4,4,2265,0.8708189158016147,0.030543239787220955,1897,0.7293348712033834,0.03183813765645027,0.04211614745049668,0.04211614789890239,0.042116148721645076
284.tiff,1,11817,4,17,36,14,35,19,21,13,40,10,39,27,29,4,4,4,4,2202,0.8465974625144176,0.03231173753738403,1818,0.698961937716263,0.03381409868597984,0.04383268914996975,0.043832690416796216,0.04383268822859323
284.tiff,2,11832,4,15,38,22,37,23,15,11,42,18,41,31,23,4,4,4,4,2256,0.8673587081891581,0.035684678703546524,1888,0.7258746635909266,0.03837457299232483,0.04526596930181458,0.04526596914143264,0.04526596795779994
289.tiff,0,12690,4,15,35,16,38,20,22,11,39,12,42,28,30,4,4,4,4,2161,0.8308342945021145,0.02641988731920719,1761,0.6770472895040369,0.030938545241951942,0.03132026040441688,0.03132026111874122,0.03132026102266487
289.tiff,1,12675,4,14,39,12,35,25,23,10,43,8,39,33,31,4,4,4,4,2026,0.7789311803152633,0.029335685074329376,1578,0.6066897347174164,0.03486347198486328,0.03623772807596172,0.03623772735440408,0.036237727510463724
289.tiff,2,12640,4,16,32,14,37,16,23,12,36,10,41,24,31,4,4,4,4,2233,0.8585159554017685,0.025807417929172516,1857,0.7139561707035755,0.02776678279042244,0.034327966353317266,0.03432796555856366,0.03432796657653755
291.tiff,0,13272,4,16,39,7,34,23,27,12,43,3,38,31,35,4,4,4,4,1980,0.7612456747404844,0.04337431490421295,1516,0.5828527489427143,0.04535014182329178,0.04950880573918083,0.04950880594512176,0.04950880476215344
291.tiff,1,13169,4,11,34,14,37,23,23,7,38,10,41,31,31,4,4,4,4,2072,0.7966166858900423,0.04467571899294853,1640,0.6305267204921184,0.04795446619391441,0.052290511148142316,0.052290512072779315,0.05229051207778367
291.tiff,2,13283,4,14,36,14,35,22,21,10,40,10,39,30,29,4,4,4,4,2139,0.8223760092272203,0.037421099841594696,1731,0.6655132641291811,0.038155850023031235,0.049242151372220995,0.04924215091000677,0.04924215242869018
293.tiff,0,13596,4,21,39,13,37,18,24,17,43,9,41,26,32,4,4,4,4,2169,0.8339100346020761,0.028381723910570145,1769,0.6801230296039985,0.028730884194374084,0.03824664533151238,0.03824664545071808,0.038246645692656955
293.tiff,1,13588,4,10,35,13,37,25,24,6,39,9,41,33,32,4,4,4,4,2001,0.7693194925028836,0.03072071447968483,1545,0.5940023068050749,0.03073316253721714,0.04274694864170744,0.042746949086178085,0.04274694842581989
293.tiff,2,13625,4,14,35,15,35,21,20,10,39,11,39,29,28,4,4,4,4,2181,0.8385236447520185,0.03395494818687439,1789,0.6878123798539023,0.03409295529127121,0.04536761860007388,0.04536761878855363,0.04536761795284514
459.tiff,0,22441,4,10,39,10,41,29,31,6,43,6,45,37,39,4,4,4,4,1702,0.6543637062668205,0.03461445868015289,1158,0.44521337946943484,0.03229894861578941,0.07053838556037724,0.07053838638386123,0.07053838624314236
459.tiff,1,22446,4,7,42,5,44,35,39,3,46,1,48,43,47,4,4,4,4,1236,0.47520184544405997,0.029558798298239708,580,0.2229911572472126,0.027860846370458603,0.07073709593410035,0.07073709569757718,0.07073709600929363
459.tiff,2,22306,4,14,36,10,42,22,32,10,40,6,46,30,40,4,4,4,4,1897,0.7293348712033834,0.027212833985686302,1401,0.538638985005767,0.023855384439229965,0.05212172431258246,0.05212172474609638,0.052121724088949564
460.tiff,0,22577,4,3,43,9,36,40,27,0,47,5,40,47,35,3,4,4,4,1521,0.5847750865051903,0.03560774028301239,956,0.3675509419454056,0.039714962244033813,0.07413464143370592,0.0741346405864443,0.07413464102181287
460.tiff,1,22538,4,12,34,21,35,22,14,8,38,17,39,30,22,4,4,4,4,2293,0.8815840061514802,0.034144770354032516,1941,0.7462514417531718,0.032667819410562515,0.04653974158326125,0.04653974293499486,0.04653974113724868
460.tiff,2,22552,4,13,41,8,37,28,29,9,45,4,41,36,37,4,4,4,4,1789,0.6878123798539023,0.03469492867588997,1269,0.48788927335640137,0.029286574572324753,0.06850066114847661,0.06850066032799183,0.06850066106851144
410.tiff,0,20699,4,20,35,13,33,15,20,16,39,9,37,23,28,4,4,4,4,2301,0.8846597462514417,0.02732006087899208,1957,0.752402921953095,0.026441389694809914,0.03146710225787861,0.031467102117290785,0.03146710269568877
410.tiff,1,20687,4,13,33,9,38,20,29,9,37,5,42,28,37,4,4,4,4,2021,0.7770088427527874,0.03156435117125511,1565,0.6016916570549788,0.03210011497139931,0.042475328384787826,0.04247532844113244,0.0424753285965319
410.tiff,2,20694,4,18,33,9,41,15,32,14,37,5,45,23,40,4,4,4,4,2121,0.8154555940023068,0.025125106796622276,1681,0.6462898885044214,0.0262768492102623,0.033981454366032476,0.03398145502128827,0.03398145430265528
425.tiff,0,21116,4,8,43,0,39,35,39,4,47,0,43,43,43,4,4,0,4,1236,0.47520184544405997,0.052559204399585724,752,0.289119569396386,0.046320900321006775,0.09133334176985689,0.091333342620853,0.09133334194505333
425.tiff,1,21113,4,5,50,0,50,45,50,1,51,0,51,50,51,4,1,0,1,351,0.13494809688581316,0.06248873099684715,51,0.0196078431372549,0.05989888310432434,0.12674345837613107,0.12674345847782104,0.12674345834318926
425.tiff,2,21120,4,5,42,9,40,37,31,1,46,5,44,45,39,4,4,4,4,1454,0.5590157631680123,0.06173079088330269,846,0.32525951557093424,0.061420731246471405,0.09272748661671165,0.09272748614478425,0.09272748647921535
435.tiff,0,21400,4,12,41,14,35,29,21,8,45,10,39,37,29,4,4,4,4,1992,0.7658592848904268,0.0697062537074089,1528,0.5874663590926567,0.07079090178012848,0.08642064077069432,0.08642064335282286,0.0864206415195389
435.tiff,1,21385,4,8,39,17,35,31,18,4,43,13,39,39,26,4,4,4,4,2043,0.7854671280276817,0.04610743001103401,1587,0.6101499423298731,0.04673893004655838,0.06461655343647313,0.06461655305213697,0.06461655320131507
435.tiff,2,21359,4,20,45,14,37,25,23,16,49,10,41,33,31,4,4,4,4,2026,0.7789311803152633,0.07463399320840836,1578,0.6066897347174164,0.07417932152748108,0.0937747202779117,0.09377472134151628,0.09377471833378477
462.tiff,0,22660,4,14,36,10,40,22,30,10,40,6,44,30,38,4,4,4,4,1941,0.7462514417531718,0.02368089184165001,1461,0.5617070357554786,0.022748075425624847,0.04922482873110613,0.04922482862199203,0.04922482856437182
462.tiff,1,22686,4,15,36,12,40,21,28,11,40,8,44,29,36,4,4,4,4,2013,0.7739331026528259,0.021630601957440376,1557,0.5986159169550173,0.01947825402021408,0.0386622291314927,0.03866222857351543,0.0386622286918945
462.tiff,2,22672,4,22,36,14,34,14,20,18,40,10,38,22,28,4,4,4,4,2321,0.8923490965013456,0.026735538616776466,1985,0.7631680123029604,0.025687245652079582,0.0376214025783967,0.03762140287203096,0.03762140275888297
499.tiff,0,23957,4,16,32,13,39,16,26,12,36,9,43,24,34,4,4,4,4,2185,0.8400615148019992,0.01211577095091343,1785,0.6862745098039216,0.010708902962505817,0.024269810763375182,0.024269811154119074,0.024269810566089664
499.tiff,1,24000,4,17,34,14,37,17,23,13,38,10,41,25,31,4,4,4,4,2210,0.8496732026143791,0.014888375997543335,1826,0.7020376778162245,0.012125222012400627,0.025791856219287767,0.02579185618707099,0.025791856387273115
499.tiff,2,23980,4,12,31,9,39,19,30,8,35,5,43,27,38,4,4,4,4,2031,0.7808535178777394,0.013718314468860626,1575,0.6055363321799307,0.012598707340657711,0.02634523946867573,0.02634523953165011,0.02634523952898841
013.tiff,0,249,4,6,44,7,46,38,39,2,48,3,50,46,47,4,4,4,4,1119,0.4302191464821223,0.016157900914549828,439,0.16878123798539024,0.01669447124004364,0.05984328116532143,0.05984328131001256,0.05984328109970634
013.tiff,1,263,4,13,38,15,41,25,26,9,42,11,45,33,34,4,4,4,4,1951,0.7500961168781238,0.025410432368516922,1479,0.5686274509803921,0.02387092262506485,0.05655754301083776,0.05655754286966293,0.056557543498422035
013.tiff,2,258,4,15,33,3,42,18,39,11,37,0,46,26,46,4,4,3,4,1899,0.7301038062283737,0.020681163296103477,1405,0.5401768550557478,0.020052770152688026,0.0391790191673823,0.03917901865903316,0.03917901962276046
094.tiff,0,2512,4,13,36,13,33,23,20,9,40,9,37,31,28,4,4,4,4,2141,0.8231449442522107,0.017636068165302277,1733,0.6662821991541714,0.018988914787769318,0.02574218248142969,0.025742182315607234,0.02574218254537196
094.tiff,1,2536,4,18,40,18,41,22,23,14,44,14,45,30,31,4,4,4,4,2095,0.8054594386774317,0.017744604498147964,1671,0.6424452133794695,0.01788800023496151,0.02530762592523101,0.02530762618158753,0.025307625739625556
094.tiff,2,2494,4,9,30,10,42,21,32,5,34,6,46,29,40,4,4,4,4,1929,0.7416378316032295,0.022191988304257393,1441,0.5540176855055747,0.022134840488433838,0.032339871646759305,0.03233987109209971,0.032339871334128106
007.tiff,0,135,4,14,40,9,39,26,30,10,44,5,43,34,38,4,4,4,4,1821,0.7001153402537486,0.03745405003428459,1309,0.5032679738562091,0.035559721291065216,0.05043574603384032,0.05043574500440841,0.05043574600224124
007.tiff,1,134,4,11,38,7,37,27,30,7,42,3,41,35,38,4,4,4,4,1791,0.6885813148788927,0.024548452347517014,1271,0.4886582083813918,0.02155553176999092,0.0403360406572738,0.040336040617264424,0.04033604059228951
007.tiff,2,130,4,3,39,12,41,36,29,0,43,8,45,43,37,3,4,4,4,1557,0.5986159169550173,0.027922306209802628,1010,0.3883121876201461,0.03122517466545105,0.05645950731189052,0.05645950772242405,0.05645950714468616
072.tiff,0,1812,4,8,37,12,41,29,29,4,41,8,45,37,37,4,4,4,4,1760,0.6766628219915417,0.016874590888619423,1232,0.4736639753940792,0.015595152042806149,0.03345959288265856,0.03345959241581119,0.03345959309651185
072.tiff,1,1844,4,12,39,14,34,27,20,8,43,10,38,35,28,4,4,4,4,2061,0.7923875432525952,0.014608344063162804,1621,0.6232218377547097,0.014585320837795734,0.025649324664632902,0.02564932502323607,0.025649324894192024
072.tiff,2,1813,4,4,43,7,36,39,29,0,47,3,40,47,37,4,4,4,4,1470,0.5651672433679354,0.015789151191711426,862,0.33141099577085736,0.01612783968448639,0.037923967805449876,0.03792396803749865,0.03792396761215165
100.tiff,0,2794,4,18,37,15,43,19,28,14,41,11,47,27,36,4,4,4,4,2069,0.7954632833525567,0.010965378023684025,1629,0.6262975778546713,0.010070468299090862,0.021444212082441513,0.02144421208465471,0.021444212199394408
100.tiff,1,2768,4,18,46,10,41,28,31,14,50,6,45,36,39,4,4,4,4,1733,0.6662821991541714,0.006346916314214468,1197,0.4602076124567474,0.0053545585833489895,0.02747654250624125,0.027476542570691067,0.02747654241694153
100.tiff,2,2747,4,11,39,9,36,28,27,7,43,5,40,36,35,4,4,4,4,1845,0.7093425605536332,0.007956701330840588,1341,0.5155709342560554,0.00804778654128313,0.022277880501131223,0.022277880569820625,0.022277880645626538
123.tiff,0,3503,4,17,38,6,46,21,40,13,42,2,50,29,48,4,4,4,4,1761,0.6770472895040369,0.016269652172923088,1209,0.46482122260668973,0.01729663647711277,0.03724305542906986,0.03724305592256218,0.03724305517149229
123.tiff,1,3468,4,16,40,15,35,24,20,12,44,11,39,32,28,4,4,4,4,2121,0.8154555940023068,0.01040488388389349,1705,0.655517108804306,0.00956752896308899,0.023206892976175137,0.02320689278516027,0.02320689285922342
123.tiff,2,3516,4,0,36,17,33,36,16,0,40,13,37,40,24,0,4,4,4,2025,0.7785467128027682,0.00960850901901722,1641,0.6309111880046137,0.010022719390690327,0.028881952478570116,0.028881952822484472,0.028881952541100587
128.tiff,0,3625,4,19,42,2,51,23,49,15,46,0,51,31,51,4,4,2,0,1474,0.5667051134179162,0.004406827036291361,1020,0.39215686274509803,0.003955416847020388,0.025271451131844574,0.025271451193368516,0.025271451127351997
128.tiff,1,3616,4,7,40,3,39,33,36,3,44,0,43,41,43,4,4,3,4,1413,0.5432525951557093,0.007776682730764151,838,0.3221837754709727,0.008351041004061699,0.020703641761446335,0.020703641798850134,0.02070364171856983
128.tiff,2,3624,4,6,39,17,29,33,12,2,43,13,33,41,20,4,4,4,4,2205,0.8477508650519031,0.00914755742996931,1781,0.6847366397539408,0.008452817797660828,0.026880416896111686,0.02688041726337271,0.02688041685512463
529.tiff,0,24918,4,11,43,4,34,32,30,7,47,0,38,40,38,4,4,4,4,1641,0.6309111880046137,0.0357624813914299,1081,0.4156093810073049,0.033933624625205994,0.06072392519226745,0.060723924914483085,0.06072392505512922
529.tiff,1,24937,4,17,35,8,40,18,32,13,39,4,44,26,40,4,4,4,4,2025,0.7785467128027682,0.03232003003358841,1561,0.6001537870049981,0.0296795517206192,0.047078077963337454,0.047078077987506725,0.047078078298663714
529.tiff,2,24914,4,16,35,11,39,19,28,12,39,7,43,27,36,4,4,4,4,2069,0.7954632833525567,0.039012789726257324,1629,0.6262975778546713,0.03662113845348358,0.05288226510911374,0.052882265474248756,0.052882265361458826
548.tiff,0,25804,4,9,36,13,39,27,26,5,40,9,43,35,34,4,4,4,4,1899,0.7301038062283737,0.06938551366329193,1411,0.5424836601307189,0.06874069571495056,0.11018165127796388,0.11018164870671152,0.11018165073155933
548.tiff,1,25712,4,7,40,10,41,33,31,3,44,6,45,41,39,4,4,4,4,1578,0.6066897347174164,0.05819888785481453,1002,0.38523644752018454,0.05445251241326332,0.10052369881288128,0.10052369883293283,0.10052369876346855
548.tiff,2,25735,4,9,38,13,39,29,26,5,42,9,43,37,34,4,4,4,4,1847,0.7101114955786236,0.06884519010782242,1343,0.5163398692810458,0.06796042621135712,0.11381126182087221,0.11381126188747198,0.11381126065859883
509.tiff,0,24264,4,3,43,3,48,40,45,0,47,0,51,47,51,3,4,3,3,801,0.3079584775086505,0.02638772875070572,204,0.0784313725490196,0.027593480423092842,0.05251097266568728,0.05251097282046013,0.052510972655392965
509.tiff,1,24271,4,0,51,4,44,51,40,0,51,0,48,51,48,0,0,4,4,561,0.21568627450980393,0.0249733068048954,153,0.058823529411764705,0.023265045136213303,0.05868896652139818,0.05868896634361976,0.05868896651387885
509.tiff,2,24260,4,13,41,0,51,28,51,9,45,0,51,36,51,4,4,0,0,1173,0.45098039215686275,0.02612754888832569,765,0.29411764705882354,0.026276160031557083,0.053222676507429706,0.05322267690631219,0.05322267631640295
524.tiff,0,24536,4,4,46,9,47,42,38,0,50,5,51,50,46,4,4,4,4,1005,0.3863898500576701,0.03149617835879326,301,0.11572472126105345,0.02928955852985382,0.07721626597948254,0.07721626534320411,0.07721626599810184
524.tiff,1,24543,4,15,40,12,42,25,30,11,44,8,46,33,38,4,4,4,4,1851,0.7116493656286044,0.044055525213479996,1347,0.5178777393310265,0.0445326492190361,0.06359438954958754,0.06359439020484334,0.06359438983747041
524.tiff,2,24532,4,15,29,10,46,14,36,11,33,6,50,22,44,4,4,4,4,2097,0.8062283737024222,0.04396797716617584,1633,0.6278354479046521,0.045967355370521545,0.06279635195453433,0.06279635046934942,0.06279635244908126
527.tiff,0,24720,4,9,40,11,36,31,25,5,44,7,40,39,33,4,4,4,4,1826,0.7020376778162245,0.06399555504322052,1314,0.5051903114186851,0.06389159709215164,0.09879432590474238,0.0987943284734883,0.09879432435361228
527.tiff,1,24705,4,6,44,10,41,38,31,2,48,6,45,46,39,4,4,4,4,1423,0.5470972702806612,0.05350487679243088,807,0.3102652825836217,0.052124518901109695,0.0959980301217021,0.09599803038219314,0.09599803026958223
