check,label,n,max_abs_diff,passed,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_items,caps,min_distance,radius,n_direct,n_filtered,used_radius,expected_radius,mpp,n_cells,n_rois,max_abs_recall_diff,max_abs_ndet_diff
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,8687.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.0,,,True,,,,,4495.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,4495.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/si4/deep_pool,,,True,,,,,27966.0,"(2000000,)",,,,,,,,,,,
min_separation,301.tiff/si4/r7.5,17752.0,,True,,,,,,,29.614185789921695,29.609055118110238,,,,,,,,,
no_cap,301.tiff/tm_score@r7.5,,,True,,,,,17101.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/chromatin_od@r7.5,,,True,,,,,17101.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/tm_score@r7.5,,,True,,,,,16399.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/chromatin_od@r7.5,,,True,,,,,16399.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/tm_score@r7.5,,,True,,,,,15160.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/chromatin_od@r7.5,,,True,,,,,15160.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/tm_score@r7.5,,,True,,,,,12844.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/chromatin_od@r7.5,,,True,,,,,12844.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/tm_score@r7.5,,,True,,,,,9266.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/chromatin_od@r7.5,,,True,,,,,9266.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/tm_score@r7.5,,,True,,,,,5284.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,301.tiff/chromatin_od@r7.5,,,True,,,,,5284.0,"(2000000,)",,,,,,,,,,,
nms_radius,301.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
min_separation,301.tiff/si4/r5.9,22671.0,,True,,,,,,,23.323807579381203,23.292456692913387,,,,,,,,,
no_cap,301.tiff/tm_score@r5.9,,,True,,,,,21387.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.9,,,True,,,,,21387.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.9,,,True,,,,,20109.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.9,,,True,,,,,20109.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.9,,,True,,,,,17918.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.9,,,True,,,,,17918.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.9,,,True,,,,,14400.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.9,,,True,,,,,14400.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.9,,,True,,,,,9822.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.9,,,True,,,,,9822.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.9,,,True,,,,,5416.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.9,,,True,,,,,5416.0,"(2000000,)",,,,,,,,,,,
min_separation,301.tiff/si4/r5.0,23670.0,,True,,,,,,,19.79898987322333,19.73937007874016,,,,,,,,,
no_cap,301.tiff/tm_score@r5.0,,,True,,,,,22255.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,22255.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.0,,,True,,,,,20826.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,20826.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.0,,,True,,,,,18382.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,18382.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.0,,,True,,,,,14590.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,14590.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.0,,,True,,,,,9879.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,9879.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/tm_score@r5.0,,,True,,,,,5426.0,"(2000000,)",,,,,,,,,,,
no_cap,301.tiff/chromatin_od@r5.0,,,True,,,,,5426.0,"(2000000,)",,,,,,,,,,,
distinct_seeds,402.tiff,,,True,5.0,5.0,,5.0,,,,,,,,,,,,,
no_cap,402.tiff/si0/deep_pool,,,True,,,,,31600.0,"(2000000,)",,,,,,,,,,,
min_separation,402.tiff/si0/r7.5,16641.0,,True,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
shortcut,402.tiff/si0/r7.5/z1.0,,,True,,,,,,,,,14808.0,14808.0,,,,,,,
shortcut,402.tiff/si0/r7.5/z3.0,,,True,,,,,,,,,3276.0,3276.0,,,,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,15889.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,15889.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,14808.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,14808.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,12607.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,12607.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,9253.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,9253.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,5819.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,5819.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,3276.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,3276.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
min_separation,402.tiff/si0/r5.9,23165.0,,True,,,,,,,26.076809620810597,26.069173228346457,,,,,,,,,
shortcut,402.tiff/si0/r5.9/z1.0,,,True,,,,,,,,,19273.0,19273.0,,,,,,,
shortcut,402.tiff/si0/r5.9/z3.0,,,True,,,,,,,,,3490.0,3490.0,,,,,,,
no_cap,402.tiff/tm_score@r5.9,,,True,,,,,21491.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.9,,,True,,,,,21491.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.9,,,True,,,,,19273.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.9,,,True,,,,,19273.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.9,,,True,,,,,15534.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.9,,,True,,,,,15534.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.9,,,True,,,,,10677.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.9,,,True,,,,,10677.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.9,,,True,,,,,6402.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.9,,,True,,,,,6402.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.9,,,True,,,,,3490.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.9,,,True,,,,,3490.0,"(2000000,)",,,,,,,,,,,
min_separation,402.tiff/si0/r5.0,25760.0,,True,,,,,,,22.135943621178654,22.09251968503937,,,,,,,,,
shortcut,402.tiff/si0/r5.0/z1.0,,,True,,,,,,,,,20884.0,20884.0,,,,,,,
shortcut,402.tiff/si0/r5.0/z3.0,,,True,,,,,,,,,3531.0,3531.0,,,,,,,
no_cap,402.tiff/tm_score@r5.0,,,True,,,,,23686.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.0,,,True,,,,,23686.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.0,,,True,,,,,20884.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.0,,,True,,,,,20884.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.0,,,True,,,,,16397.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.0,,,True,,,,,16397.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.0,,,True,,,,,11010.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.0,,,True,,,,,11010.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.0,,,True,,,,,6520.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.0,,,True,,,,,6520.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/tm_score@r5.0,,,True,,,,,3531.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/chromatin_od@r5.0,,,True,,,,,3531.0,"(2000000,)",,,,,,,,,,,
no_cap,402.tiff/si1/deep_pool,,,True,,,,,24870.0,"(2000000,)",,,,,,,,,,,
min_separation,402.tiff/si1/r7.5,15880.0,,True,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,15040.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,15040.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,13768.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,13768.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,11329.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,11329.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,7800.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,7800.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,4604.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,4604.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/tm_score@r7.5,,,True,,,,,2403.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/tm_score@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,402.tiff/chromatin_od@r7.5,,,True,,,,,2403.0,"(2000000,)",,,,,,,,,,,
nms_radius,402.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
