file_name,seed_index,condition,my_ann,nb_ann,my_base,nb_base,my_tx,nb_tx,my_ty,nb_ty,my_refused,nb_refused,my_joint_valid,nb_joint_valid,my_default_alone_differs,my_gray_alone_differs,my_hem_alone_differs
301.tiff,1,hem_bbox,14874,14874,25,25,6300.0,6300.0,2291.5,2291.5,14753:gray_bbox+hem_bbox,14753:gray_bbox+hem_bbox,122,122,True,False,False
301.tiff,2,default_51,14782,14782,51,51,6325.0,6325.0,82.0,82.0,14819:gray_bbox+hem_bbox,14819:gray_bbox+hem_bbox,122,122,True,False,False
301.tiff,2,gray_bbox,14782,14782,23,23,6327.0,6327.0,85.0,85.0,14819:gray_bbox+hem_bbox,14819:gray_bbox+hem_bbox,122,122,True,False,False
301.tiff,2,hem_bbox,14782,14782,19,19,6326.0,6326.0,84.5,84.5,14819:gray_bbox+hem_bbox,14819:gray_bbox+hem_bbox,122,122,True,False,False
322.tiff,0,default_51,16292,16292,51,51,2677.0,2677.0,483.0,483.0,16277:gray_bbox+hem_bbox,16277:gray_bbox+hem_bbox,16,16,True,False,False
322.tiff,0,gray_bbox,16292,16292,29,29,2679.5,2679.5,480.5,480.5,16277:gray_bbox+hem_bbox,16277:gray_bbox+hem_bbox,16,16,True,False,False
322.tiff,0,hem_bbox,16292,16292,25,25,2679.5,2679.5,481.5,481.5,16277:gray_bbox+hem_bbox,16277:gray_bbox+hem_bbox,16,16,True,False,False
322.tiff,1,default_51,16270,16270,51,51,870.0,870.0,4698.0,4698.0,,,16,16,False,False,False
322.tiff,1,gray_bbox,16270,16270,41,41,868.5,868.5,4698.5,4698.5,,,16,16,False,False,False
322.tiff,1,hem_bbox,16270,16270,29,29,869.5,869.5,4700.0,4700.0,,,16,16,False,False,False
322.tiff,2,default_51,16265,16265,51,51,1155.0,1155.0,2592.0,2592.0,,,16,16,False,False,False
322.tiff,2,gray_bbox,16265,16265,31,31,1157.0,1157.0,2591.5,2591.5,,,16,16,False,False,False
322.tiff,2,hem_bbox,16265,16265,27,27,1156.5,1156.5,2592.0,2592.0,,,16,16,False,False,False
337.tiff,0,default_51,17124,17124,51,51,5800.0,5800.0,1938.0,1938.0,,,10,10,False,False,False
337.tiff,0,gray_bbox,17124,17124,43,43,5805.0,5805.0,1942.5,1942.5,,,10,10,False,False,False
337.tiff,0,hem_bbox,17124,17124,19,19,5799.0,5799.0,1940.0,1940.0,,,10,10,False,False,False
337.tiff,1,default_51,17129,17129,51,51,1345.0,1345.0,3796.0,3796.0,,,10,10,False,False,False
337.tiff,1,gray_bbox,17129,17129,45,45,1348.5,1348.5,3797.0,3797.0,,,10,10,False,False,False
337.tiff,1,hem_bbox,17129,17129,21,21,1345.5,1345.5,3796.0,3796.0,,,10,10,False,False,False
337.tiff,2,default_51,17118,17118,51,51,5688.0,5688.0,3403.0,3403.0,17119:gray_bbox+hem_bbox,17119:gray_bbox+hem_bbox,10,10,True,False,False
337.tiff,2,gray_bbox,17118,17118,37,37,5689.0,5689.0,3402.0,3402.0,17119:gray_bbox+hem_bbox,17119:gray_bbox+hem_bbox,10,10,True,False,False
337.tiff,2,hem_bbox,17118,17118,21,21,5689.5,5689.5,3404.5,3404.5,17119:gray_bbox+hem_bbox,17119:gray_bbox+hem_bbox,10,10,True,False,False
339.tiff,0,default_51,17152,17152,51,51,587.0,587.0,1289.0,1289.0,,,7,7,False,False,False
339.tiff,0,gray_bbox,17152,17152,45,45,583.5,583.5,1292.5,1292.5,,,7,7,False,False,False
339.tiff,0,hem_bbox,17152,17152,31,31,586.0,586.0,1285.5,1285.5,,,7,7,False,False,False
339.tiff,1,default_51,17149,17149,51,51,1659.0,1659.0,41.0,41.0,,,7,7,False,False,False
339.tiff,1,gray_bbox,17149,17149,39,39,1657.5,1657.5,47.0,47.0,,,7,7,False,False,False
339.tiff,1,hem_bbox,17149,17149,31,31,1657.0,1657.0,44.0,44.0,,,7,7,False,False,False
339.tiff,2,default_51,17151,17151,51,51,4409.0,4409.0,140.0,140.0,17169:hem_bbox,17169:hem_bbox,7,7,True,True,False
339.tiff,2,gray_bbox,17151,17151,51,51,4409.0,4409.0,137.0,137.0,17169:hem_bbox,17169:hem_bbox,7,7,True,True,False
339.tiff,2,hem_bbox,17151,17151,19,19,4411.0,4411.0,140.5,140.5,17169:hem_bbox,17169:hem_bbox,7,7,True,True,False
343.tiff,0,default_51,17382,17382,51,51,5675.0,5675.0,4651.0,4651.0,,,20,20,False,False,False
343.tiff,0,gray_bbox,17382,17382,43,43,5673.5,5673.5,4654.0,4654.0,,,20,20,False,False,False
343.tiff,0,hem_bbox,17382,17382,21,21,5666.5,5666.5,4653.5,4653.5,,,20,20,False,False,False
343.tiff,1,default_51,17363,17363,51,51,489.0,489.0,4565.0,4565.0,,,20,20,False,False,False
343.tiff,1,gray_bbox,17363,17363,47,47,493.5,493.5,4565.0,4565.0,,,20,20,False,False,False
343.tiff,1,hem_bbox,17363,17363,19,19,488.5,488.5,4567.5,4567.5,,,20,20,False,False,False
343.tiff,2,default_51,17368,17368,51,51,2083.0,2083.0,2749.0,2749.0,,,20,20,False,False,False
343.tiff,2,gray_bbox,17368,17368,27,27,2084.5,2084.5,2749.0,2749.0,,,20,20,False,False,False
343.tiff,2,hem_bbox,17368,17368,23,23,2084.5,2084.5,2748.0,2748.0,,,20,20,False,False,False
344.tiff,0,default_51,17457,17457,51,51,1797.0,1797.0,3481.0,3481.0,,,27,27,False,False,False
344.tiff,0,gray_bbox,17457,17457,23,23,1796.5,1796.5,3483.5,3483.5,,,27,27,False,False,False
344.tiff,0,hem_bbox,17457,17457,19,19,1797.0,1797.0,3483.0,3483.0,,,27,27,False,False,False
344.tiff,1,default_51,17469,17469,51,51,4351.0,4351.0,1782.0,1782.0,,,27,27,False,False,False
344.tiff,1,gray_bbox,17469,17469,39,39,4353.0,4353.0,1785.0,1785.0,,,27,27,False,False,False
344.tiff,1,hem_bbox,17469,17469,21,21,4349.5,4349.5,1781.5,1781.5,,,27,27,False,False,False
344.tiff,2,default_51,17460,17460,51,51,2486.0,2486.0,4123.0,4123.0,,,27,27,False,False,False
344.tiff,2,gray_bbox,17460,17460,27,27,2489.0,2489.0,4123.5,4123.5,,,27,27,False,False,False
344.tiff,2,hem_bbox,17460,17460,21,21,2486.0,2486.0,4124.5,4124.5,,,27,27,False,False,False
201.tiff,0,default_51,4457,4457,51,51,4097.0,4097.0,1978.0,1978.0,,,6,6,False,False,False
201.tiff,0,gray_bbox,4457,4457,51,51,4097.0,4097.0,1977.5,1977.5,,,6,6,False,False,False
201.tiff,0,hem_bbox,4457,4457,29,29,4092.0,4092.0,1978.0,1978.0,,,6,6,False,False,False
201.tiff,1,default_51,4469,4469,51,51,6265.0,6265.0,3299.0,3299.0,,,6,6,False,False,False
201.tiff,1,gray_bbox,4469,4469,51,51,6262.0,6262.0,3299.0,3299.0,,,6,6,False,False,False
201.tiff,1,hem_bbox,4469,4469,31,31,6263.0,6263.0,3299.5,3299.5,,,6,6,False,False,False
201.tiff,2,default_51,4476,4476,51,51,2859.0,2859.0,4239.0,4239.0,,,6,6,False,False,False
201.tiff,2,gray_bbox,4476,4476,35,35,2857.5,2857.5,4239.0,4239.0,,,6,6,False,False,False
201.tiff,2,hem_bbox,4476,4476,33,33,2858.0,2858.0,4239.5,4239.5,,,6,6,False,False,False
233.tiff,0,default_51,5761,5761,51,51,4419.0,4419.0,2138.0,2138.0,,,11,11,False,False,False
233.tiff,0,gray_bbox,5761,5761,25,25,4418.0,4418.0,2139.0,2139.0,,,11,11,False,False,False
233.tiff,0,hem_bbox,5761,5761,23,23,4419.0,4419.0,2138.0,2138.0,,,11,11,False,False,False
233.tiff,1,default_51,5760,5760,51,51,3570.0,3570.0,1962.0,1962.0,,,11,11,False,False,False
233.tiff,1,gray_bbox,5760,5760,51,51,3565.0,3565.0,1962.0,1962.0,,,11,11,False,False,False
233.tiff,1,hem_bbox,5760,5760,29,29,3571.0,3571.0,1963.0,1963.0,,,11,11,False,False,False
233.tiff,2,default_51,5770,5770,51,51,2081.0,2081.0,3653.0,3653.0,,,11,11,False,False,False
233.tiff,2,gray_bbox,5770,5770,43,43,2077.0,2077.0,3646.0,3646.0,,,11,11,False,False,False
233.tiff,2,hem_bbox,5770,5770,31,31,2083.0,2083.0,3652.0,3652.0,,,11,11,False,False,False
211.tiff,0,default_51,4916,4916,51,51,5027.0,5027.0,1377.0,1377.0,4917:gray_bbox+hem_bbox,4917:gray_bbox+hem_bbox,8,8,True,False,False
211.tiff,0,gray_bbox,4916,4916,51,51,5027.0,5027.0,1377.0,1377.0,4917:gray_bbox+hem_bbox,4917:gray_bbox+hem_bbox,8,8,True,False,False
211.tiff,0,hem_bbox,4916,4916,23,23,5026.5,5026.5,1377.0,1377.0,4917:gray_bbox+hem_bbox,4917:gray_bbox+hem_bbox,8,8,True,False,False
211.tiff,1,default_51,4919,4919,51,51,2856.0,2856.0,2567.0,2567.0,4918:gray_bbox+hem_bbox,4918:gray_bbox+hem_bbox,8,8,True,False,False
211.tiff,1,gray_bbox,4919,4919,43,43,2854.0,2854.0,2571.5,2571.5,4918:gray_bbox+hem_bbox,4918:gray_bbox+hem_bbox,8,8,True,False,False
211.tiff,1,hem_bbox,4919,4919,27,27,2855.5,2855.5,2565.5,2565.5,4918:gray_bbox+hem_bbox,4918:gray_bbox+hem_bbox,8,8,True,False,False
211.tiff,2,default_51,4909,4909,51,51,2429.0,2429.0,1188.0,1188.0,,,8,8,False,False,False
211.tiff,2,gray_bbox,4909,4909,51,51,2429.0,2429.0,1188.0,1188.0,,,8,8,False,False,False
211.tiff,2,hem_bbox,4909,4909,25,25,2429.0,2429.0,1188.5,1188.5,,,8,8,False,False,False
220.tiff,0,default_51,5270,5270,51,51,1034.0,1034.0,2942.0,2942.0,,,40,40,False,False,False
220.tiff,0,gray_bbox,5270,5270,51,51,1034.0,1034.0,2942.0,2942.0,,,40,40,False,False,False
220.tiff,0,hem_bbox,5270,5270,25,25,1035.5,1035.5,2943.0,2943.0,,,40,40,False,False,False
220.tiff,1,default_51,5293,5293,51,51,3107.0,3107.0,4582.0,4582.0,,,40,40,False,False,False
220.tiff,1,gray_bbox,5293,5293,49,49,3108.0,3108.0,4586.5,4586.5,,,40,40,False,False,False
220.tiff,1,hem_bbox,5293,5293,31,31,3106.0,3106.0,4581.0,4581.0,,,40,40,False,False,False
220.tiff,2,default_51,5247,5247,51,51,3813.0,3813.0,1715.0,1715.0,,,40,40,False,False,False
220.tiff,2,gray_bbox,5247,5247,51,51,3813.0,3813.0,1715.0,1715.0,,,40,40,False,False,False
220.tiff,2,hem_bbox,5247,5247,23,23,3810.0,3810.0,1717.0,1717.0,,,40,40,False,False,False
230.tiff,0,default_51,5689,5689,51,51,1637.0,1637.0,1590.0,1590.0,,,8,8,False,False,False
230.tiff,0,gray_bbox,5689,5689,51,51,1637.0,1637.0,1590.0,1590.0,,,8,8,False,False,False
230.tiff,0,hem_bbox,5689,5689,27,27,1635.5,1635.5,1590.0,1590.0,,,8,8,False,False,False
230.tiff,1,default_51,5700,5700,51,51,3271.0,3271.0,2404.0,2404.0,,,8,8,False,False,False
230.tiff,1,gray_bbox,5700,5700,33,33,3277.0,3277.0,2404.0,2404.0,,,8,8,False,False,False
230.tiff,1,hem_bbox,5700,5700,21,21,3271.0,3271.0,2405.0,2405.0,,,8,8,False,False,False
230.tiff,2,default_51,5703,5703,51,51,2386.0,2386.0,2895.0,2895.0,,,8,8,False,False,False
230.tiff,2,gray_bbox,5703,5703,51,51,2386.0,2386.0,2895.0,2895.0,,,8,8,False,False,False
230.tiff,2,hem_bbox,5703,5703,27,27,2383.5,2383.5,2894.0,2894.0,,,8,8,False,False,False
235.tiff,0,default_51,5810,5810,51,51,5435.0,5435.0,775.0,775.0,,,15,15,False,False,False
235.tiff,0,gray_bbox,5810,5810,39,39,5433.5,5433.5,768.5,768.5,,,15,15,False,False,False
235.tiff,0,hem_bbox,5810,5810,25,25,5434.0,5434.0,772.5,772.5,,,15,15,False,False,False
235.tiff,1,default_51,5831,5831,51,51,6464.0,6464.0,3084.0,3084.0,,,15,15,False,False,False
235.tiff,1,gray_bbox,5831,5831,39,39,6458.0,6458.0,3085.5,3085.5,,,15,15,False,False,False
235.tiff,1,hem_bbox,5831,5831,23,23,6465.5,6465.5,3087.5,3087.5,,,15,15,False,False,False
235.tiff,2,default_51,5830,5830,51,51,4330.0,4330.0,3417.0,3417.0,,,15,15,False,False,False
235.tiff,2,gray_bbox,5830,5830,23,23,4329.0,4329.0,3417.5,3417.5,,,15,15,False,False,False
235.tiff,2,hem_bbox,5830,5830,21,21,4327.5,4327.5,3416.5,3416.5,,,15,15,False,False,False
242.tiff,0,default_51,6180,6180,51,51,2627.0,2627.0,4231.0,4231.0,,,18,18,False,False,False
242.tiff,0,gray_bbox,6180,6180,33,33,2631.0,2631.0,4228.0,4228.0,,,18,18,False,False,False
242.tiff,0,hem_bbox,6180,6180,23,23,2627.0,2627.0,4228.5,4228.5,,,18,18,False,False,False
242.tiff,1,default_51,6178,6178,51,51,201.0,201.0,4168.0,4168.0,,,18,18,False,False,False
242.tiff,1,gray_bbox,6178,6178,45,45,201.5,201.5,4164.5,4164.5,,,18,18,False,False,False
242.tiff,1,hem_bbox,6178,6178,31,31,204.0,204.0,4165.5,4165.5,,,18,18,False,False,False
242.tiff,2,default_51,6161,6161,51,51,3464.0,3464.0,1628.0,1628.0,,,18,18,False,False,False
242.tiff,2,gray_bbox,6161,6161,41,41,3459.0,3459.0,1626.5,1626.5,,,18,18,False,False,False
242.tiff,2,hem_bbox,6161,6161,35,35,3462.5,3462.5,1626.0,1626.0,,,18,18,False,False,False
245.tiff,0,default_51,6317,6317,51,51,4774.0,4774.0,2184.0,2184.0,6274:hem_bbox,6274:hem_bbox,64,64,True,True,False
245.tiff,0,gray_bbox,6317,6317,51,51,4774.0,4774.0,2184.0,2184.0,6274:hem_bbox,6274:hem_bbox,64,64,True,True,False
245.tiff,0,hem_bbox,6317,6317,23,23,4769.0,4769.0,2186.0,2186.0,6274:hem_bbox,6274:hem_bbox,64,64,True,True,False
245.tiff,1,default_51,6243,6243,51,51,794.0,794.0,170.0,170.0,,,64,64,False,False,False
245.tiff,1,gray_bbox,6243,6243,51,51,794.0,794.0,169.0,169.0,,,64,64,False,False,False
245.tiff,1,hem_bbox,6243,6243,35,35,782.5,782.5,161.5,161.5,,,64,64,False,False,False
245.tiff,2,default_51,6250,6250,51,51,1758.0,1758.0,166.0,166.0,,,64,64,False,False,False
245.tiff,2,gray_bbox,6250,6250,37,37,1751.0,1751.0,174.0,174.0,,,64,64,False,False,False
245.tiff,2,hem_bbox,6250,6250,21,21,1759.5,1759.5,165.0,165.0,,,64,64,False,False,False
246.tiff,0,default_51,6548,6548,51,51,3634.0,3634.0,3621.0,3621.0,,,72,72,False,False,False
246.tiff,0,gray_bbox,6548,6548,41,41,3627.5,3627.5,3615.5,3615.5,,,72,72,False,False,False
246.tiff,0,hem_bbox,6548,6548,27,27,3632.5,3632.5,3619.0,3619.0,,,72,72,False,False,False
246.tiff,1,default_51,6599,6599,51,51,5650.0,5650.0,3720.0,3720.0,,,72,72,False,False,False
246.tiff,1,gray_bbox,6599,6599,51,51,5650.0,5650.0,3720.0,3720.0,,,72,72,False,False,False
246.tiff,1,hem_bbox,6599,6599,23,23,5652.0,5652.0,3722.5,3722.5,,,72,72,False,False,False
246.tiff,2,default_51,6482,6482,51,51,4659.0,4659.0,1278.0,1278.0,,,72,72,False,False,False
246.tiff,2,gray_bbox,6482,6482,51,51,4659.0,4659.0,1278.0,1278.0,,,72,72,False,False,False
246.tiff,2,hem_bbox,6482,6482,31,31,4661.0,4661.0,1280.0,1280.0,,,72,72,False,False,False
249.tiff,0,default_51,6940,6940,51,51,3611.0,3611.0,621.0,621.0,,,57,57,False,False,False
249.tiff,0,gray_bbox,6940,6940,29,29,3612.0,3612.0,619.0,619.0,,,57,57,False,False,False
249.tiff,0,hem_bbox,6940,6940,23,23,3611.5,3611.5,619.0,619.0,,,57,57,False,False,False
249.tiff,1,default_51,7008,7008,51,51,3751.0,3751.0,2618.0,2618.0,,,57,57,False,False,False
249.tiff,1,gray_bbox,7008,7008,39,39,3755.5,3755.5,2620.5,2620.5,,,57,57,False,False,False
249.tiff,1,hem_bbox,7008,7008,29,29,3754.0,3754.0,2619.0,2619.0,,,57,57,False,False,False
249.tiff,2,default_51,6992,6992,51,51,1801.0,1801.0,2282.0,2282.0,,,57,57,False,False,False
249.tiff,2,gray_bbox,6992,6992,27,27,1800.0,1800.0,2278.0,2278.0,,,57,57,False,False,False
249.tiff,2,hem_bbox,6992,6992,23,23,1801.5,1801.5,2280.0,2280.0,,,57,57,False,False,False
284.tiff,0,default_51,11810,11810,51,51,3734.0,3734.0,1582.0,1582.0,,,47,47,False,False,False
284.tiff,0,gray_bbox,11810,11810,39,39,3727.5,3727.5,1581.5,1581.5,,,47,47,False,False,False
284.tiff,0,hem_bbox,11810,11810,25,25,3733.5,3733.5,1582.5,1582.5,,,47,47,False,False,False
284.tiff,1,default_51,11817,11817,51,51,6459.0,6459.0,1078.0,1078.0,11818:hem_bbox,11818:hem_bbox,47,47,True,True,False
284.tiff,1,gray_bbox,11817,11817,25,25,6458.5,6458.5,1077.5,1077.5,11818:hem_bbox,11818:hem_bbox,47,47,True,True,False
284.tiff,1,hem_bbox,11817,11817,21,21,6458.0,6458.0,1079.0,1079.0,11818:hem_bbox,11818:hem_bbox,47,47,True,True,False
284.tiff,2,default_51,11832,11832,51,51,6340.0,6340.0,2156.0,2156.0,,,47,47,False,False,False
284.tiff,2,gray_bbox,11832,11832,43,43,6344.5,6344.5,2155.5,2155.5,,,47,47,False,False,False
284.tiff,2,hem_bbox,11832,11832,23,23,6344.0,6344.0,2157.0,2157.0,,,47,47,False,False,False
289.tiff,0,default_51,12690,12690,51,51,5248.0,5248.0,4332.0,4332.0,,,12,12,False,False,False
289.tiff,0,gray_bbox,12690,12690,25,25,5249.5,5249.5,4331.0,4331.0,,,12,12,False,False,False
289.tiff,0,hem_bbox,12690,12690,23,23,5249.5,5249.5,4331.5,4331.5,,,12,12,False,False,False
289.tiff,1,default_51,12675,12675,51,51,2178.0,2178.0,3287.0,3287.0,,,12,12,False,False,False
289.tiff,1,gray_bbox,12675,12675,27,27,2177.5,2177.5,3287.0,3287.0,,,12,12,False,False,False
289.tiff,1,hem_bbox,12675,12675,25,25,2176.0,2176.0,3288.0,3288.0,,,12,12,False,False,False
289.tiff,2,default_51,12640,12640,51,51,4540.0,4540.0,784.0,784.0,,,12,12,False,False,False
289.tiff,2,gray_bbox,12640,12640,29,29,4541.0,4541.0,784.5,784.5,,,12,12,False,False,False
289.tiff,2,hem_bbox,12640,12640,23,23,4540.0,4540.0,782.5,782.5,,,12,12,False,False,False
291.tiff,0,default_51,13272,13272,51,51,6309.0,6309.0,3146.0,3146.0,,,55,55,False,False,False
291.tiff,0,gray_bbox,13272,13272,51,51,6311.5,6311.5,3146.0,3146.0,,,55,55,False,False,False
291.tiff,0,hem_bbox,13272,13272,27,27,6304.0,6304.0,3148.0,3148.0,,,55,55,False,False,False
291.tiff,1,default_51,13169,13169,51,51,5139.0,5139.0,934.0,934.0,,,55,55,False,False,False
291.tiff,1,gray_bbox,13169,13169,43,43,5139.5,5139.5,934.0,934.0,,,55,55,False,False,False
291.tiff,1,hem_bbox,13169,13169,23,23,5139.0,5139.0,931.0,931.0,,,55,55,False,False,False
291.tiff,2,default_51,13283,13283,51,51,2989.0,2989.0,4384.0,4384.0,,,55,55,False,False,False
291.tiff,2,gray_bbox,13283,13283,51,51,2995.0,2995.0,4384.0,4384.0,,,55,55,False,False,False
291.tiff,2,hem_bbox,13283,13283,23,23,2988.0,2988.0,4383.5,4383.5,,,55,55,False,False,False
293.tiff,0,default_51,13596,13596,51,51,1988.0,1988.0,2641.0,2641.0,,,69,69,False,False,False
293.tiff,0,gray_bbox,13596,13596,41,41,1993.5,1993.5,2646.5,2646.5,,,69,69,False,False,False
293.tiff,0,hem_bbox,13596,13596,25,25,1987.5,1987.5,2645.5,2645.5,,,69,69,False,False,False
293.tiff,1,default_51,13588,13588,51,51,922.0,922.0,2714.0,2714.0,,,69,69,False,False,False
293.tiff,1,gray_bbox,13588,13588,49,49,926.5,926.5,2715.0,2715.0,,,69,69,False,False,False
293.tiff,1,hem_bbox,13588,13588,25,25,921.5,921.5,2711.0,2711.0,,,69,69,False,False,False
293.tiff,2,default_51,13625,13625,51,51,1205.0,1205.0,2853.0,2853.0,,,69,69,False,False,False
293.tiff,2,gray_bbox,13625,13625,45,45,1207.5,1207.5,2856.5,2856.5,,,69,69,False,False,False
293.tiff,2,hem_bbox,13625,13625,21,21,1204.5,1204.5,2852.0,2852.0,,,69,69,False,False,False
459.tiff,0,default_51,22441,22441,51,51,1845.0,1845.0,4003.0,4003.0,,,104,104,False,False,False
459.tiff,0,gray_bbox,22441,22441,33,33,1844.5,1844.5,4002.5,4002.5,,,104,104,False,False,False
459.tiff,0,hem_bbox,22441,22441,31,31,1845.0,1845.0,4002.0,4002.0,,,104,104,False,False,False
459.tiff,1,default_51,22446,22446,51,51,2798.0,2798.0,4372.0,4372.0,,,104,104,False,False,False
459.tiff,1,gray_bbox,22446,22446,41,41,2797.0,2797.0,4370.0,4370.0,,,104,104,False,False,False
459.tiff,1,hem_bbox,22446,22446,39,39,2797.0,2797.0,4371.0,4371.0,,,104,104,False,False,False
459.tiff,2,default_51,22306,22306,51,51,494.0,494.0,427.0,427.0,,,104,104,False,False,False
459.tiff,2,gray_bbox,22306,22306,39,39,494.5,494.5,427.5,427.5,,,104,104,False,False,False
459.tiff,2,hem_bbox,22306,22306,33,33,494.5,494.5,426.5,426.5,,,104,104,False,False,False
460.tiff,0,default_51,22577,22577,51,51,5152.0,5152.0,3999.0,3999.0,,,27,27,False,False,False
460.tiff,0,gray_bbox,22577,22577,47,47,5156.0,5156.0,3997.0,3997.0,,,27,27,False,False,False
460.tiff,0,hem_bbox,22577,22577,41,41,5149.0,5149.0,3996.5,3996.5,,,27,27,False,False,False
460.tiff,1,default_51,22538,22538,51,51,2385.0,2385.0,1437.0,1437.0,,,27,27,False,False,False
460.tiff,1,gray_bbox,22538,22538,39,39,2383.5,2383.5,1432.5,1432.5,,,27,27,False,False,False
460.tiff,1,hem_bbox,22538,22538,23,23,2387.5,2387.5,1434.5,1434.5,,,27,27,False,False,False
460.tiff,2,default_51,22552,22552,51,51,4868.0,4868.0,2589.0,2589.0,,,27,27,False,False,False
460.tiff,2,gray_bbox,22552,22552,51,51,4868.0,4868.0,2590.0,2590.0,,,27,27,False,False,False
460.tiff,2,hem_bbox,22552,22552,29,29,4865.0,4865.0,2590.5,2590.5,,,27,27,False,False,False
410.tiff,0,default_51,20699,20699,51,51,3470.0,3470.0,4831.0,4831.0,20696:gray_bbox+hem_bbox,20696:gray_bbox+hem_bbox,10,10,True,False,False
410.tiff,0,gray_bbox,20699,20699,29,29,3464.0,3464.0,4836.5,4836.5,20696:gray_bbox+hem_bbox,20696:gray_bbox+hem_bbox,10,10,True,False,False
410.tiff,0,hem_bbox,20699,20699,21,21,3467.5,3467.5,4833.0,4833.0,20696:gray_bbox+hem_bbox,20696:gray_bbox+hem_bbox,10,10,True,False,False
410.tiff,1,default_51,20687,20687,51,51,2892.0,2892.0,635.0,635.0,,,10,10,False,False,False
410.tiff,1,gray_bbox,20687,20687,35,35,2891.0,2891.0,638.5,638.5,,,10,10,False,False,False
410.tiff,1,hem_bbox,20687,20687,29,29,2890.0,2890.0,632.5,632.5,,,10,10,False,False,False
410.tiff,2,default_51,20694,20694,51,51,2894.0,2894.0,2616.0,2616.0,20695:gray_bbox+hem_bbox,20695:gray_bbox+hem_bbox,10,10,True,False,False
410.tiff,2,gray_bbox,20694,20694,35,35,2893.5,2893.5,2617.0,2617.0,20695:gray_bbox+hem_bbox,20695:gray_bbox+hem_bbox,10,10,True,False,False
410.tiff,2,hem_bbox,20694,20694,33,33,2893.5,2893.5,2616.0,2616.0,20695:gray_bbox+hem_bbox,20695:gray_bbox+hem_bbox,10,10,True,False,False
425.tiff,0,default_51,21116,21116,51,51,4612.0,4612.0,559.0,559.0,,,11,11,False,False,False
425.tiff,0,gray_bbox,21116,21116,51,51,4612.0,4612.0,557.5,557.5,,,11,11,False,False,False
425.tiff,0,hem_bbox,21116,21116,39,39,4606.0,4606.0,559.0,559.0,,,11,11,False,False,False
425.tiff,1,default_51,21113,21113,51,51,2166.0,2166.0,544.0,544.0,,,11,11,False,False,False
425.tiff,1,gray_bbox,21113,21113,51,51,2166.0,2166.0,545.5,545.5,,,11,11,False,False,False
425.tiff,1,hem_bbox,21113,21113,51,51,2165.5,2165.5,546.0,546.0,,,11,11,False,False,False
425.tiff,2,default_51,21120,21120,51,51,2750.0,2750.0,1080.0,1080.0,,,11,11,False,False,False
425.tiff,2,gray_bbox,21120,21120,51,51,2750.0,2750.0,1081.5,1081.5,,,11,11,False,False,False
425.tiff,2,hem_bbox,21120,21120,37,37,2749.0,2749.0,1078.0,1078.0,,,11,11,False,False,False
435.tiff,0,default_51,21400,21400,51,51,2508.0,2508.0,2704.0,2704.0,21358:gray_bbox+hem_bbox,21358:gray_bbox+hem_bbox,29,29,True,False,False
