check,label,n_items,caps,passed,used_radius,expected_radius,mpp
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,13347.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,13347.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,9855.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,9855.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score,5879.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od,5879.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score@zmax,15326.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score@zmax,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/chromatin_od@zmax,15326.0,"(2000000,)",True,,,
nms_radius,301.tiff/chromatin_od@zmax,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,301.tiff/tm_score@zmax_strict,15325.0,"(2000000,)",True,,,
nms_radius,301.tiff/tm_score@zmax_strict,,,True,29.609055118110238,29.609055118110238,0.2533008895448562
no_cap,201.tiff/tm_score,15842.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,15842.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,15798.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,15798.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,15542.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,15542.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,14619.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,14619.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,12973.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,12973.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,10689.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,10689.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,7952.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,7952.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,5321.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,5321.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score,3129.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od,3129.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score@zmax,662.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score@zmax,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/chromatin_od@zmax,662.0,"(2000000,)",True,,,
nms_radius,201.tiff/chromatin_od@zmax,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,201.tiff/tm_score@zmax_strict,661.0,"(2000000,)",True,,,
nms_radius,201.tiff/tm_score@zmax_strict,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,17763.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,17763.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,17762.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,17762.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,17729.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,17729.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,17537.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,17537.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,16836.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,16836.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,14963.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,14963.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,11248.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,11248.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,7046.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,7046.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score,3853.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od,3853.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score@zmax,5426.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score@zmax,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/chromatin_od@zmax,5426.0,"(2000000,)",True,,,
nms_radius,246.tiff/chromatin_od@zmax,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,246.tiff/tm_score@zmax_strict,5425.0,"(2000000,)",True,,,
nms_radius,246.tiff/tm_score@zmax_strict,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,17994.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,17994.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,17988.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,17988.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,17907.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,17907.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,17234.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,17234.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,15834.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,15834.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,14284.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,14284.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,12399.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,12399.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,9806.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,9806.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score,6666.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od,6666.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score@zmax,12838.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score@zmax,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/chromatin_od@zmax,12838.0,"(2000000,)",True,,,
nms_radius,459.tiff/chromatin_od@zmax,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,459.tiff/tm_score@zmax_strict,12837.0,"(2000000,)",True,,,
nms_radius,459.tiff/tm_score@zmax_strict,,,True,30.221751968503938,30.221751968503938,0.24816562612969095
no_cap,094.tiff/tm_score,18410.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,18410.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,18406.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,18406.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,18354.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,18354.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,16901.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,16901.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,15369.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,15369.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,13897.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,13897.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,12294.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,12294.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,10531.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,10531.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score,8678.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od,8678.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score@zmax,3305.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score@zmax,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/chromatin_od@zmax,3305.0,"(2000000,)",True,,,
nms_radius,094.tiff/chromatin_od@zmax,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,094.tiff/tm_score@zmax_strict,3304.0,"(2000000,)",True,,,
nms_radius,094.tiff/tm_score@zmax_strict,,,True,32.63031496062992,32.63031496062992,0.22984761284250915
no_cap,548.tiff/tm_score,17413.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,17413.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,17408.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,17408.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,17284.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,17284.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,16339.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,16339.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,14484.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,14484.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,12855.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,12855.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,11103.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,11103.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,8987.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,8987.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score,6639.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od,6639.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score@zmax,16532.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score@zmax,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/chromatin_od@zmax,16532.0,"(2000000,)",True,,,
nms_radius,548.tiff/chromatin_od@zmax,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,548.tiff/tm_score@zmax_strict,16531.0,"(2000000,)",True,,,
nms_radius,548.tiff/tm_score@zmax_strict,,,True,32.975303229224245,32.975303229224245,0.22744294261267478
no_cap,402.tiff/tm_score,17337.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,17337.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,17333.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,17333.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,17248.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,17248.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,16729.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,16729.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,15912.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,15912.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,14461.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,14461.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,11850.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,11850.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,8478.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,8478.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score,5543.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od,5543.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score@zmax,4592.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score@zmax,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/chromatin_od@zmax,4592.0,"(2000000,)",True,,,
nms_radius,402.tiff/chromatin_od@zmax,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
no_cap,402.tiff/tm_score@zmax_strict,4591.0,"(2000000,)",True,,,
nms_radius,402.tiff/tm_score@zmax_strict,,,True,33.13877952755905,33.13877952755905,0.22632094805310524
