file_name,method,seed_ann_id,channel,mpp,tightened_base_size,bbox_method,bbox_center_tolerance,tighten_bbox,seed_agreement_flagged,seed_n_agreement_pool,seed_n_after_border,seed_n_after_foreground,match_radius_px,n_gt_mitotic_eval,recall_at_k,roi_area_mm2,sens@1fp_mm2,sens@2fp_mm2,sens@4fp_mm2,sens@8fp_mm2,sens@16fp_mm2,sens@32fp_mm2,sens@64fp_mm2,k,topk_tp,topk_fp_lookalike,topk_fp_unannotated,n_lookalike_gt,lookalike_attraction_at_k,n_mitotic_gt,mitotic_recall_at_k,lookalike_attraction,mitotic_recall,n_detections_total,n_unanimous,recall_unanimous_at_k,n_contested,recall_contested_at_k,recall_unanimous,recall_contested,all_n_detections,all_tp,all_fp_lookalike,all_fp_unannotated,all_matched_any_gt,all_matched_frac,all_precision_mitotic,all_mitotic_gt_found,all_mitotic_gt_missed,all_lookalike_gt_found,all_lookalike_gt_missed,coverage_frac,nms_radius,n_augmentations,t_match_s,n_peaks,max_peak_score,n_after_nms,n_self_hits,seed_self_score,n_detections,max_detection_score,t_postprocess_s,t_total_s,tissue_fraction,tumor_type,mitotic_recall_at_matcher_budget,matcher_budget,budget_delivered
405.tiff,nucleus_blobs,-1,hematoxylin,0.2482,,,,,,,,,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,13,0,0,13,19,0.0,13,0.0,1.0,1.0,7577,9,0.0,4,0.0,1.0,1.0,7577,13,19,7545,32,0.004223307377589518,0.0017157186221457416,13,0,19,0,0.5581,,,,,,,,,,,,,0.7831,canine soft tissue sarcoma,1.0,4479.0,4479.0
405.tiff,random_in_tissue,-1,-,0.2482,,,,,,,,,30.2,13,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,0,0,13,19,0.0,13,0.0,0.47368421052631576,0.46153846153846156,4479,9,0.0,4,0.0,0.5555555555555556,0.25,4479,6,9,4464,15,0.003348961821834483,0.0013395847287337931,6,7,9,10,0.3234,,,,,,,,,,,,,0.7831,canine soft tissue sarcoma,,,
002.tiff,find_and_suppress,18,rgb,0.2269,35.0,binary,0.0,True,False,7.0,7.0,7.0,33.1,8,0.25,2.01,0.0,0.25,0.25,0.25,0.25,0.25,0.25,8,2,0,6,7,0.0,8,0.25,0.8571428571428571,0.875,3621,6,0.3333333333333333,2,0.0,1.0,0.5,3621,7,6,3608,13,0.003590168461749906,0.0019331676332499494,7,1,6,1,0.2893,33.05,1.0,8.44,4030.0,1.0,3622.0,1.0,1.0,3621.0,0.8080393671989441,0.52,9.0,0.9488,human breast cancer,,,
002.tiff,nucleus_blobs,-1,hematoxylin,0.2269,,,,,,,,,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.125,0.25,0.625,8,0,1,7,7,0.14285714285714285,8,0.0,1.0,0.875,8814,6,0.0,2,0.0,1.0,0.5,8814,7,7,8800,14,0.0015883821193553903,0.0007941910596776952,7,1,7,0,0.5751,,,,,,,,,,,,,0.9488,human breast cancer,0.875,3621.0,3621.0
002.tiff,random_in_tissue,-1,-,0.2269,,,,,,,,,33.1,8,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0,8,7,0.0,8,0.0,0.2857142857142857,0.25,3621,6,0.0,2,0.0,0.16666666666666666,0.5,3621,2,2,3617,4,0.001104667218999971,0.0005523336094999855,2,6,2,5,0.2686,,,,,,,,,,,,,0.9488,human breast cancer,,,
506.tiff,find_and_suppress,24233,rgb,0.2274,43.0,binary,0.0,True,False,8.0,8.0,8.0,33.0,11,0.09090909090909091,2.02,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,11,1,0,10,12,0.0,11,0.09090909090909091,0.3333333333333333,0.45454545454545453,2067,7,0.14285714285714285,4,0.0,0.5714285714285714,0.25,2067,5,4,2058,9,0.0043541364296060215,0.002418964683114456,5,6,4,8,0.1683,32.98,1.0,13.8,2159.0,1.0,2068.0,1.0,1.0,2067.0,0.735553503036499,0.67,14.5,0.9194,human melanoma,,,
506.tiff,nucleus_blobs,-1,hematoxylin,0.2274,,,,,,,,,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,11,0,0,11,12,0.0,11,0.0,0.9166666666666666,0.8181818181818182,8754,7,0.0,4,0.0,0.8571428571428571,0.75,8754,9,11,8734,20,0.002284669865204217,0.0010281014393418975,9,2,11,1,0.5371,,,,,,,,,,,,,0.9194,human melanoma,0.6363636363636364,2067.0,2067.0
506.tiff,random_in_tissue,-1,-,0.2274,,,,,,,,,33.0,11,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0,0,11,12,0.0,11,0.0,0.4166666666666667,0.18181818181818182,2067,7,0.0,4,0.0,0.14285714285714285,0.25,2067,2,5,2060,7,0.0033865505563602386,0.0009675858732457825,2,9,5,7,0.1616,,,,,,,,,,,,,0.9194,human melanoma,,,
350.tiff,find_and_suppress,18164,rgb,0.2274,41.0,binary,0.0,True,True,4.0,4.0,4.0,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.4375,0.3333333333333333,1940,0,,3,0.0,,0.3333333333333333,1940,1,7,1932,8,0.00412371134020406,0.0005154639175255075,1,2,7,9,0.1605,32.98,1.0,15.14,2009.0,1.0,1941.0,1.0,1.0,1940.0,0.7779251337051392,0.87,16.1,0.9966,human neuroendocrine tumor,,,
350.tiff,nucleus_blobs,-1,hematoxylin,0.2274,,,,,,,,,33.0,3,0.0,2.02,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,1,2,16,0.0625,3,0.0,0.6875,1.0,8173,0,,3,0.0,,1.0,8173,3,11,8159,14,0.0017129572984214225,0.00036706227823316196,3,0,11,5,0.5459,,,,,,,,,,,,,0.9966,human neuroendocrine tumor,1.0,1940.0,1940.0
350.tiff,random_in_tissue,-1,-,0.2274,,,,,,,,,33.0,3,0.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,16,0.0,3,0.0,0.125,0.0,1940,0,,3,0.0,,0.0,1940,0,2,1938,2,0.001030927835051015,0.0,0,3,2,14,0.1541,,,,,,,,,,,,,0.9966,human neuroendocrine tumor,,,
