check,label,n_items,caps,passed,used_radius,expected_radius,mpp,n_near_seed,match_radius_px,note
no_cap,201.tiff/od_contrast,15848.0,"(2000000,)",True,,,,,,
nms_radius,201.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,201.tiff,,,True,,,,0.0,30.222,
no_cap,233.tiff/tm_score,17449.0,"(2000000,)",True,,,,,,
nms_radius,233.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,233.tiff/chromatin_od,17449.0,"(2000000,)",True,,,,,,
nms_radius,233.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,233.tiff/od31,17449.0,"(2000000,)",True,,,,,,
nms_radius,233.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,233.tiff/od_falloff,17449.0,"(2000000,)",True,,,,,,
nms_radius,233.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,233.tiff/mask_od_mean,17449.0,"(2000000,)",True,,,,,,
nms_radius,233.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,233.tiff/od_contrast,17449.0,"(2000000,)",True,,,,,,
nms_radius,233.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,233.tiff,,,True,,,,0.0,30.222,
no_cap,245.tiff/tm_score,17678.0,"(2000000,)",True,,,,,,
nms_radius,245.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,245.tiff/chromatin_od,17678.0,"(2000000,)",True,,,,,,
nms_radius,245.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,245.tiff/od31,17678.0,"(2000000,)",True,,,,,,
nms_radius,245.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,245.tiff/od_falloff,17678.0,"(2000000,)",True,,,,,,
nms_radius,245.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,245.tiff/mask_od_mean,17678.0,"(2000000,)",True,,,,,,
nms_radius,245.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,245.tiff/od_contrast,17678.0,"(2000000,)",True,,,,,,
nms_radius,245.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,245.tiff,,,True,,,,0.0,30.222,
no_cap,246.tiff/tm_score,18013.0,"(2000000,)",True,,,,,,
nms_radius,246.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,246.tiff/chromatin_od,18013.0,"(2000000,)",True,,,,,,
nms_radius,246.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,246.tiff/od31,18013.0,"(2000000,)",True,,,,,,
nms_radius,246.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,246.tiff/od_falloff,18013.0,"(2000000,)",True,,,,,,
nms_radius,246.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,246.tiff/mask_od_mean,18013.0,"(2000000,)",True,,,,,,
nms_radius,246.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,246.tiff/od_contrast,18013.0,"(2000000,)",True,,,,,,
nms_radius,246.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,246.tiff,,,True,,,,0.0,30.222,
no_cap,300.tiff/tm_score,17940.0,"(2000000,)",True,,,,,,
nms_radius,300.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,300.tiff/chromatin_od,17940.0,"(2000000,)",True,,,,,,
nms_radius,300.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,300.tiff/od31,17940.0,"(2000000,)",True,,,,,,
nms_radius,300.tiff/od31,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,300.tiff/od_falloff,17940.0,"(2000000,)",True,,,,,,
nms_radius,300.tiff/od_falloff,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,300.tiff/mask_od_mean,17940.0,"(2000000,)",True,,,,,,
nms_radius,300.tiff/mask_od_mean,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,300.tiff/od_contrast,17940.0,"(2000000,)",True,,,,,,
nms_radius,300.tiff/od_contrast,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
seed_annulus_empty,300.tiff,,,True,,,,0.0,29.609,
no_cap,301.tiff/tm_score,17710.0,"(2000000,)",True,,,,,,
nms_radius,301.tiff/tm_score,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,301.tiff/chromatin_od,17710.0,"(2000000,)",True,,,,,,
nms_radius,301.tiff/chromatin_od,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,301.tiff/od31,17710.0,"(2000000,)",True,,,,,,
nms_radius,301.tiff/od31,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,301.tiff/od_falloff,17710.0,"(2000000,)",True,,,,,,
nms_radius,301.tiff/od_falloff,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,301.tiff/mask_od_mean,17710.0,"(2000000,)",True,,,,,,
nms_radius,301.tiff/mask_od_mean,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
no_cap,301.tiff/od_contrast,17710.0,"(2000000,)",True,,,,,,
nms_radius,301.tiff/od_contrast,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,,
seed_annulus_empty,301.tiff,,,True,,,,0.0,29.609,
no_cap,402.tiff/tm_score,17532.0,"(2000000,)",True,,,,,,
nms_radius,402.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,402.tiff/chromatin_od,17532.0,"(2000000,)",True,,,,,,
nms_radius,402.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,402.tiff/od31,17532.0,"(2000000,)",True,,,,,,
nms_radius,402.tiff/od31,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,402.tiff/od_falloff,17532.0,"(2000000,)",True,,,,,,
nms_radius,402.tiff/od_falloff,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,402.tiff/mask_od_mean,17532.0,"(2000000,)",True,,,,,,
nms_radius,402.tiff/mask_od_mean,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
no_cap,402.tiff/od_contrast,17532.0,"(2000000,)",True,,,,,,
nms_radius,402.tiff/od_contrast,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,
seed_annulus_empty,402.tiff,,,True,,,,0.0,33.139,
no_cap,403.tiff/tm_score,16150.0,"(2000000,)",True,,,,,,
nms_radius,403.tiff/tm_score,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,,
no_cap,403.tiff/chromatin_od,16150.0,"(2000000,)",True,,,,,,
nms_radius,403.tiff/chromatin_od,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,,
no_cap,403.tiff/od31,16150.0,"(2000000,)",True,,,,,,
nms_radius,403.tiff/od31,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,,
no_cap,403.tiff/od_falloff,16150.0,"(2000000,)",True,,,,,,
nms_radius,403.tiff/od_falloff,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,,
no_cap,403.tiff/mask_od_mean,16150.0,"(2000000,)",True,,,,,,
nms_radius,403.tiff/mask_od_mean,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,,
no_cap,403.tiff/od_contrast,16150.0,"(2000000,)",True,,,,,,
nms_radius,403.tiff/od_contrast,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,,
seed_annulus_empty,403.tiff,,,True,,,,0.0,33.06,
no_cap,459.tiff/tm_score,17806.0,"(2000000,)",True,,,,,,
nms_radius,459.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,459.tiff/chromatin_od,17806.0,"(2000000,)",True,,,,,,
nms_radius,459.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,459.tiff/od31,17806.0,"(2000000,)",True,,,,,,
nms_radius,459.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,459.tiff/od_falloff,17806.0,"(2000000,)",True,,,,,,
nms_radius,459.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,459.tiff/mask_od_mean,17806.0,"(2000000,)",True,,,,,,
nms_radius,459.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,459.tiff/od_contrast,17806.0,"(2000000,)",True,,,,,,
nms_radius,459.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,459.tiff,,,True,,,,0.0,30.222,
no_cap,460.tiff/tm_score,15698.0,"(2000000,)",True,,,,,,
nms_radius,460.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,460.tiff/chromatin_od,15698.0,"(2000000,)",True,,,,,,
nms_radius,460.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,460.tiff/od31,15698.0,"(2000000,)",True,,,,,,
nms_radius,460.tiff/od31,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,460.tiff/od_falloff,15698.0,"(2000000,)",True,,,,,,
nms_radius,460.tiff/od_falloff,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,460.tiff/mask_od_mean,15698.0,"(2000000,)",True,,,,,,
nms_radius,460.tiff/mask_od_mean,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
no_cap,460.tiff/od_contrast,15698.0,"(2000000,)",True,,,,,,
nms_radius,460.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,
seed_annulus_empty,460.tiff,,,True,,,,0.0,30.222,
no_cap,529.tiff/tm_score,16620.0,"(2000000,)",True,,,,,,
nms_radius,529.tiff/tm_score,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,,
no_cap,529.tiff/chromatin_od,16620.0,"(2000000,)",True,,,,,,
nms_radius,529.tiff/chromatin_od,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,,
no_cap,529.tiff/od31,16620.0,"(2000000,)",True,,,,,,
nms_radius,529.tiff/od31,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,,
no_cap,529.tiff/od_falloff,16620.0,"(2000000,)",True,,,,,,
nms_radius,529.tiff/od_falloff,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,,
no_cap,529.tiff/mask_od_mean,16620.0,"(2000000,)",True,,,,,,
nms_radius,529.tiff/mask_od_mean,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,,
no_cap,529.tiff/od_contrast,16620.0,"(2000000,)",True,,,,,,
nms_radius,529.tiff/od_contrast,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,,
seed_annulus_empty,529.tiff,,,True,,,,0.0,33.064,
no_cap,548.tiff/tm_score,17839.0,"(2000000,)",True,,,,,,
nms_radius,548.tiff/tm_score,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,,
no_cap,548.tiff/chromatin_od,17839.0,"(2000000,)",True,,,,,,
nms_radius,548.tiff/chromatin_od,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,,
no_cap,548.tiff/od31,17839.0,"(2000000,)",True,,,,,,
nms_radius,548.tiff/od31,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,,
no_cap,548.tiff/od_falloff,17839.0,"(2000000,)",True,,,,,,
nms_radius,548.tiff/od_falloff,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,,
no_cap,548.tiff/mask_od_mean,17839.0,"(2000000,)",True,,,,,,
nms_radius,548.tiff/mask_od_mean,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,,
no_cap,548.tiff/od_contrast,17839.0,"(2000000,)",True,,,,,,
nms_radius,548.tiff/od_contrast,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,,
seed_annulus_empty,548.tiff,,,True,,,,0.0,32.975,
reproduces_pre_fix_reference_tp_at_budget,ALL,,,False,,,,,,informational only -- divergence from the pre-fix reference is expected here
deep_pool_covers_max_budget,ALL,,,True,,,,,,
no_starvation_any_budget,ALL,,,True,,,,,,
build_seed_matches_inline_draw,013.tiff,,,True,,,,,,
build_seed_matches_inline_draw,094.tiff,,,True,,,,,,
build_seed_matches_inline_draw,201.tiff,,,True,,,,,,
build_seed_matches_inline_draw,233.tiff,,,True,,,,,,
build_seed_matches_inline_draw,245.tiff,,,True,,,,,,
build_seed_matches_inline_draw,246.tiff,,,True,,,,,,
build_seed_matches_inline_draw,300.tiff,,,True,,,,,,
build_seed_matches_inline_draw,301.tiff,,,True,,,,,,
build_seed_matches_inline_draw,402.tiff,,,True,,,,,,
build_seed_matches_inline_draw,403.tiff,,,True,,,,,,
build_seed_matches_inline_draw,459.tiff,,,True,,,,,,
build_seed_matches_inline_draw,460.tiff,,,True,,,,,,
build_seed_matches_inline_draw,529.tiff,,,True,,,,,,
build_seed_matches_inline_draw,548.tiff,,,True,,,,,,
